	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	ዋናው ቱልባር	Unknown	Tool_bar Style	False	False	1.2418171	287	287, 387, 429	0	500
1	መንፈሳዊ እድገታችን ከልብ በምናደርገው ጥናትና በይሖዋ በመታመናችን ላይ የተመካ ነው	This also includes outreach to multilingual communities beyond the Minneapolis-St. Paul metro area. With CAAL’s help, Ouk brought families, teachers, legislators, and community leaders together to talk about the issues. “Instead of inviting just one or two of us to go to the Twin Cities, we brought the Twin Cities here to demonstrate what we’re doing,” says Ouk.	Spiritual advancement depends on prayerful study and reliance on Jehovah	False	False	1.3160279	309	309, 324, 732	0	383
2	ህዝቦቿ በማንም ዘንድ ጥገኛ ያልሆኑ፣ ነጻ፣ የበለጸጉ፣ ሰላማዊ እና እራስን በእራስ የሚያስተድድር መንግስትን በማጣጣም ላይ ናቸው። 	This also includes outreach to multilingual communities beyond the Minneapolis-St. Paul metro area. With CAAL’s help, Ouk brought families, teachers, legislators, and community leaders together to talk about the issues. “Instead of inviting just one or two of us to go to the Twin Cities, we brought the Twin Cities here to demonstrate what we’re doing,” says Ouk.	Perfection is an aspiration not a goal in itself; and the ICC and OTP can use all the help they can get to improve and perfect themselves.	False	False	1.2460194	309	309, 476, 750	0	765
3	አንቺ ማን ነሽ?	Who are you?	Who are you?	True	True	1.3026216	172	172, 1, 2	1.0	172
4	ወደ ሱቅ እሄዳለሁ።	Unknown	I'm going to a store.	False	False	1.3124018	287	287, 418, 549	0	97
5	እንደዚሁ አላህ በእነዚያ በማያውቁት ሰዎች ልቦች ላይ ያትማል ፡ ፡	This also includes outreach to multilingual communities beyond the Minneapolis-St. Paul metro area. With CAAL’s help, Ouk brought families, teachers, legislators, and community leaders together to talk about the issues. “Instead of inviting just one or two of us to go to the Twin Cities, we brought the Twin Cities here to demonstrate what we’re doing,” says Ouk.	Thus does Allah set a seal on the hearts of those who do not know .	False	False	1.3160279	309	309, 324, 732	0	779
6	ምስል	Level completed.	All files	False	False	1.1840997	387	387, 332, 429	0	494
7	ጌታችሁ ያ ሰማያትንና ምድርን በስድስት ቀኖች ውስጥ የፈጠረ አላህ ነው ፡ ፡ ከዚያም ነገሩን ሁሉ የሚያስተናብር ሲኾን በዐርሹ ላይ ( ስልጣኑ ) ተደላደለ ፡ ፡ ከእርሱ ፈቃድ በኋላ ቢኾን እንጂ አንድም አማላጅ የለም ፡ ፡ እነሆ ! አላህ ጌታችሁ ነውና ተገዙት ፤ አትገሰጹምን	According to one study, “one-in-five kids who uses the Internet has been solicited for sex.” One newspaper also stated that 1 child in 33 between ages 10 and 17 were “aggressively stalked” through computer conversations. Some young people have found, to their surprise, that the “youth” with whom they shared a budding romance over the Internet was actually an adult prison inmate. Other young ones have unwittingly become involved with sexual predators. These vile people first “groom” a prospective victim, building trust through friendly on-line chat. In time, though, they seek to meet in person in order to carry out their perverted desires. Tragically, young people have been beaten, raped, and even murdered as a result.	Your Lord is God , who created the heavens and the earth in six days , then settled over the Throne , governing all things . There is no intercessor except after His permission .	False	False	1.1515803	750	750, 980, 309	0	516
8	በ1941 ከልጆቼ ጋር	Unknown	With my sons in 1941	False	False	1.2939796	287	287, 429, 330	0	471
9	የሜኑባር ምርጫዎች	Unknown	Invest Preferences	False	False	1.2418171	287	287, 387, 429	0	251
10	አውቶማቲክ	Level completed.	Select Address book for Automatic Contacts	False	False	1.1840997	387	387, 332, 429	0	653
11	3. ስለ ይሖዋ የትኛውን እውነታ መገንዘብ ይኖርብናል?	Where do you want to eat?	Is closeness with Jehovah really possible? 3. What fact must we realize about Jehovah?	False	False	1.2684189	169	169, 732, 980	0	386
12	ጡረታ ለይሖዋ ምሥክሮች “ሥራ የሞላበት ትልቅ በር” ሊከፍትላቸው ይችላል። (1 ቆሮንቶስ 16:​9) ምንም እንኳ በዕድሜ መግፋት የራሱ የሆኑ ችግሮችና ገደቦች ቢኖሩትም አንዳንድ አረጋውያን በይሖዋ እርዳታ ለእርሱ የሚያቀርቡትን አገልግሎት ከፍ ማድረግ የሚቻል ሆኖ አግኝተውታል። በኔዘርላንድ የሚገኙ የአንዳንድ ክርስቲያን አረጋውያንን ተሞክሮዎች ተመልከቱ። በ1995 የአገልግሎት ዓመት ከ1,223 በላይ ከሆኑት አቅኚዎች (የሙሉ ጊዜ የመንግሥቱ አዋጅ ነጋሪዎች) መካከል 269ኞቹ 50 ዓመት ወይም ከዚያ በላይ የሆናቸው ነበሩ። ከእነዚህ ውስጥ 81ዱ 65 ዓመት ወይም ከዚያ በላይ ዕድሜ ያላቸው ነበሩ።	According to one study, “one-in-five kids who uses the Internet has been solicited for sex.” One newspaper also stated that 1 child in 33 between ages 10 and 17 were “aggressively stalked” through computer conversations. Some young people have found, to their surprise, that the “youth” with whom they shared a budding romance over the Internet was actually an adult prison inmate. Other young ones have unwittingly become involved with sexual predators. These vile people first “groom” a prospective victim, building trust through friendly on-line chat. In time, though, they seek to meet in person in order to carry out their perverted desires. Tragically, young people have been beaten, raped, and even murdered as a result.	Recreation and hobbies simply do not provide the sense of worth that work does.	False	False	1.124414	750	750, 244, 579	0	242
13	በዚያም ቀን ከፊላቸውን በከፊሉ የሚቀላቀሉ አድርገን እንተዋቸዋለን ፡ ፡ በቀንዱም ይነፋል መሰብሰብንም እንሰበስባቸዋለን ፡ ፤	This also includes outreach to multilingual communities beyond the Minneapolis-St. Paul metro area. With CAAL’s help, Ouk brought families, teachers, legislators, and community leaders together to talk about the issues. “Instead of inviting just one or two of us to go to the Twin Cities, we brought the Twin Cities here to demonstrate what we’re doing,” says Ouk.	On that Day , We will leave them surging upon one another . And the Trumpet will be blown , and We will gather them together .	False	False	1.2707754	309	309, 732, 750	0	409
14	እንድንጸና የሚያደርገን ምንድን ነው?	Who are you?	(Proverbs 5:21) If sin should overtake us, we are moved to repent and seek Jehovah’s forgiveness because we love him and do not want to pain him.​—Psalm 78:41; 130:3.	False	False	1.3008684	172	172, 4, 11	0	705
15	የግላዊነት ፖሊሲ 	Unknown	News & Politics	False	False	1.2418171	287	287, 387, 429	0	960
16	እኛም ( የቀድሞ ) ትውልዳቸውን በተሞላች መርከብ ውስጥ የጫን መኾናችን ለእነርሱ ምልክት ነው ፡ ፡	As it can be recalled, at the time the Muslim community wanted to reorganize the ‘Islamic Affairs Council’ anew.	And a sign for them is that We carried their offspring in the laden Ark ( of Noah ) .	False	False	1.4050394	209	209, 752, 589	0	447
