	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	À cause de l'accident, je suis arrivé en retard à l'école.	Today is June 18th and it is Muiriel's birthday!	Because of the accident I went too late to school.	False	False	1.6810796	739	739, 701, 715	0	367
1	Ça coûtera 30 €.	This will cost €30.	This will cost €30.	True	True	1.6438707	758	758, 262, 759	1.0	758
2	Je l'ai convaincue d'être à la maison.	I was in the mountains.	I persuaded her to be at home.	False	False	1.6559522	749	749, 230, 214	0	355
3	Il y a beaucoup de mots que je ne comprends pas.	Your daily life is your temple and your religion.	There are many words that I don't understand.	False	False	1.6986396	715	715, 600, 701	0	872
4	Tu me manques.	Your daily life is your temple and your religion.	I miss you.	False	False	1.5643793	715	715, 280, 600	0	768
5	« Le téléphone sonne. » « Je vais répondre. »	I drink his beer.	"""The phone is ringing."" ""I'll get it."""	False	False	1.6466862	701	701, 724, 489	0	969
6	Garde la tête basse !	Keep your head low.	Keep your head low.	True	True	1.5707343	301	301, 351, 788	1.0	301
7	Tom est mort du cancer en 2013.	Tom died from cancer in 2013.	Tom died from cancer in 2013.	True	True	1.6972076	184	184, 343, 176	1.0	184
8	Monsieur, il n'est pas permis de garer votre voiture ici.	Your daily life is your temple and your religion.	Sir, you are not allowed to park your car here.	False	False	1.6435212	715	715, 234, 214	0	503
9	Est-ce que ça va bien pour tout le monde ?	Your daily life is your temple and your religion.	Is everybody okay?	False	False	1.6752279	715	715, 600, 921	0	85
10	Il s'assiérait des heures à lire des histoires de détectives.	Who's your favorite writer?	He would sit for hours reading detective stories.	False	False	1.7271996	601	601, 468, 600	0	678
11	Tu dois faire la queue pour acheter un ticket.	You must stand in a line to buy the ticket.	You must stand in a line to buy the ticket.	True	True	1.708852	262	262, 701, 468	1.0	262
12	Ne te soucie pas de mon chien.	I drink his beer.	Don't worry about my dog.	False	False	1.7335069	701	701, 709, 715	0	334
13	Sami ne sait pas faire l'accent égyptien.	I drink his beer.	Sami can't do an Egyptian accent.	False	True	1.6597047	701	701, 214, 443	0.3333333333333333	443
14	Il a dit qu'il a écrit.	He who writes reads twice.	He said that he had written.	False	False	1.6817536	468	468, 701, 600	0	449
15	Sa musique me fit grande impression.	I drink his beer.	His music made a deep impression on me.	False	False	1.7393262	701	701, 111, 214	0	666
16	Tout le monde buvait du vin, à la fête.	I drink his beer.	Everyone at the party was drinking wine.	False	False	1.6134337	701	701, 214, 749	0	79
17	L'argent nous permettra de tenir à peu près un mois.	The victory is ours.	The money will carry us for about a month.	False	False	1.7235625	280	280, 215, 548	0	513
18	La fille à côté est très belle.	Your daily life is your temple and your religion.	The girl who lives next door is very pretty.	False	True	1.6329007	715	715, 214, 310	0.3333333333333333	310
