	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	"სხვა ბიბლიურ იგავში იგივე აზრი ასეა გადმოცემული: « თუ გაჭირვების დროს დაუძლურდი ["" გული გაგიტყდა "" აქ], მცირე ყოფილა შენი ძალა ["" ძალა გამოგეცლება "" აქ] »."	If doubts afflict you , remember what the Bible says at James 1 : 6 : “ But let him keep on asking in faith , not doubting at all , for he who doubts is like a wave of the sea driven by the wind and blown about . ”	Even when certain problems cannot be avoided , you can learn to control your emotions so as not to feel overwhelmed with discouragement .	False	False	0.73595	371	371, 102, 449	0	487
1	თუ სხვა მხრიდან შევხედავთ მდგომარეობას, პლანეტაზე მოსახლეობის რიცხვი ამჟამად ყოველ წუთს 170 ადამიანით იზრდება.	This is reflected in UN statistics indicating that the voluntary use of contraceptives in developing countries has risen dramatically , from 10 percent of couples in the 1960 ’ s to 51 percent today .	To look at it another way , the number of people on the planet is presently increasing by about 170 people every minute .	False	True	0.70750284	480	480, 626, 330	0.3333333333333333	330
2	ბებია კი, რომელსაც ბავშვების აღზრდის გამოცდილება აქვს, ბუნებრივია, ფიქრობს, რომ რჩევისთვის მას უნდა მიმართონ.	Sadly and too often , the son does not realize that . ” How , then , can a husband take an active role in making peace in his family ?	On the other hand , grandmother , with her years of experience in child training , naturally feels that she is the one qualified to give advice .	False	False	0.65681183	739	739, 352, 718	0	501
3	როდესაც რაღაცა გულს გიწვრილებთ ან მარტოობის გრძნობა გაწუხებთ, ნუ გაგიკვირდებათ, თუ დაძლეული ცუდი ჩვევა კვლავ ეცდება დაბრუნებას.	But if you have nagging doubts , you must work hard at resolving them .	So even after you feel that you have overcome an undesirable habit , if you come under stress ​ — such as caused by a financial setback , health problems , various disappointments — ​ beware of a relapse !	False	False	0.7642871	210	210, 222, 907	0	48
4	"ბიბლიის შესწავლას შეუძლია "" ბრიყვთათვის ["" გამოუცდელთათვის "", აქ] გამჭრიახობის, ყრმისათვის ცოდნისა და გონიერების მინიჭება "", რათა თავი აარიდო ვითარებებს, რომელთაც შეიძლება უზნეობა მოჰყვეს."	It can “ give to the inexperienced ones shrewdness , to a young man [ or woman ] knowledge and thinking ability ” so as to avoid circumstances that could lead to immoral conduct . ​ — Proverbs 1 : 4 .	It can “ give to the inexperienced ones shrewdness , to a young man [ or woman ] knowledge and thinking ability ” so as to avoid circumstances that could lead to immoral conduct . ​ — Proverbs 1 : 4 .	True	True	0.5492654	680	680, 472, 487	1.0	680
5	იყიდე, რაც ნამდვილად გჭირდება.	Color : Proper use of color can also fool the eye .	Visit places where smoking is forbidden , such as museums and libraries .	False	False	0.72710776	846	846, 216, 717	0	86
6	ფაქტია, რომ არც ბავშვი — არც მოზრდილი — არ არის მიზეზი, ვერც გააკონტროლებს და ვერც განკურნავს, თუ ვინმე ლოთობს.	In - law friction may lead to mental and emotional struggles that last for years . To many , this kind of conflict seems unavoidable .	The reality is that no child ​ — or adult — ​ can cause , control , or cure anyone else’s drinking .	False	False	0.65585184	469	469, 27, 7	0	37
7	შეწყვიტე საკუთარი თავის დადანაშაულება.	You try to salvage it , but to no avail .	‘ If you treated me better , I wouldn’t have to drink , ’ the alcoholic may claim .	False	False	0.702819	886	886, 312, 510	0	350
8	თანდათანობით ვითარება უარესდება.	Similar reports are heard worldwide .	Now elderly parents are being abandoned in hospitals and institutions .	False	False	0.7747216	584	584, 623, 469	0	580
9	იაპონიის ერთ - ერთი სააგენტოს მიერ გავრცელებული ცნობის თანახმად, იაპონიასა და ტაილანდში ხანდაზმულთა უმრავლესობას თავიანთ ახლობლებთან სურთ ცხოვრება.	According to an international survey by the Management and Coordination Agency in Japan , the majority of the elderly in Japan and Thailand want to live with their kin .	According to an international survey by the Management and Coordination Agency in Japan , the majority of the elderly in Japan and Thailand want to live with their kin .	True	True	0.57208705	605	605, 480, 87	1.0	605
10	""" სიმტკიცე ნიშნავს ბოთლისა და ბავშვურობისგან გათავისუფლებას "" — ამბობს ექიმი."	“ Do not despise your mother just because she has grown old , ” admonishes the Bible . Yet , with marriage , there is an adjustment in relationships .	In other words , much more than the drinking must change ; the inner man must change as well .	False	False	0.642153	449	449, 680, 732	0	110
11	ალკოჰოლიზმი და ერთობლივი მორჩილება	* This is not pacifism , a policy of nonresistance under any circumstance .	Gangrene made it necessary for Alice’s leg to be amputated . Alcoholism and Codependency	False	False	0.77550507	307	307, 885, 469	0	848
12	ბოლო წლებში აქ რელიგიის მიმართ ახალგაზრდების ინტერესი იზრდება.	Governments too are keenly interested in promoting family planning . Over half of the developing nations are pursuing policies to reduce population growth .	In recent years young people there have shown an increasing interest in religion .	False	False	0.6842295	287	287, 885, 207	0	258
13	იმასთან დაკავშირებით, თუ რა არის საჭირო ამ უპირატესობის მისაღებად, შეგიძლია ესაუბრო მშობლებს ან ადგილობრივი კრების უხუცესებს.	In - law friction may lead to mental and emotional struggles that last for years . To many , this kind of conflict seems unavoidable .	If you are not one already , you could also make it your goal to represent a congregation of Jehovah’s Witnesses as an unbaptized publisher .	False	False	0.7048806	469	469, 981, 885	0	811
14	რამდენად მისაღებია.	Obviously not .	And whether or not the book ever gets read may well depend on how inviting the cover is .	False	False	0.9326967	353	353, 253, 285	0	726
