	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Apakah Tom mengatakan sesuatu kepadamu tentang hal itu?	What is Ken eating?	Did Tom say anything to you about that?	False	False	1.1354321	966	966, 194, 276	0	277
1	Tolong jangan coba-coba kabur, sebab mata musuh-musuhmu sedang mengawasi.	My heart aches for the starving children in Africa.	Do not try to run away, please, because the eyes of your enemies are watchful.	False	True	0.9809222	13	13, 100, 992	0.5	100
2	Tambahkan sedikit gula.	Tom ironed his shirt.	Put in a little more sugar.	False	False	0.9310378	132	132, 997, 22	0	43
3	Tanpa mengatakan sepatah kata maupun menangis, ia terdiam dan pergi ke luar.	The dress allured her into the store.	He neither spoke nor wept, but went out in silence.	False	False	1.0100534	416	416, 90, 79	0	576
4	Sikapnya padaku berbeda dari biasanya.	She looks confused.	Her behaviour toward me was a departure from the norm.	False	False	0.88125956	310	310, 680, 22	0	965
5	Apakah kamu tinggal di sini?	Yours is not bad, either.	Do you live here?	False	False	0.98888373	595	595, 211, 2	0	494
6	Bagaimana kamu bisa terluka?	Have you ever donated blood?	How did you get injured?	False	False	1.1082647	249	249, 297, 384	0	159
7	Tom tidak seperti dirinya hari ini.	You look happy today.	Tom isn't quite himself today.	False	False	0.97388315	639	639, 132, 22	0	799
8	Dia punya kesempatan yang bagus untuk sukses.	He should have bought a used car.	He has a good chance to succeed.	False	True	0.92141175	631	631, 743, 720	0.5	743
9	Baiklah. Berapa banyak?	Translate this sentence.	All right. How many?	False	False	1.0318196	452	452, 370, 384	0	920
10	Kamu siapa?	Tom may have already left.	Who are you?	False	False	1.0427041	165	165, 435, 690	0	506
11	Aku suka pergi memancing dengan ayahku.	Smile for the camera.	I like to go fishing with my father.	False	False	0.9169316	740	740, 998, 787	0	678
12	Dia tidak menemukan hal yang mencurigakan.	Nothing happens to me.	She didn't notice anything suspicious.	False	False	0.9496217	473	473, 633, 847	0	388
13	Aku mau kopi, roti panggang, dan jeli.	I want coffee, toast, and jelly.	I want coffee, toast, and jelly.	True	True	0.86525905	501	501, 43, 991	1.0	501
14	Saya sedang sibuk dan tidak bisa pergi.	You have very acute hearing.	I am busy now and can't go out.	False	False	0.86257815	810	810, 907, 991	0	461
15	Dia mengantarku pulang.	Jane looks happy.	She gave me a ride home.	False	False	0.9372039	22	22, 948, 832	0	505
16	Ia memperoleh keuntungan yang besar.	They gained great wealth.	They gained great wealth.	True	True	0.8905622	431	431, 671, 400	1.0	431
17	Telepon aku kalau sudah siap.	Rabbits have long ears.	Call me when you're ready.	False	False	0.96837413	482	482, 879, 810	0	898
