	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Af þessu má sjá hvers vegna læknar segja að svo erfitt sé að ráða niðurlögun herpes.	For the ‘ sexually active ’ the chance of becoming infected suddenly seems no longer remote but terrifyingly possible .	You can thus see why doctors say that herpes is so tough to kill .	False	False	1.4650844	340	340, 292, 285	0	417
1	Hún yrði tákn fyrir fylgjendur Jesú um að flýja borgina og Júdeu.	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	True	True	1.3846517	404	404, 608, 384	1.0	404
2	Hið þýska evangelíska - lútherska spurningakver fyrir fullorðna (Evangelischer Erwachsenenkatechismus) segir um skiptingu líkama og sálar samkvæmt kenningu Platons: Evangelískir nútímaguðfræðingar véfengja þessa sameiningu grískra og biblíulegra hugtaka . . . .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	True	True	1.2981803	215	215, 527, 809	1.0	215
3	Sálin — er hún þú eða er hún í þér?	The Soul ​ — Is It You ? Or Is It in You ?	The Soul ​ — Is It You ? Or Is It in You ?	True	True	1.4718301	173	173, 797, 979	1.0	173
4	Sýking á sér stað við kynmök . Þegar sýkillinn T.	Sickness and death will come to be things of the past .	Infection occurs during sexual relations .	False	False	1.5838223	469	469, 811, 833	0	742
5	900 árum síðar,	900 years later	900 years later	True	True	1.4471802	187	187, 648, 961	1.0	187
6	"Eyjabúarnir 167 voru tregir til að fara, en þeir féllust á það þegar þeim var sagt að tilraunirnar væru "" gerðar í þágu mannkynsins og til að stuðla að endi allra heimsstyrjalda . """	The 167 islanders were loath to leave , but they consented when they were told that the tests were “ for the good of mankind and to end all world wars . ”	The 167 islanders were loath to leave , but they consented when they were told that the tests were “ for the good of mankind and to end all world wars . ”	True	True	1.3675363	242	242, 298, 886	1.0	242
7	Hún hefur varpað skugga á lífsstíl sem hét mönnum frelsi en hefur í reynd gefið mörgum ekkert annað en sorgir og eymd.	It has cast a shadow upon a way of life that promised freedom , but that for many has delivered nothing but heartache and misery .	It has cast a shadow upon a way of life that promised freedom , but that for many has delivered nothing but heartache and misery .	True	True	1.4468762	492	492, 724, 175	1.0	492
8	Hvaða áhrif mun þessi vitneskja hafa á þig að því er varðar að dýrka, hafa til sýnis eða bera á þér kross, eða þá að gera krossmark?	To what conclusion would that lead a thinking person ?	How will this knowledge affect you in relation to venerating and displaying or wearing a cross , or making the sign of the cross ?	False	False	1.4554725	526	526, 545, 222	0	637
9	En hvers vegna trúa þeir því?	Is there life after death ?	But why do they believe it ?	False	False	1.5092059	552	552, 35, 403	0	172
10	Hinum megin girðingarinnar var fegursta haglendi sem ég held að ég hafi nokkurn tíma augum litið . . . .	As your youngsters make efforts to improve their reading , they will need much encouragement and commendation from you .	On the other side of the fence was the most beautiful pasture scene I guess I have ever seen . . .	False	False	1.5584762	953	953, 545, 207	0	593
11	Hvers vegna?	With what result ?	Why ?	False	False	1.7453635	677	677, 35, 904	0	252
12	þegar stungið hefur verið upp á að þeim yrði bannað að gefa blóð.	So thorough would the destruction be that the dust of the city would be scraped away and fishermen would dry their nets there .	to suggestions that they be banned from donating blood .	False	True	1.3648111	571	571, 292, 694	0.3333333333333333	694
13	Á öðrum en óbyggðum eyjum væru þeir eins og fátækir ættingjar, ættu allt sitt undir miskunn innfæddra.	“ And those who appear to have lived neither well nor ill , go to the river Acheron , . . . and there they dwell and are purified of their evil deeds , and having suffered the penalty of the wrongs which they have done to others , they are absolved . ”	On any but an uninhabited atoll , they would be the equivalent of poor relatives , dependent on the goodwill of the natives .	False	False	1.3932697	380	380, 308, 953	0	124
14	Eftir dauðann leysist líkaminn í sundur og hverfur út í lífvana hluta umhverfisins.	Ten to 90 days go by before the victim notices the characteristic syphilitic sore at the place of the germ’s entry ​ — usually the genitals .	After death the body disintegrates and is reabsorbed into the inanimate component of the environment .	False	False	1.4776464	554	554, 279, 594	0	868
15	Verulegt magn geislavirkra efna fannst í líkömum manna.	Or it would have to kill infected cells without destroying healthy ones .	High levels of radioactivity were found in their bodies .	False	False	1.4586579	824	824, 725, 118	0	625
16	Þeir myndu endurbyggja Jerúsalem og musteri hennar og verða vitnisburður þess að Jehóva er Guð sannra spádóma.	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	They would rebuild Jerusalem and its temple , becoming living witnesses to the fact that Jehovah is the God of true prophecy .	False	False	1.3547103	404	404, 32, 819	0	419
17	"Breytir hin kaþólska kirkja nútímans "" eftir þeirri fyrirmynd "" sem var gefin af Páli og öðrum frumkristnum mönnum?"	To the contrary : cultural events , discussions and literature , as far as we can determine , have brought forth ecumenical fruitage . ” ​ — Nürnberger Nachrichten .	Is the Catholic Church today “ walking in a way that accords with the example ” we find in Paul and in the other early Christians ?	False	False	1.3717625	73	73, 527, 809	0	416
18	Samkvæmt einni kenningu kallar heilinn fram upplýsingar úr geymslu eftir kerfi sem byggist á tenginganeti, og þetta flókna tauganet í minni mannsins skilur hvað mest á milli manns og vélar.	Many , however , find little fulfillment in casual sex .	According to one theory , the brain’s retrieval system is based on a network of connections and “ this rich network of connections in human memory is one of the most profound differences between humans and machines .	False	False	1.4696922	142	142, 881, 275	0	277
19	Þetta sýnir sig glöggt í sambandi við hina útbreiddu trú á ódauðlega sál.	The shock of contracting a sexually transmitted disease has caused many to view promiscuity in a new light	This is well illustrated with regard to the generally held belief in an immortal soul .	False	False	1.4699033	606	606, 275, 118	0	401
