	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Họ có nghiêm túc không?	Are they serious?	Are they serious?	True	True	0.898005	178	178, 282, 446	1.0	178
1	Xin lỗi, cho phép tôi chỉ ra ba lỗi trong bài viết trên.	Excuse me, let me point out three mistakes in the above article.	Excuse me, let me point out three mistakes in the above article.	True	True	0.89651227	516	516, 586, 878	1.0	516
2	Chúng tôi sống ở nông thôn trong suốt mùa hè.	We live in the country during the summer.	We live in the country during the summer.	True	True	0.60702693	900	900, 945, 477	1.0	900
3	Tom là nhân viên tốt nhất mà chúng ta chưa từng có.	Tom is the one who was here last week.	Tom is the best employee we've ever had.	False	True	0.70807695	916	916, 919, 563	0.3333333333333333	563
4	Đây là một bông hoa đẹp.	This is a beautiful flower.	This is a beautiful flower.	True	True	0.85043	524	524, 46, 996	1.0	524
5	Tom là một người lính dũng cảm.	Tom was a brave soldier.	Tom was a brave soldier.	True	True	0.6506953	410	410, 416, 55	1.0	410
6	Tom cực kỳ bối rối.	Outsiders make Tom nervous.	Tom is very disturbed.	False	True	0.76171327	89	89, 707, 145	0.5	707
7	Bọn tớ vẫn đang cố	Can you sing us a song?	We're still pushing ahead.	False	False	1.0758489	366	366, 639, 413	0	68
8	Bạn muốn dùng sữa hay đường?	Who wants to play volleyball?	Do you want sugar or milk?	False	True	0.8004601	197	197, 351, 481	0.3333333333333333	481
9	Hắn phạm tôi ăn cắp.	I want a knife with which to cut the rope.	He is guilty of stealing.	False	False	0.9411361	200	200, 785, 455	0	848
10	Tôi có ba em trai.	I have three younger brothers.	I have three younger brothers.	True	True	0.77670074	470	470, 958, 910	1.0	470
11	Cô ấy nói chậm lại vì học sinh không nghe kịp.	She brags about how well she can cook.	She spoke slowly in case the students should miss her words.	False	True	0.9701767	56	56, 658, 311	0.5	658
