	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	À cause de l'accident, je suis arrivé en retard à l'école.	Because of the accident I went too late to school.	Because of the accident I went too late to school.	True	True	1.2896767	367	367, 95, 486	1.0	367
1	Ça coûtera 30 €.	This will cost €30.	This will cost €30.	True	True	1.1752962	758	758, 513, 759	1.0	758
2	Je l'ai convaincue d'être à la maison.	Next thing you know, you'll be in the papers.	I persuaded her to be at home.	False	False	1.2445738	903	903, 453, 434	0	355
3	Il y a beaucoup de mots que je ne comprends pas.	My opinion is a little different from yours.	There are many words that I don't understand.	False	False	1.2916374	302	302, 466, 338	0	872
4	Tu me manques.	The victory is ours.	I miss you.	False	False	1.2376015	280	280, 8, 300	0	768
5	« Le téléphone sonne. » « Je vais répondre. »	Can you give me your phone number?	"""The phone is ringing."" ""I'll get it."""	False	False	1.2886583	324	324, 50, 214	0	969
6	Garde la tête basse !	Keep your head low.	Keep your head low.	True	True	1.1842327	301	301, 117, 708	1.0	301
7	Tom est mort du cancer en 2013.	Tom died from cancer in 2013.	Tom died from cancer in 2013.	True	True	1.2190264	184	184, 727, 136	1.0	184
8	Monsieur, il n'est pas permis de garer votre voiture ici.	Sir, you are not allowed to park your car here.	Sir, you are not allowed to park your car here.	True	True	1.2708678	503	503, 214, 903	1.0	503
9	Est-ce que ça va bien pour tout le monde ?	What is this?	Is everybody okay?	False	False	1.3058946	738	738, 497, 496	0	85
10	Il s'assiérait des heures à lire des histoires de détectives.	He would sit for hours reading detective stories.	He would sit for hours reading detective stories.	True	True	1.2196586	678	678, 336, 139	1.0	678
11	Tu dois faire la queue pour acheter un ticket.	You must stand in a line to buy the ticket.	You must stand in a line to buy the ticket.	True	True	1.3217975	262	262, 326, 903	1.0	262
12	Ne te soucie pas de mon chien.	You can't be too careful when you drive.	Don't worry about my dog.	False	True	1.3325207	228	228, 334, 386	0.5	334
13	Sami ne sait pas faire l'accent égyptien.	Sami can't do an Egyptian accent.	Sami can't do an Egyptian accent.	True	True	1.253142	443	443, 918, 126	1.0	443
14	Il a dit qu'il a écrit.	He said that he had written.	He said that he had written.	True	True	1.2779301	449	449, 468, 476	1.0	449
15	Sa musique me fit grande impression.	His music made a deep impression on me.	His music made a deep impression on me.	True	True	1.2384624	666	666, 436, 352	1.0	666
16	Tout le monde buvait du vin, à la fête.	Everyone at the party was drinking wine.	Everyone at the party was drinking wine.	True	True	1.2894871	79	79, 214, 480	1.0	79
17	L'argent nous permettra de tenir à peu près un mois.	The money will carry us for about a month.	The money will carry us for about a month.	True	True	1.1970925	513	513, 758, 677	1.0	513
18	La fille à côté est très belle.	The girl who lives next door is very pretty.	The girl who lives next door is very pretty.	True	True	1.2861289	310	310, 214, 903	1.0	310
19	C'est facile de trouver un exemple.	It's easy to find an example.	It's easy to find an example.	True	True	1.3156452	295	295, 262, 368	1.0	295
20	Quelle personne es-tu ?	Who is your favorite author?	What kind of man are you?	False	False	1.2671521	600	600, 827, 59	0	106
21	J'aurai des lettres à écrire.	I'll have some letters to write.	I'll have some letters to write.	True	True	1.207056	453	453, 452, 903	1.0	453
22	L'espagnol n'est pas seulement parlé en Espagne.	Spanish is not only spoken in Spain.	Spanish is not only spoken in Spain.	True	True	1.2001091	45	45, 443, 918	1.0	45
23	Ce train est-il le bon pour Tokyo ?	Is this the right train for Tokyo?	Is this the right train for Tokyo?	True	True	1.1874437	236	236, 497, 107	1.0	236
24	Le jardin était rempli de jolies fleurs.	The garden was full of beautiful flowers.	The garden was full of beautiful flowers.	True	True	1.2592733	720	720, 214, 989	1.0	720
25	Muiriel a 20 ans maintenant.	Muiriel is 20 now.	Muiriel is 20 now.	True	True	1.1734185	741	741, 739, 214	1.0	741
26	Je crois que tu le connais.	I have to say I envy you.	I think you know him.	False	False	1.2035321	427	427, 713, 130	0	114
27	Il a hissé le drapeau.	He raised the flag.	He raised the flag.	True	True	1.3180971	119	119, 292, 336	1.0	119
28	La nuit on dort.	At night you sleep.	At night you sleep.	True	True	1.2529942	209	209, 214, 935	1.0	209
29	Combien de temps Tom va-t-il être à Boston ?	What time is it in London now?	How long will Tom be in Boston?	False	False	1.2671415	123	123, 921, 546	0	203
