	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Nem szavaztam.	I didn't vote.	I didn't vote.	True	True	1.033098	221	221, 122, 627	1.0	221
1	- Még valamit? - Nem, ennyi volt az egész.	Was that part of your plan?	"""Anything else?"" ""No, that's all."""	False	False	0.9634733	251	251, 825, 988	0	417
2	Merry fél a kutyáktól.	Merry is scared of dogs.	Merry is scared of dogs.	True	True	1.0684379	694	694, 715, 864	1.0	694
3	Nagy nap ez a mai, fiam!	Today is a big day, son!	Today is a big day, son!	True	True	0.8164551	758	758, 753, 605	1.0	758
4	Linda nagyon szereti a csokoládét.	She wants him to be just a friend.	Linda likes chocolate very much.	False	True	0.88883543	469	469, 970, 809	0.3333333333333333	809
5	Na végre, hogy esik!	Please let go of my arm.	Thank God, it is finally raining.	False	False	0.990533	381	381, 411, 529	0	605
6	El fogom olvasni ezt a könyvet.	I'll read this book.	I'll read this book.	True	True	1.0187936	565	565, 747, 364	1.0	565
7	Végül a busz megállt.	At last, the bus stopped.	At last, the bus stopped.	True	True	0.8767239	590	590, 6, 369	1.0	590
8	Úgy gondolom, még várhatnánk egy fél órát.	I think we should wait another half an hour.	I think we should wait another half an hour.	True	True	0.9365823	78	78, 908, 38	1.0	78
9	A hozzászólásaid mindig nagyon hasznosak számomra.	Better a small gain than a great loss.	Your comments were always very helpful to me.	False	False	1.1121863	397	397, 27, 201	0	938
10	Mi egy pár vagyunk.	You clean up.	We're a couple.	False	False	1.0881926	454	454, 882, 426	0	849
11	Két szép fia van.	He has two beautiful boys.	He has two beautiful boys.	True	True	0.88946414	284	284, 1, 773	1.0	284
12	A fenébe! Nem találom a pénztárcámat.	Don't step on the broken glass.	Damn! I can't find my wallet.	False	False	1.106998	591	591, 835, 381	0	395
13	Nem tudtam, hová mehetnék.	I knew you could do it, Tom.	I didn't know where to go.	False	False	1.0339589	210	210, 381, 673	0	316
14	Az élet csodaszép.	Life is a bitch.	Life is sweet.	False	False	1.005177	821	821, 554, 389	0	143
15	Kötelező autót bérelni?	Is it obligatory to rent a car?	Is it obligatory to rent a car?	True	True	0.9968014	568	568, 116, 916	1.0	568
16	Nem vagyok az a trendi típus.	I'm not the trendy type.	I'm not the trendy type.	True	True	1.0175296	99	99, 821, 366	1.0	99
17	Jó nap ez a mai!	Today is a good day!	Today is a good day!	True	True	0.97151005	753	753, 758, 605	1.0	753
18	Önök beszélnek oroszul?	Do you speak Russian?	Do you speak Russian?	True	True	1.120565	881	881, 832, 80	1.0	881
