	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Nem szavaztam.	Don't drink too much coffee.	I didn't vote.	False	False	0.82920945	616	616, 531, 271	0	221
1	- Még valamit? - Nem, ennyi volt az egész.	This world is just an insane asylum.	"""Anything else?"" ""No, that's all."""	False	False	0.9438648	554	554, 201, 921	0	417
2	Merry fél a kutyáktól.	Tom and Mary are mad at John.	Merry is scared of dogs.	False	True	0.95629406	58	58, 994, 694	0.3333333333333333	694
3	Nagy nap ez a mai, fiam!	Today is a big day, son!	Today is a big day, son!	True	True	0.67348766	758	758, 421, 830	1.0	758
4	Linda nagyon szereti a csokoládét.	Linda likes chocolate very much.	Linda likes chocolate very much.	True	True	0.5679989	809	809, 180, 469	1.0	809
5	Na végre, hogy esik!	Do not be so vengeful!	Thank God, it is finally raining.	False	False	0.6913631	437	437, 830, 422	0	605
6	El fogom olvasni ezt a könyvet.	I'll read this book.	I'll read this book.	True	True	0.82693195	565	565, 601, 747	1.0	565
7	Végül a busz megállt.	At last, the bus stopped.	At last, the bus stopped.	True	True	0.69680965	590	590, 169, 267	1.0	590
8	Úgy gondolom, még várhatnánk egy fél órát.	I think we should wait another half an hour.	I think we should wait another half an hour.	True	True	0.8034632	78	78, 516, 584	1.0	78
9	A hozzászólásaid mindig nagyon hasznosak számomra.	If you understand this one, then the others are nearly the same.	Your comments were always very helpful to me.	False	False	1.1289346	201	201, 397, 601	0	938
10	Mi egy pár vagyunk.	We need time.	We're a couple.	False	False	0.88582706	594	594, 821, 592	0	849
11	Két szép fia van.	Mary is a hairdresser.	He has two beautiful boys.	False	False	0.8321556	65	65, 651, 1	0	284
12	A fenébe! Nem találom a pénztárcámat.	Son of a bitch stole my backpack, ate my sandwich, and shit in my Thermos!	Damn! I can't find my wallet.	False	False	0.96422315	828	828, 921, 612	0	395
13	Nem tudtam, hová mehetnék.	I don't want to be lame; I want to be cool!!	I didn't know where to go.	False	False	0.821602	921	921, 367, 738	0	316
14	Az élet csodaszép.	Storm in a teacup.	Life is sweet.	False	False	1.1183572	728	728, 821, 498	0	143
15	Kötelező autót bérelni?	How many people are on the list now?	Is it obligatory to rent a car?	False	False	0.805653	213	213, 751, 647	0	568
16	Nem vagyok az a trendi típus.	I'm not the trendy type.	I'm not the trendy type.	True	True	1.0596924	99	99, 179, 583	1.0	99
17	Jó nap ez a mai!	Oh, there's a butterfly!	Today is a good day!	False	False	0.7429595	421	421, 830, 422	0	753
18	Önök beszélnek oroszul?	For how long have you been studying Esperanto?	Do you speak Russian?	False	True	0.8939543	742	742, 725, 881	0.3333333333333333	881
19	A zene túl hangos.	The music is too loud.	The music is too loud.	True	True	0.99402905	576	576, 716, 883	1.0	576
20	Igaz, hogy művelt, de hiányzik belőle a bölcsesség.	It is true he is a learned man, but he lacks common sense.	It is true he is a learned man, but he lacks common sense.	True	True	0.93752635	457	457, 431, 750	1.0	457
21	Kérem, hogy hétfőn jöjjön.	It is said that the war will end soon.	Please come on Monday.	False	False	0.9130082	782	782, 601, 355	0	645
22	Mindig elsőként nyílik panaszra a szája.	He felt ashamed about what he saw.	He's always the first to complain.	False	False	1.0457808	40	40, 171, 467	0	197
23	Mindenki azt akarja hallani, amit hallani akar.	Everyone wants to hear what everyone wants to hear.	Everyone wants to hear what everyone wants to hear.	True	True	0.62688065	883	883, 826, 489	1.0	883
24	Tom odaégette a borjút.	Tom decided to try sleeping without a pillow.	Tom branded the calf.	False	False	0.9115243	71	71, 859, 4	0	125
25	Ha nincs hír, az jó hír.	If you understand this one, then the others are nearly the same.	No news is good news.	False	False	0.88311577	201	201, 397, 738	0	967
26	Nem itta meg a tejet.	Tom decided to try sleeping without a pillow.	She didn't drink the milk.	False	False	0.94780934	71	71, 374, 704	0	531
27	Két óra van.	Lunch is at noon.	It's two o'clock.	False	False	0.9523895	523	523, 151, 3	0	754
28	Ez mind miattad van.	No one has that right.	All of this is because of you.	False	False	0.912567	392	392, 549, 397	0	988
29	A kommunizmustól való félelem nagyon erős volt abban az időben.	Fear of communism was very strong at that time.	Fear of communism was very strong at that time.	True	True	0.64537716	934	934, 935, 974	1.0	934
30	Tomi mindig panaszkodik, igaz?	Tom always complains, doesn't he?	Tom always complains, doesn't he?	True	True	0.7204981	534	534, 660, 198	1.0	534
31	Tom sokat beszél.	Tom talks quite a lot.	Tom talks quite a lot.	True	True	0.76253736	333	333, 171, 72	1.0	333
32	Mi történt ott pontosan?	Where is the problem?	What exactly happened there?	False	False	0.75571644	524	524, 213, 400	0	928
33	Mi az ő foglalkozása?	Where is the problem?	What's her occupation?	False	False	0.8960625	524	524, 633, 614	0	586
34	Gondoltam, hogy talán akarnál enni valamit.	Everyone wants to hear what everyone wants to hear.	I thought you might like something to eat.	False	False	0.8391812	883	883, 826, 489	0	85
35	Ez hülye!	Do not be so vengeful!	This is silly!	False	True	0.7824085	437	437, 830, 612	0.5	830
36	Kell nekem egy bélyeg.	Thank God I am an atheist.	I need a stamp.	False	False	1.0228335	601	601, 738, 592	0	258
37	Szabad még egyszer hívnom téged?	Shall we watch the movie now?	May I call on you again?	False	False	0.85471773	725	725, 705, 142	0	88
38	Ez a szó nem található a listán.	This word is not found in the list.	This word is not found in the list.	True	True	0.60861945	663	663, 109, 177	1.0	663
39	Azt gondoltam, helyesen cselekszem.	To be surprised, to wonder, is to begin to understand.	I thought I was doing the right thing.	False	False	0.9044299	533	533, 249, 40	0	51
40	Nem hiszem el, hogy Tom igent mondott.	Tom talks quite a lot.	I can't believe Tom said yes.	False	False	0.818697	333	333, 67, 171	0	490
41	Te nem törődsz velem.	You have foul breath.	You don't care about me.	False	False	0.89508116	738	738, 437, 139	0	323
42	Hívom az ügyvédemet.	Thank God I am an atheist.	I'm calling my lawyer.	False	False	0.91569495	601	601, 738, 583	0	528
43	Nem lesz ennek jó vége.	No one has that right.	This isn't going to end well.	False	False	0.8191327	392	392, 397, 393	0	73
44	A csoki édes.	She helped her friends.	Chocolate tastes sweet.	False	False	1.2213409	836	836, 728, 748	0	133
45	Csakugyan tetszik?	Who is sick?	Do you really like it?	False	False	0.8940401	400	400, 675, 345	0	587
46	A megjelenés kötelező.	Thank God I am an atheist.	Attendance is mandatory.	False	False	1.0079428	601	601, 457, 738	0	239
47	Sokat jelent nekem.	Learn to control it or it will control you.	It means a lot to me.	False	False	0.8394377	489	489, 883, 539	0	661
48	Egy ember meghalt.	One person was killed.	One person was killed.	True	True	0.6341343	683	683, 271, 120	1.0	683
49	Egyszer majd sajnálni fogod ezt.	If you understand this one, then the others are nearly the same.	You will be sorry for it some day.	False	False	0.96973205	201	201, 834, 197	0	526
50	A világegyetem kétségtelenül végtelen.	This world is just an insane asylum.	There's no doubt: the universe is infinite.	False	True	0.8189113	554	554, 535, 851	0.5	535
