	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Сертификатым пемгыдемдыме огыл. Кече ден жапым шке компьютерыштет терге.	Memory allocation error	The certificate is not valid yet. Check that your computer's date and time are accurate.	False	False	1.1077747	130	130, 545, 864	0	500
1	%s %s. Ешартыш увераҥарым налашлан, `%s -h' пого.	%s (%s)	%s %s. Try `%s -h' for more information.	False	False	1.1932249	236	236, 652, 511	0	383
2	Пайдаланышым тӱкылаш	You have left this chat.	Block User	False	False	1.2948091	376	376, 487, 8	0	765
3	Электронике	Video Camera	Electronics	False	False	1.251882	203	203, 843, 389	0	172
4	Каталог серверым йодыштын кертме огыл.	Logging stopped. Future messages in this conversation will not be logged.	Could not query the directory server.	False	False	1.1621251	707	707, 570, 592	0	97
5	detach: Тиде сессийым кӱрлаш	Possible Matches	detach: Detach this session	False	False	1.2159182	898	898, 727, 539	0	779
6	Тӱшка-влакым иктыш ушаш	He lives in Yoshkar-Ola.	Merge Groups	False	False	1.179962	52	52, 53, 694	0	494
7	Монитор	Mouse	Monitor	False	False	1.2167286	452	452, 846, 580	0	516
8	Пыштыше	Alpha	Boot loader	False	False	1.1567875	389	389, 467, 196	0	471
9	Тиде вашкылым кораҥдет гын, тушко пурышо чыламутланыше кораҥдалтеш	He lives in Yoshkar-Ola.	Removing this contact will also remove all the buddies in the contact	False	False	1.1980035	52	52, 53, 202	0	251
10	Тый %s мутланымаш лӱмер гыч кораҥдет. Шуйынет?	How many theaters are there in Yoshkar-Ola?	You are about to remove %s from your buddy list. Do you want to continue?	False	False	1.206598	4	4, 2, 52	0	653
11	Койдымолан каласымашым колташ огеш лий:	He lives in Yoshkar-Ola.	Message could not be sent, not allowed while invisible:	False	False	1.1628594	52	52, 3, 53	0	386
12	Возалтмаш йоҥылыш	She lives in Yoshkar-Ola.	Registration Error	False	False	1.1597412	53	53, 52, 789	0	242
13	PIN-код чын огыл. Тудо цифр-влак дене гына лийшаш [0-9].	The PIN is invalid. It should only consist of digits [0-9].	The PIN is invalid. It should only consist of digits [0-9].	True	True	1.1065581	409	409, 308, 406	1.0	409
14	_Пайдаланыше лӱм:	Method:	User_name:	False	False	1.2534533	788	788, 619, 458	0	705
