	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Nem szavaztam.	I kept my word.	I didn't vote.	False	True	0.7543148	627	627, 445, 221	0.3333333333333333	221
1	- Még valamit? - Nem, ennyi volt az egész.	"""That bitch kicked me in the balls."" ""You deserved it."""	"""Anything else?"" ""No, that's all."""	False	False	0.68105626	825	825, 251, 202	0	417
2	Merry fél a kutyáktól.	Peter is buying a tomcat.	Merry is scared of dogs.	False	True	0.69295394	715	715, 694, 994	0.5	694
3	Nagy nap ez a mai, fiam!	Today is a big day, son!	Today is a big day, son!	True	True	0.50829256	758	758, 753, 421	1.0	758
4	Linda nagyon szereti a csokoládét.	She wants him to be just a friend.	Linda likes chocolate very much.	False	True	0.5713582	469	469, 809, 970	0.5	809
5	Na végre, hogy esik!	This is silly!	Thank God, it is finally raining.	False	True	0.74452376	830	830, 411, 605	0.3333333333333333	605
6	El fogom olvasni ezt a könyvet.	I'll read this book.	I'll read this book.	True	True	0.69379294	565	565, 769, 617	1.0	565
7	Végül a busz megállt.	The car broke down, so that we had to walk.	At last, the bus stopped.	False	True	0.615571	267	267, 6, 590	0.3333333333333333	590
8	Úgy gondolom, még várhatnánk egy fél órát.	I think we should wait another half an hour.	I think we should wait another half an hour.	True	True	0.61511207	78	78, 581, 532	1.0	78
9	A hozzászólásaid mindig nagyon hasznosak számomra.	This noise is unbearable.	Your comments were always very helpful to me.	False	False	0.83096313	20	20, 201, 582	0	938
10	Mi egy pár vagyunk.	We're a couple.	We're a couple.	True	True	0.80476296	849	849, 304, 343	1.0	849
11	Két szép fia van.	He has two beautiful boys.	He has two beautiful boys.	True	True	0.66909397	284	284, 1, 773	1.0	284
12	A fenébe! Nem találom a pénztárcámat.	I saw somebody steal the merchandise.	Damn! I can't find my wallet.	False	True	0.7017275	835	835, 591, 395	0.3333333333333333	395
13	Nem tudtam, hová mehetnék.	I had no chance to escape.	I didn't know where to go.	False	False	0.73298335	673	673, 210, 119	0	316
14	Az élet csodaszép.	Life is a bitch.	Life is sweet.	False	False	0.72860813	821	821, 554, 931	0	143
15	Kötelező autót bérelni?	Is it obligatory to rent a car?	Is it obligatory to rent a car?	True	True	0.60271835	568	568, 600, 116	1.0	568
16	Nem vagyok az a trendi típus.	I'm not the trendy type.	I'm not the trendy type.	True	True	0.6790143	99	99, 554, 591	1.0	99
17	Jó nap ez a mai!	Today is a big day, son!	Today is a good day!	False	True	0.731552	758	758, 753, 605	0.5	753
18	Önök beszélnek oroszul?	Do you speak Russian?	Do you speak Russian?	True	True	0.7634163	881	881, 948, 359	1.0	881
19	A zene túl hangos.	The music is too loud.	The music is too loud.	True	True	0.6319175	576	576, 471, 20	1.0	576
20	Igaz, hogy művelt, de hiányzik belőle a bölcsesség.	It is true he is a learned man, but he lacks common sense.	It is true he is a learned man, but he lacks common sense.	True	True	0.5560496	457	457, 38, 431	1.0	457
21	Kérem, hogy hétfőn jöjjön.	It'll be forgotten in a few months' time.	Please come on Monday.	False	False	0.71527374	322	322, 368, 999	0	645
22	Mindig elsőként nyílik panaszra a szája.	He felt ashamed about what he saw.	He's always the first to complain.	False	False	0.7161546	40	40, 20, 249	0	197
23	Mindenki azt akarja hallani, amit hallani akar.	Everyone wants to hear what everyone wants to hear.	Everyone wants to hear what everyone wants to hear.	True	True	0.5697106	883	883, 374, 826	1.0	883
24	Tom odaégette a borjút.	Tom got Mary to scratch the part of his back he couldn't reach.	Tom branded the calf.	False	False	0.6258831	106	106, 67, 493	0	125
25	Ha nincs hír, az jó hír.	There's no doubt: the universe is infinite.	No news is good news.	False	False	0.75430894	535	535, 20, 568	0	967
26	Nem itta meg a tejet.	He ate a piece of the pie.	She didn't drink the milk.	False	True	0.7055098	879	879, 531, 223	0.5	531
27	Két óra van.	I think we should wait another half an hour.	It's two o'clock.	False	True	0.728052	78	78, 754, 330	0.5	754
28	Ez mind miattad van.	That ship has sailed.	All of this is because of you.	False	False	0.9008962	611	611, 624, 375	0	988
29	A kommunizmustól való félelem nagyon erős volt abban az időben.	Fear of communism was very strong at that time.	Fear of communism was very strong at that time.	True	True	0.42440116	934	934, 935, 936	1.0	934
30	Tomi mindig panaszkodik, igaz?	Tom always complains, doesn't he?	Tom always complains, doesn't he?	True	True	0.659917	534	534, 31, 660	1.0	534
31	Tom sokat beszél.	Just ignore Tom. He always seems to be complaining about something.	Tom talks quite a lot.	False	False	0.71581674	31	31, 171, 29	0	333
32	Mi történt ott pontosan?	How can we prove it actually happened?	What exactly happened there?	False	True	0.7485424	319	319, 928, 650	0.5	928
33	Mi az ő foglalkozása?	Who was the first one here today?	What's her occupation?	False	False	0.75769806	650	650, 524, 400	0	586
34	Gondoltam, hogy talán akarnál enni valamit.	To tell the truth, I've already seen that movie.	I thought you might like something to eat.	False	False	0.6894584	532	532, 38, 571	0	85
35	Ez hülye!	This is silly!	This is silly!	True	True	0.9221523	830	830, 611, 967	1.0	830
36	Kell nekem egy bélyeg.	Give me the knife.	I need a stamp.	False	False	0.7572501	491	491, 738, 364	0	258
37	Szabad még egyszer hívnom téged?	Shall we watch the movie now?	May I call on you again?	False	False	0.84498656	725	725, 388, 529	0	88
38	Ez a szó nem található a listán.	This word is not found in the list.	This word is not found in the list.	True	True	0.4982407	663	663, 237, 780	1.0	663
39	Azt gondoltam, helyesen cselekszem.	To tell the truth, I've already seen that movie.	I thought I was doing the right thing.	False	False	0.6773218	532	532, 52, 193	0	51
40	Nem hiszem el, hogy Tom igent mondott.	Tom said that he didn't see anything.	I can't believe Tom said yes.	False	False	0.6965885	124	124, 727, 67	0	490
41	Te nem törődsz velem.	Don't tread on it.	You don't care about me.	False	False	0.7743082	557	557, 514, 591	0	323
42	Hívom az ügyvédemet.	Give me the knife.	I'm calling my lawyer.	False	False	0.7623	491	491, 386, 444	0	528
43	Nem lesz ennek jó vége.	This isn't going to end well.	This isn't going to end well.	True	True	0.8004377	73	73, 289, 673	1.0	73
44	A csoki édes.	I like cracking sunflower seeds.	Chocolate tastes sweet.	False	False	0.833287	60	60, 728, 364	0	133
45	Csakugyan tetszik?	Can you believe Tom is still only thirteen?	Do you really like it?	False	False	0.8257315	497	497, 343, 785	0	587
46	A megjelenés kötelező.	It is unfortunately true.	Attendance is mandatory.	False	False	0.8126159	404	404, 20, 617	0	239
47	Sokat jelent nekem.	Something is watching me.	It means a lot to me.	False	False	0.8191606	111	111, 760, 38	0	661
48	Egy ember meghalt.	One person was killed.	One person was killed.	True	True	0.6997112	683	683, 369, 360	1.0	683
49	Egyszer majd sajnálni fogod ezt.	To tell the truth, I've already seen that movie.	You will be sorry for it some day.	False	False	0.73613024	532	532, 38, 784	0	526
50	A világegyetem kétségtelenül végtelen.	There's no doubt: the universe is infinite.	There's no doubt: the universe is infinite.	True	True	0.6885817	535	535, 554, 931	1.0	535
51	Tomi halála után röviddel a felesége újraházasodott.	Tom's wife remarried shortly after his death.	Tom's wife remarried shortly after his death.	True	True	0.5273689	35	35, 843, 228	1.0	35
52	A fia hét éve eltűnt.	His son disappeared seven years ago.	His son disappeared seven years ago.	True	True	0.55517316	346	346, 228, 16	1.0	346
53	Azon az estén korán feküdtem le.	I heard this sentence on the street about an hour ago.	I went to bed early that night.	False	True	0.7300129	208	208, 854, 769	0.5	854
54	Biztos vagyok benne, hogy tetszik az új munkád.	There is nothing to be scared of.	I'm sure you like your new job.	False	False	0.7235677	38	38, 52, 925	0	334
55	George hasba vágta őt.	George hit him in the stomach.	George hit him in the stomach.	True	True	0.61636233	954	954, 16, 120	1.0	954
56	a szexuális zaklatás komoly probléma lehet a munkahelyen.	Sexual harassment can be a serious problem in the workplace.	Sexual harassment can be a serious problem in the workplace.	True	True	0.45020258	974	974, 794, 613	1.0	974
57	Nagyon szeretek síelni.	They are hungry.	I like skiing very much.	False	False	0.62960696	891	891, 195, 137	0	676
58	Sírt-rítt.	I scratched my records.	He cried and cried.	False	False	1.0276179	45	45, 74, 491	0	927
59	Minden adandó alkalommal írok.	I meet Mihaela every morning at the subway.	I write every chance I get.	False	True	0.8529595	162	162, 905, 926	0.5	905
60	A vihar még hevesebbé vált.	The storm became even more violent.	The storm became even more violent.	True	True	0.60368705	303	303, 347, 130	1.0	303
61	Tom éppen rám néz.	You got shot, Tom.	Tom is looking at me.	False	True	0.7653438	482	482, 263, 621	0.5	263
62	Japán tele van meglepetésekkel.	They are looking at only the sunny side of the American economy.	Japan is full of surprises!	False	True	0.7347654	931	931, 495, 665	0.5	495
63	Látni akarjuk.	We want to see it.	We want to see it.	True	True	0.8762636	945	945, 704, 569	1.0	945
64	Ausztrália fiataljainak nevében beszélünk.	We are speaking on behalf of the young people of Australia.	We are speaking on behalf of the young people of Australia.	True	True	0.6836492	342	342, 987, 782	1.0	342
65	A fotót meghamisították.	The photograph was falsified.	The photograph was falsified.	True	True	0.5292249	41	41, 781, 252	1.0	41
66	Nagyon sürgős ez a dolog.	That's a depressing story.	This matter is very urgent.	False	False	0.60438526	729	729, 821, 322	0	690
67	Elolvadt a hógolyó a kezemben.	The snowball melted in my hand.	The snowball melted in my hand.	True	True	0.66361594	603	603, 769, 906	1.0	603
68	Mióta tanulsz eszperantóul?	Do you speak Russian?	For how long have you been studying Esperanto?	False	False	0.7446549	881	881, 747, 948	0	742
69	Melyik iskolába jársz?	Where does your sister go to school?	What school do you go to?	False	False	0.7406678	412	412, 244, 92	0	410
70	Meg kellett volna vitatnod egy ügyvéddel.	I saw somebody steal the merchandise.	You should've consulted your lawyer.	False	False	0.81775427	835	835, 192, 762	0	940
71	Tanulnod kellene.	Children love to dig in the sand.	You should be studying.	False	False	0.9401431	174	174, 300, 569	0	222
72	Miért akarnál segíteni Tomon?	Why would you want to help Tom?	Why would you want to help Tom?	True	True	0.73529124	376	376, 388, 500	1.0	376
73	Házas vagyok.	You clean up.	I'm already hitched!	False	False	0.845991	454	454, 612, 689	0	0
74	Mikor látogatsz meg ismét?	Shall we watch the movie now?	When will you visit me again?	False	True	0.7048681	725	725, 113, 662	0.3333333333333333	662
75	Azt akarom, hogy szállj le rólam!	Give me that piece of paper, and I will inspect it!	I want you to get off my back.	False	False	0.69190073	769	769, 210, 514	0	378
76	Rá ne lépj!	Don't step on the broken glass.	Don't tread on it.	False	False	0.80438256	591	591, 113, 466	0	557
77	Neki túl sok könyve van.	He has too many books.	He has too many books.	True	True	0.66734695	833	833, 2, 805	1.0	833
78	Ez a szokásos eljárás.	It's standard procedure.	It's standard procedure.	True	True	0.76963615	288	288, 857, 549	1.0	288
79	Gyere ki velem.	I will shoot him.	Come outside with me.	False	False	0.8447397	444	444, 450, 514	0	291
80	Mire kell neked ez az autó?	What are you going to use this car for?	What are you going to use this car for?	True	True	0.7616234	600	600, 388, 251	1.0	600
81	Tom megint becsapott minket.	Tom tricked us again.	Tom tricked us again.	True	True	0.6974207	841	841, 171, 785	1.0	841
82	Ne felejtsd el ráírni az irányítószámot!	Don't forget to write the zip code.	Don't forget to write the zip code.	True	True	0.6992519	820	820, 769, 491	1.0	820
83	A világ egy őrültek háza.	This world is just an insane asylum.	This world is just an insane asylum.	True	True	0.6191962	554	554, 608, 931	1.0	554
84	Csodálatos dolog Amerikában lenni, ha azért vagy itt, hogy pénzt keressél.	America is a lovely place to be, if you are here to earn money.	America is a lovely place to be, if you are here to earn money.	True	True	0.52628684	925	925, 374, 811	1.0	925
85	Ez egy lesújtó történet.	This world is just an insane asylum.	That's a depressing story.	False	True	0.71755195	554	554, 729, 821	0.5	729
86	Tudod, hogy a templomban van?	Do you know she's in the church?	Do you know she's in the church?	True	True	0.6841562	194	194, 499, 618	1.0	194
87	Azon dolgozom.	You clean up.	I'm working on that.	False	False	0.84026384	454	454, 210, 375	0	473
88	Egész éjszaka sírt.	I don't enjoy eating ice cream during the winter.	She kept crying all night long.	False	False	0.8091247	53	53, 908, 330	0	329
89	Számos csillag volt látható az égen.	Numerous stars were visible in the sky.	Numerous stars were visible in the sky.	True	True	0.5312998	637	637, 654, 973	1.0	637
90	Üdvözölt bennünket.	Give me the knife.	He bade us welcome.	False	False	0.83863497	491	491, 601, 738	0	450
91	Megjavította-e az új edző a csapat minőségét?	Has the new coach improved the team's quality?	Has the new coach improved the team's quality?	True	True	0.52539	96	96, 568, 600	1.0	96
92	Néhány ember lenéz másokat, csak mert kevesebb pénzük van.	Some people look down on others because they have less money.	Some people look down on others because they have less money.	True	True	0.6140621	665	665, 904, 176	1.0	665
93	Belém rúg!	This is silly!	He is kicking me!	False	False	0.91322744	830	830, 422, 74	0	906
94	Ezen a vidéken nincs elég víz.	Water is scarce in this area.	Water is scarce in this area.	True	True	0.65271425	640	640, 149, 689	1.0	640
95	A nyelv tudomásunk szerint egy emberi találmány.	Language, as we know it, is a human invention.	Language, as we know it, is a human invention.	True	True	0.6883397	671	671, 730, 851	1.0	671
96	A város szó szerint Mussolininek köszönheti a létét?	Does the city literally owe its existence to Mussolini?	Does the city literally owe its existence to Mussolini?	True	True	0.6048374	647	647, 903, 532	1.0	647
97	Ez nem fontos.	This matter is very urgent.	This is irrelevant.	False	False	0.75541294	690	690, 609, 20	0	522
98	Ha nem megy el az iskolába, nem beszélek vele többé.	If he doesn't go to school, I will not talk to him anymore.	If he doesn't go to school, I will not talk to him anymore.	True	True	0.61352587	536	536, 897, 689	1.0	536
99	A szomszédasszonyom kleptomániás.	My neighbor is a kleptomaniac.	My neighbor is a kleptomaniac.	True	True	0.79031825	885	885, 886, 219	1.0	885
100	Elvesztettem a jegygyűrűmet.	He begged us to go with him.	I lost my wedding ring.	False	False	0.7655165	514	514, 835, 814	0	684
101	Az állatok nem tudnak különbséget tenni az igaz és hamis dolgok között.	They are too busy fighting against each other to care for common ideals.	Animals cannot distinguish between truth and falsehood.	False	True	0.56358933	904	904, 730, 931	0.5	730
102	Mire gondolsz, amikor a rádióaktivitás szót meghallod?	Are you intentionally trying to confuse me?	"What do you think of when you hear the word ""radioactivity""?"	False	True	0.63519764	566	566, 338, 725	0.5	338
103	Na mozdulj már!	Get your arse into gear!	Get your arse into gear!	True	True	0.82675755	734	734, 830, 691	1.0	734
104	Mennyire fáj?	Are they in Paris?	How much does it hurt?	False	False	0.78858566	359	359, 400, 499	0	852
105	Tom Jacksoné a ló, amelyik megnyerte a versenyt.	The horse that won the race is owned by Tom Jackson.	The horse that won the race is owned by Tom Jackson.	True	True	0.58112526	240	240, 626, 903	1.0	240
106	Ne tegyen úgy, mintha nem tudná, miről beszélek!	There is nothing to be scared of.	Don't act like you don't know what I'm talking about.	False	False	0.65498304	38	38, 820, 533	0	48
107	Én próbáltam.	I knew you could do it, Tom.	I tried it.	False	False	0.78749406	210	210, 747, 627	0	955
108	Itt van egy törülköző, ezt használhatod.	Here's a towel that you can use.	Here's a towel that you can use.	True	True	0.6633861	617	617, 820, 916	1.0	617
109	Meg akarod ezt ma csinálni?	Can your brother drive a car?	Do you want to do that today?	False	False	0.70702696	388	388, 811, 600	0	618
110	Egyre több pár megy külföldi nászútra.	More and more couples go on honeymoon trips abroad.	More and more couples go on honeymoon trips abroad.	True	True	0.71676004	183	183, 162, 169	1.0	183
