	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	À cause de l'accident, je suis arrivé en retard à l'école.	You ran in the garden.	Because of the accident I went too late to school.	False	False	1.6027546	214	214, 567, 95	0	367
1	Ça coûtera 30 €.	This will cost €30.	This will cost €30.	True	True	1.5809867	758	758, 691, 759	1.0	758
2	Je l'ai convaincue d'être à la maison.	You ran in the garden.	I persuaded her to be at home.	False	False	1.5367618	214	214, 749, 903	0	355
3	Il y a beaucoup de mots que je ne comprends pas.	I want a boat that'll take me far away from here.	There are many words that I don't understand.	False	False	1.5571754	979	979, 601, 802	0	872
4	Tu me manques.	Give me back my bag.	I miss you.	False	False	1.5606105	160	160, 594, 214	0	768
5	« Le téléphone sonne. » « Je vais répondre. »	You ran in the garden.	"""The phone is ringing."" ""I'll get it."""	False	False	1.5859232	214	214, 489, 713	0	969
6	Garde la tête basse !	Welcome to Tatoeba!	Keep your head low.	False	True	1.607678	567	567, 301, 351	0.5	301
7	Tom est mort du cancer en 2013.	Tom died from cancer in 2013.	Tom died from cancer in 2013.	True	True	1.6236908	184	184, 135, 256	1.0	184
8	Monsieur, il n'est pas permis de garer votre voiture ici.	You ran in the garden.	Sir, you are not allowed to park your car here.	False	False	1.5349047	214	214, 234, 590	0	503
9	Est-ce que ça va bien pour tout le monde ?	Are you from Urumqi?	Is everybody okay?	False	False	1.5572698	239	239, 738, 737	0	85
10	Il s'assiérait des heures à lire des histoires de détectives.	He would sit for hours reading detective stories.	He would sit for hours reading detective stories.	True	True	1.5920386	678	678, 336, 686	1.0	678
11	Tu dois faire la queue pour acheter un ticket.	You ran in the garden.	You must stand in a line to buy the ticket.	False	False	1.6166875	214	214, 613, 239	0	262
12	Ne te soucie pas de mon chien.	You ran in the garden.	Don't worry about my dog.	False	True	1.6047803	214	214, 234, 334	0.3333333333333333	334
13	Sami ne sait pas faire l'accent égyptien.	You ran in the garden.	Sami can't do an Egyptian accent.	False	True	1.6361341	214	214, 443, 25	0.5	443
14	Il a dit qu'il a écrit.	He who writes reads twice.	He said that he had written.	False	True	1.6150987	468	468, 449, 214	0.5	449
15	Sa musique me fit grande impression.	She showed me her new car.	His music made a deep impression on me.	False	True	1.6159346	590	590, 666, 125	0.5	666
16	Tout le monde buvait du vin, à la fête.	You ran in the garden.	Everyone at the party was drinking wine.	False	False	1.5294268	214	214, 157, 312	0	79
17	L'argent nous permettra de tenir à peu près un mois.	You ran in the garden.	The money will carry us for about a month.	False	False	1.5678006	214	214, 489, 488	0	513
18	La fille à côté est très belle.	You ran in the garden.	The girl who lives next door is very pretty.	False	False	1.5894884	214	214, 489, 903	0	310
