	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Họ có nghiêm túc không?	Why are you still here?	Are they serious?	False	False	1.2963095	413	413, 14, 535	0	178
1	Xin lỗi, cho phép tôi chỉ ra ba lỗi trong bài viết trên.	Let's try this cake.	Excuse me, let me point out three mistakes in the above article.	False	False	1.4743704	674	674, 650, 249	0	516
2	Chúng tôi sống ở nông thôn trong suốt mùa hè.	My father will travel abroad next year.	We live in the country during the summer.	False	False	1.4428139	910	910, 314, 435	0	900
3	Tom là nhân viên tốt nhất mà chúng ta chưa từng có.	Who's your favorite movie villain?	Tom is the best employee we've ever had.	False	False	1.329929	844	844, 205, 919	0	563
4	Đây là một bông hoa đẹp.	This is a beautiful flower.	This is a beautiful flower.	True	True	1.3055646	524	524, 583, 837	1.0	524
5	Tom là một người lính dũng cảm.	Tom is the smartest one in our class.	Tom was a brave soldier.	False	True	1.4118248	919	919, 410, 701	0.5	410
6	Tom cực kỳ bối rối.	Yesterday I met Marie.	Tom is very disturbed.	False	False	1.5628325	314	314, 412, 660	0	707
7	Bọn tớ vẫn đang cố	Omit needless words!	We're still pushing ahead.	False	False	1.4271033	624	624, 125, 519	0	68
8	Bạn muốn dùng sữa hay đường?	Do you want tea or coffee?	Do you want sugar or milk?	False	False	1.3356009	351	351, 197, 564	0	481
9	Hắn phạm tôi ăn cắp.	Omit needless words!	He is guilty of stealing.	False	False	1.5100591	624	624, 650, 118	0	848
10	Tôi có ba em trai.	I have three younger brothers.	I have three younger brothers.	True	True	1.3090508	470	470, 941, 910	1.0	470
11	Cô ấy nói chậm lại vì học sinh không nghe kịp.	It's the best feeling.	She spoke slowly in case the students should miss her words.	False	False	1.3937051	193	193, 961, 155	0	658
12	Anh ta đi ra ngoài bất chấp cơn mưa.	Let me back in.	He went out in spite of the rain.	False	False	1.407748	650	650, 624, 125	0	949
13	Họ tố cáo anh ấy có mặt trong lớp để gấy náo động.	Who's your favorite movie villain?	They accused him of being in the classroom in order to cause trouble.	False	False	1.4272135	844	844, 197, 314	0	931
14	Hôm qua tôi đã đọc sách.	Our teacher had us learn the poem by heart.	Yesterday, I read a book.	False	False	1.4953871	794	794, 624, 856	0	689
15	Chúng tôi thấy ngồi nhà rung lắc.	I rescued you.	We felt the house shake.	False	False	1.4636202	125	125, 820, 613	0	711
16	Làm sao để tìm thức ăn ngoài vũ trụ?	How do you find food in outer space?	How do you find food in outer space?	True	True	1.3015305	196	196, 844, 282	1.0	196
17	Chúng tôi bơi trong hồ.	Let me back in.	We swam in the lake.	False	True	1.39486	650	650, 125, 441	0.3333333333333333	441
18	Tôi phải làm việc vào tuần này.	We need an electrical engineer for this job.	I have to work this weekend.	False	False	1.4365761	356	356, 556, 598	0	463
19	London nằm trong số những thành phố lớn nhất thế giới.	London is among the largest cities in the world.	London is among the largest cities in the world.	True	True	1.2441835	168	168, 428, 453	1.0	168
20	Tôi xin hứa tôi sẽ không làm vậy nữa.	They'll help us.	I promise I won't do that again.	False	False	1.425031	531	531, 598, 910	0	811
21	Tôi cảm thấy dễ chịu hơn nhiều.	Draw your chair closer to the fire.	I'm feeling much better.	False	False	1.3757153	977	977, 193, 208	0	547
22	Tôi rất mơ ước được nhìn thấy Paris.	Yesterday I met Marie.	I'm dying to see Paris.	False	False	1.3316768	314	314, 193, 249	0	352
23	Không có gì cứng bằng kim cương.	Omit needless words!	Nothing is as hard as a diamond.	False	False	1.2826807	624	624, 961, 80	0	259
24	Rượu bản thân nó không có hại.	It's the best feeling.	Wine is not harmful in itself.	False	False	1.3955595	193	193, 564, 483	0	161
25	Muối là nguyên liệu nhất thiết phải có để nấu nướng.	All of the apples that fall are eaten by the pigs.	Salt is an indispensable ingredient for cooking.	False	False	1.3574176	996	996, 63, 950	0	754
26	Tôi định sẽ nói với anh sự thật	The debate will happen tonight.	I'll tell you the truth.	False	False	1.3274081	598	598, 910, 531	0	62
27	Số tiền này ít hơn số bọn mình muốn.	This is much less money than we expected.	This is much less money than we expected.	True	True	1.4478252	124	124, 205, 844	1.0	124
28	Tôi ở Osaka	I stay in Osaka.	I stay in Osaka.	True	True	1.3649371	249	249, 535, 413	1.0	249
29	Trường của chúng tôi ở trong làng này.	Our house adjoins his.	Our school is in this village.	False	True	1.3483375	858	858, 716, 856	0.3333333333333333	856
30	Nước Bra-xin có rất nhiều thành phố lớn.	There are a lot of big cities in Brazil.	There are a lot of big cities in Brazil.	True	True	1.4058695	453	453, 799, 314	1.0	453
31	Tôi hoàn toàn không hiểu bạn.	I rescued you.	I don't quite follow you.	False	False	1.3356917	125	125, 193, 18	0	904
32	Tôi không sao nhớ nổi Timothy trông như thế nào, nhưng tôi tin chắc là tôi sẽ nhận ra anh ấy ngay.	Who's your favorite poet?	I can't remember what Timothy looks like, but I'm sure I'll know him by sight.	False	False	1.402731	205	205, 760, 727	0	734
33	Giữ được bình tĩnh khi có chuyện khẩn cấp là rất quan trọng.	Flexible work hours make employees more productive.	It's very important to keep your head if there's an emergency.	False	False	1.391942	208	208, 112, 293	0	730
34	Hãy chắc là bạn tới đón tôi lúc năm giờ nha!	Are you busy today?	Make sure that you pick me up at five, please.	False	False	1.4349883	929	929, 531, 171	0	633
35	Nó khá nóng đấy.	Goodbye. See you tomorrow.	It's kind of hot.	False	False	1.4277376	886	886, 442, 985	0	189
36	Tia tử ngoại và tia hồng ngoại là loại ánh sáng mắt người không nhìn thấy được.	Infrared and ultra-violet rays are types of light invisible to the human eye.	Infrared and ultra-violet rays are types of light invisible to the human eye.	True	True	1.1847417	558	558, 582, 469	1.0	558
