	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Họ có nghiêm túc không?	Are they serious?	Are they serious?	True	True	1.2387184	178	178, 654, 759	1.0	178
1	Xin lỗi, cho phép tôi chỉ ra ba lỗi trong bài viết trên.	Excuse me, let me point out three mistakes in the above article.	Excuse me, let me point out three mistakes in the above article.	True	True	1.1914814	516	516, 574, 321	1.0	516
2	Chúng tôi sống ở nông thôn trong suốt mùa hè.	We live in the country during the summer.	We live in the country during the summer.	True	True	1.1464918	900	900, 477, 798	1.0	900
3	Tom là nhân viên tốt nhất mà chúng ta chưa từng có.	Tom is the best employee we've ever had.	Tom is the best employee we've ever had.	True	True	1.0864793	563	563, 916, 939	1.0	563
4	Đây là một bông hoa đẹp.	This is a beautiful flower.	This is a beautiful flower.	True	True	1.1840135	524	524, 46, 583	1.0	524
5	Tom là một người lính dũng cảm.	Tom was a brave soldier.	Tom was a brave soldier.	True	True	1.1730918	410	410, 416, 701	1.0	410
6	Tom cực kỳ bối rối.	Outsiders make Tom nervous.	Tom is very disturbed.	False	True	1.2608325	89	89, 707, 113	0.5	707
7	Bọn tớ vẫn đang cố	You're the last hope for humanity.	We're still pushing ahead.	False	False	1.1391658	519	519, 624, 152	0	68
8	Bạn muốn dùng sữa hay đường?	Do you want tea or coffee?	Do you want sugar or milk?	False	True	1.1125809	351	351, 481, 564	0.5	481
9	Hắn phạm tôi ăn cắp.	Watch out! That car almost hit you.	He is guilty of stealing.	False	False	1.2562423	768	768, 43, 233	0	848
10	Tôi có ba em trai.	I have three younger brothers.	I have three younger brothers.	True	True	1.0962324	470	470, 941, 958	1.0	470
11	Cô ấy nói chậm lại vì học sinh không nghe kịp.	My sister hasn't done homework for herself.	She spoke slowly in case the students should miss her words.	False	True	1.2644761	939	939, 658, 56	0.5	658
12	Anh ta đi ra ngoài bất chấp cơn mưa.	He went out in spite of the rain.	He went out in spite of the rain.	True	True	1.1621642	949	949, 402, 490	1.0	949
13	Họ tố cáo anh ấy có mặt trong lớp để gấy náo động.	They accused him of being in the classroom in order to cause trouble.	They accused him of being in the classroom in order to cause trouble.	True	True	1.190763	931	931, 89, 687	1.0	931
14	Hôm qua tôi đã đọc sách.	Yesterday, I read a book.	Yesterday, I read a book.	True	True	1.166523	689	689, 619, 784	1.0	689
15	Chúng tôi thấy ngồi nhà rung lắc.	I lived for years and years.	We felt the house shake.	False	False	1.2589138	945	945, 732, 777	0	711
16	Làm sao để tìm thức ăn ngoài vũ trụ?	How do you find food in outer space?	How do you find food in outer space?	True	True	1.044424	196	196, 564, 13	1.0	196
17	Chúng tôi bơi trong hồ.	We swam in the lake.	We swam in the lake.	True	True	1.2227747	441	441, 852, 477	1.0	441
18	Tôi phải làm việc vào tuần này.	I have to work this weekend.	I have to work this weekend.	True	True	1.143959	463	463, 598, 970	1.0	463
19	London nằm trong số những thành phố lớn nhất thế giới.	London is among the largest cities in the world.	London is among the largest cities in the world.	True	True	0.78426695	168	168, 428, 505	1.0	168
20	Tôi xin hứa tôi sẽ không làm vậy nữa.	I promise I won't do that again.	I promise I won't do that again.	True	True	1.0982413	811	811, 740, 910	1.0	811
21	Tôi cảm thấy dễ chịu hơn nhiều.	You have a good sense of humor.	I'm feeling much better.	False	False	1.1459434	254	254, 456, 193	0	547
22	Tôi rất mơ ước được nhìn thấy Paris.	I'll never forget having a good time with you all.	I'm dying to see Paris.	False	False	1.1484658	426	426, 75, 83	0	352
23	Không có gì cứng bằng kim cương.	Nothing is as hard as a diamond.	Nothing is as hard as a diamond.	True	True	1.1796482	259	259, 583, 161	1.0	259
24	Rượu bản thân nó không có hại.	Wine is not harmful in itself.	Wine is not harmful in itself.	True	True	1.1889638	161	161, 63, 682	1.0	161
25	Muối là nguyên liệu nhất thiết phải có để nấu nướng.	The soup tastes of garlic.	Salt is an indispensable ingredient for cooking.	False	True	1.1905199	63	63, 754, 29	0.5	754
26	Tôi định sẽ nói với anh sự thật	Roger, what you say makes sense and I agree with you.	I'll tell you the truth.	False	True	1.1429763	780	780, 62, 884	0.5	62
27	Số tiền này ít hơn số bọn mình muốn.	This is much less money than we expected.	This is much less money than we expected.	True	True	1.297097	124	124, 67, 456	1.0	124
28	Tôi ở Osaka	I stay in Osaka.	I stay in Osaka.	True	True	1.1872431	249	249, 555, 716	1.0	249
29	Trường của chúng tôi ở trong làng này.	Yesterday I met Marie.	Our school is in this village.	False	False	1.3632743	314	314, 716, 825	0	856
30	Nước Bra-xin có rất nhiều thành phố lớn.	There are a lot of big cities in Brazil.	There are a lot of big cities in Brazil.	True	True	1.2284108	453	453, 816, 869	1.0	453
31	Tôi hoàn toàn không hiểu bạn.	It is a great pity that you don't know it.	I don't quite follow you.	False	False	1.0706202	792	792, 740, 207	0	904
32	Tôi không sao nhớ nổi Timothy trông như thế nào, nhưng tôi tin chắc là tôi sẽ nhận ra anh ấy ngay.	No matter how much you try to convince people that chocolate is vanilla, it'll still be chocolate, even though you may manage to convince yourself and a few others that it's vanilla.	I can't remember what Timothy looks like, but I'm sure I'll know him by sight.	False	False	1.0861742	878	878, 740, 581	0	734
33	Giữ được bình tĩnh khi có chuyện khẩn cấp là rất quan trọng.	Health is essential to happiness.	It's very important to keep your head if there's an emergency.	False	False	1.2240754	805	805, 798, 254	0	730
34	Hãy chắc là bạn tới đón tôi lúc năm giờ nha!	That's OK, we can go Dutch tonight.	Make sure that you pick me up at five, please.	False	False	1.223495	719	719, 538, 456	0	633
35	Nó khá nóng đấy.	It's raining heavily.	It's kind of hot.	False	True	1.3651497	40	40, 189, 442	0.5	189
36	Tia tử ngoại và tia hồng ngoại là loại ánh sáng mắt người không nhìn thấy được.	Infrared and ultra-violet rays are types of light invisible to the human eye.	Infrared and ultra-violet rays are types of light invisible to the human eye.	True	True	0.9720659	558	558, 469, 507	1.0	558
37	Tớ biết con người cô ấy thế nào.	Nothing is beautiful but the truth.	I know her personally.	False	False	1.1535943	837	837, 662, 193	0	132
38	Trước tiên, tôi muốn bạn đi với tôi đến chỗ đang bán hàng giảm giá ở trung tâm mua sắm.	Be careful when you shop, because some sales people will try to take advantage of you and offer you an expensive price.	First off, I'd like you to come with me to a department store sale.	False	True	1.1229502	775	775, 777, 346	0.3333333333333333	346
39	"Tôi hỏi ""tên mày là gì?""."	Whose beer is this?	"""What's your name?"" I asked."	False	True	1.0816308	564	564, 310, 411	0.5	310
40	Tom hiếm khi phàn nàn về bất cứ thứ gì.	Tom hardly ever complains about anything.	Tom hardly ever complains about anything.	True	True	1.074009	113	113, 621, 617	1.0	113
41	Tôi đang viết một cuốn sách.	Yesterday, I read a book.	I'm writing a book.	False	True	1.0548816	689	689, 584, 555	0.5	584
42	Thật là một buổi chiều thú vị.	It was a very pleasant afternoon.	It was a very pleasant afternoon.	True	True	1.1553433	212	212, 326, 254	1.0	212
43	Đất nước của chúng tôi đang trong thời kỳ khủng hoảng.	Our country is in a crisis.	Our country is in a crisis.	True	True	1.0537552	152	152, 226, 157	1.0	152
44	Nơi nào đẹp nhất thế giới?	Which of these do you consider your best painting?	What is the most beautiful place in the world?	False	True	1.116386	350	350, 505, 564	0.5	505
45	Tôi mừng khi thấy gần đây sếp rất khỏe mạnh.	It is very nice of you to help me with my homework.	I'm glad to say that the boss has been very well lately.	False	False	1.1536562	970	970, 426, 254	0	334
46	Mọi người ngắm sao khi trời tối hơn nữa.	When it is darkest, men see the stars.	When it is darkest, men see the stars.	True	True	1.0703294	649	649, 886, 819	1.0	649
47	Tại lễ hội, mọi người đều ăn mặc đẹp.	At the party, everybody was well-dressed.	At the party, everybody was well-dressed.	True	True	1.1814778	17	17, 753, 731	1.0	17
48	Tôi từng tận mắt thấy nó.	I'll never ever forget you.	I've seen it myself.	False	False	1.2074912	128	128, 550, 314	0	130
49	Rốt cuộc cậu là ai vậy?	Whose beer is this?	Who are you, anyway?	False	True	1.0657797	564	564, 606, 535	0.5	606
