Nem szavaztam.	I kept my word.	False
- Még valamit? - Nem, ennyi volt az egész.	"""That bitch kicked me in the balls."" ""You deserved it."""	False
Merry fél a kutyáktól.	Peter is buying a tomcat.	False
Nagy nap ez a mai, fiam!	Today is a big day, son!	True
Linda nagyon szereti a csokoládét.	She wants him to be just a friend.	False
Na végre, hogy esik!	This is silly!	False
El fogom olvasni ezt a könyvet.	I'll read this book.	True
Végül a busz megállt.	The car broke down, so that we had to walk.	False
Úgy gondolom, még várhatnánk egy fél órát.	I think we should wait another half an hour.	True
A hozzászólásaid mindig nagyon hasznosak számomra.	This noise is unbearable.	False
Mi egy pár vagyunk.	We're a couple.	True
Két szép fia van.	He has two beautiful boys.	True
A fenébe! Nem találom a pénztárcámat.	I saw somebody steal the merchandise.	False
Nem tudtam, hová mehetnék.	I had no chance to escape.	False
Az élet csodaszép.	Life is a bitch.	False
Kötelező autót bérelni?	Is it obligatory to rent a car?	True
Nem vagyok az a trendi típus.	I'm not the trendy type.	True
Jó nap ez a mai!	Today is a big day, son!	False
Önök beszélnek oroszul?	Do you speak Russian?	True
A zene túl hangos.	The music is too loud.	True
Igaz, hogy művelt, de hiányzik belőle a bölcsesség.	It is true he is a learned man, but he lacks common sense.	True
Kérem, hogy hétfőn jöjjön.	It'll be forgotten in a few months' time.	False
Mindig elsőként nyílik panaszra a szája.	He felt ashamed about what he saw.	False
Mindenki azt akarja hallani, amit hallani akar.	Everyone wants to hear what everyone wants to hear.	True
Tom odaégette a borjút.	Tom got Mary to scratch the part of his back he couldn't reach.	False
Ha nincs hír, az jó hír.	There's no doubt: the universe is infinite.	False
Nem itta meg a tejet.	He ate a piece of the pie.	False
Két óra van.	I think we should wait another half an hour.	False
Ez mind miattad van.	That ship has sailed.	False
A kommunizmustól való félelem nagyon erős volt abban az időben.	Fear of communism was very strong at that time.	True
Tomi mindig panaszkodik, igaz?	Tom always complains, doesn't he?	True
Tom sokat beszél.	Just ignore Tom. He always seems to be complaining about something.	False
Mi történt ott pontosan?	How can we prove it actually happened?	False
Mi az ő foglalkozása?	Who was the first one here today?	False
Gondoltam, hogy talán akarnál enni valamit.	To tell the truth, I've already seen that movie.	False
Ez hülye!	This is silly!	True
Kell nekem egy bélyeg.	Give me the knife.	False
Szabad még egyszer hívnom téged?	Shall we watch the movie now?	False
Ez a szó nem található a listán.	This word is not found in the list.	True
Azt gondoltam, helyesen cselekszem.	To tell the truth, I've already seen that movie.	False
Nem hiszem el, hogy Tom igent mondott.	Tom said that he didn't see anything.	False
Te nem törődsz velem.	Don't tread on it.	False
Hívom az ügyvédemet.	Give me the knife.	False
Nem lesz ennek jó vége.	This isn't going to end well.	True
A csoki édes.	I like cracking sunflower seeds.	False
Csakugyan tetszik?	Can you believe Tom is still only thirteen?	False
A megjelenés kötelező.	It is unfortunately true.	False
Sokat jelent nekem.	Something is watching me.	False
Egy ember meghalt.	One person was killed.	True
Egyszer majd sajnálni fogod ezt.	To tell the truth, I've already seen that movie.	False
A világegyetem kétségtelenül végtelen.	There's no doubt: the universe is infinite.	True
Tomi halála után röviddel a felesége újraházasodott.	Tom's wife remarried shortly after his death.	True
A fia hét éve eltűnt.	His son disappeared seven years ago.	True
Azon az estén korán feküdtem le.	I heard this sentence on the street about an hour ago.	False
Biztos vagyok benne, hogy tetszik az új munkád.	There is nothing to be scared of.	False
George hasba vágta őt.	George hit him in the stomach.	True
a szexuális zaklatás komoly probléma lehet a munkahelyen.	Sexual harassment can be a serious problem in the workplace.	True
Nagyon szeretek síelni.	They are hungry.	False
Sírt-rítt.	I scratched my records.	False
Minden adandó alkalommal írok.	I meet Mihaela every morning at the subway.	False
A vihar még hevesebbé vált.	The storm became even more violent.	True
Tom éppen rám néz.	You got shot, Tom.	False
Japán tele van meglepetésekkel.	They are looking at only the sunny side of the American economy.	False
Látni akarjuk.	We want to see it.	True
Ausztrália fiataljainak nevében beszélünk.	We are speaking on behalf of the young people of Australia.	True
A fotót meghamisították.	The photograph was falsified.	True
Nagyon sürgős ez a dolog.	That's a depressing story.	False
Elolvadt a hógolyó a kezemben.	The snowball melted in my hand.	True
Mióta tanulsz eszperantóul?	Do you speak Russian?	False
Melyik iskolába jársz?	Where does your sister go to school?	False
Meg kellett volna vitatnod egy ügyvéddel.	I saw somebody steal the merchandise.	False
Tanulnod kellene.	Children love to dig in the sand.	False
Miért akarnál segíteni Tomon?	Why would you want to help Tom?	True
Házas vagyok.	You clean up.	False
Mikor látogatsz meg ismét?	Shall we watch the movie now?	False
Azt akarom, hogy szállj le rólam!	Give me that piece of paper, and I will inspect it!	False
Rá ne lépj!	Don't step on the broken glass.	False
Neki túl sok könyve van.	He has too many books.	True
Ez a szokásos eljárás.	It's standard procedure.	True
Gyere ki velem.	I will shoot him.	False
Mire kell neked ez az autó?	What are you going to use this car for?	True
Tom megint becsapott minket.	Tom tricked us again.	True
Ne felejtsd el ráírni az irányítószámot!	Don't forget to write the zip code.	True
A világ egy őrültek háza.	This world is just an insane asylum.	True
Csodálatos dolog Amerikában lenni, ha azért vagy itt, hogy pénzt keressél.	America is a lovely place to be, if you are here to earn money.	True
Ez egy lesújtó történet.	This world is just an insane asylum.	False
Tudod, hogy a templomban van?	Do you know she's in the church?	True
Azon dolgozom.	You clean up.	False
Egész éjszaka sírt.	I don't enjoy eating ice cream during the winter.	False
Számos csillag volt látható az égen.	Numerous stars were visible in the sky.	True
Üdvözölt bennünket.	Give me the knife.	False
Megjavította-e az új edző a csapat minőségét?	Has the new coach improved the team's quality?	True
Néhány ember lenéz másokat, csak mert kevesebb pénzük van.	Some people look down on others because they have less money.	True
Belém rúg!	This is silly!	False
Ezen a vidéken nincs elég víz.	Water is scarce in this area.	True
A nyelv tudomásunk szerint egy emberi találmány.	Language, as we know it, is a human invention.	True
A város szó szerint Mussolininek köszönheti a létét?	Does the city literally owe its existence to Mussolini?	True
Ez nem fontos.	This matter is very urgent.	False
Ha nem megy el az iskolába, nem beszélek vele többé.	If he doesn't go to school, I will not talk to him anymore.	True
A szomszédasszonyom kleptomániás.	My neighbor is a kleptomaniac.	True
Elvesztettem a jegygyűrűmet.	He begged us to go with him.	False
Az állatok nem tudnak különbséget tenni az igaz és hamis dolgok között.	They are too busy fighting against each other to care for common ideals.	False
Mire gondolsz, amikor a rádióaktivitás szót meghallod?	Are you intentionally trying to confuse me?	False
Na mozdulj már!	Get your arse into gear!	True
Mennyire fáj?	Are they in Paris?	False
Tom Jacksoné a ló, amelyik megnyerte a versenyt.	The horse that won the race is owned by Tom Jackson.	True
Ne tegyen úgy, mintha nem tudná, miről beszélek!	There is nothing to be scared of.	False
Én próbáltam.	I knew you could do it, Tom.	False
Itt van egy törülköző, ezt használhatod.	Here's a towel that you can use.	True
Meg akarod ezt ma csinálni?	Can your brother drive a car?	False
Egyre több pár megy külföldi nászútra.	More and more couples go on honeymoon trips abroad.	True
A legtöbb ember azt hiszi, hogy őrült vagyok.	No one is listening to you.	False
Várjunk csak, most mit is akarsz tenni?	Do you really want to break up with your girlfriend?	False
Művészetben megegyezik az ízlésünk.	Animals cannot distinguish between truth and falsehood.	False
A gazdaság stabilitása minden kormány célja.	A stable economy is the aim of every government.	True
Elengedné a karom?	I saw somebody steal the merchandise.	False
- Nagyon jó lehet magasnak lenni. - Úgy véled? Nem igazán olyan jó. Folyton bevered a fejed a plafonba.	"""It must be great to be tall."" ""Do you think so? It's not really that great. You keep bumping your head on the ceiling."""	True
Házas vagyok és van egy lányom.	I am married and I have a daughter.	True
Aláírták a szerződést.	The treaty was signed.	True
Ne legyél köcsög.	Don't forget to write the zip code.	False
Ha nagy leszek, pilóta leszek. És te mi leszel?	When I grow up, I'll be a pilot. And what will you be?	True
Az orvos megszegte a hippokratészi esküt.	The doctor broke the Hippocratic Oath.	True
A cég tankönyveket ad ki.	The firm publishes educational books.	True
Folytatta a munkát.	She proceeded with the work.	True
Ez nem az én esernyőm, hanem valaki másé.	This world is just an insane asylum.	False
Kezdjük veled.	You must stop him.	False
Jordan úr egy kicsit meglepett volt.	She's a cold-hearted bitch.	False
Együtt kell odamennünk.	I think we should wait another half an hour.	False
Tudom, hogy Tom a barátod.	Tom told me that I could use his computer.	False
Most menjünk moziba?	Can your brother drive a car?	False
Itt lesz nemsokára?	Could we go somewhere else?	False
Kato úrnő volt tavaly a tanárod?	Was Ms. Kato your teacher last year?	True
György születésétől fogva becsületes.	This fact must not be forgotten.	False
Ki kell találnunk valamit.	There is nothing to be scared of.	False
Bizonyára esni fog.	Love is never wasted.	False
Tud a fivéred autót vezetni?	Can your brother drive a car?	True
Nem értem a kérdés jelentését.	I don't understand the meaning of the question.	True
Te mit mondanál a helyemben?	May I leave a message?	False
A mopszok nem valami aranyosak.	They are looking at only the sunny side of the American economy.	False
