	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Apakah Tom mengatakan sesuatu kepadamu tentang hal itu?	What are they saying?	Did Tom say anything to you about that?	False	True	1.3623732	938	938, 121, 277	0.3333333333333333	277
1	Tolong jangan coba-coba kabur, sebab mata musuh-musuhmu sedang mengawasi.	I am become death, the destroyer of worlds.	Do not try to run away, please, because the eyes of your enemies are watchful.	False	True	1.3988585	70	70, 100, 992	0.5	100
2	Tambahkan sedikit gula.	Put in a little more sugar.	Put in a little more sugar.	True	True	1.2761208	43	43, 992, 134	1.0	43
3	Tanpa mengatakan sepatah kata maupun menangis, ia terdiam dan pergi ke luar.	I came near to being drowned.	He neither spoke nor wept, but went out in silence.	False	False	1.3827419	104	104, 70, 861	0	576
4	Sikapnya padaku berbeda dari biasanya.	Good luck with the new job.	Her behaviour toward me was a departure from the norm.	False	False	1.4089141	900	900, 763, 992	0	965
5	Apakah kamu tinggal di sini?	Where are you headed?	Do you live here?	False	False	1.2807518	866	866, 594, 864	0	494
6	Bagaimana kamu bisa terluka?	Where are you headed?	How did you get injured?	False	False	1.302986	866	866, 594, 878	0	159
7	Tom tidak seperti dirinya hari ini.	There is always something happening here.	Tom isn't quite himself today.	False	False	1.4097984	257	257, 900, 743	0	799
8	Dia punya kesempatan yang bagus untuk sukses.	He has a good chance to succeed.	He has a good chance to succeed.	True	True	1.2588673	743	743, 900, 212	1.0	743
9	Baiklah. Berapa banyak?	All right. How many?	All right. How many?	True	True	1.3120754	920	920, 900, 516	1.0	920
10	Kamu siapa?	Who am I talking with?	Who are you?	False	True	1.3542297	644	644, 506, 616	0.5	506
11	Aku suka pergi memancing dengan ayahku.	Good luck with the new job.	I like to go fishing with my father.	False	False	1.3025998	900	900, 880, 498	0	678
12	Dia tidak menemukan hal yang mencurigakan.	Good luck with the new job.	She didn't notice anything suspicious.	False	False	1.3653913	900	900, 338, 28	0	388
13	Aku mau kopi, roti panggang, dan jeli.	I want coffee, toast, and jelly.	I want coffee, toast, and jelly.	True	True	1.2904418	501	501, 664, 447	1.0	501
14	Saya sedang sibuk dan tidak bisa pergi.	You must be tired after such a long trip.	I am busy now and can't go out.	False	False	1.335518	212	212, 104, 472	0	461
15	Dia mengantarku pulang.	We sent for a doctor.	She gave me a ride home.	False	True	1.3820623	865	865, 505, 861	0.5	505
16	Ia memperoleh keuntungan yang besar.	They gained great wealth.	They gained great wealth.	True	True	1.2844164	431	431, 699, 817	1.0	431
17	Telepon aku kalau sudah siap.	I hope he can help you.	Call me when you're ready.	False	False	1.3603857	646	646, 756, 510	0	898
18	Aku memberi Tom perintah langsung, tapi dia tidak mengacuhkannya.	Did you get this from Tom?	I gave Tom a direct order, but he ignored it.	False	False	1.3032646	309	309, 294, 277	0	392
19	Dia tidak memiliki keturunan untuk menggantikannya.	He has no children to succeed to him.	He has no children to succeed to him.	True	True	1.2307483	46	46, 783, 676	1.0	46
20	Saya alergi akan serbuk bunga.	I love lasagna.	I am allergic to pollen.	False	False	1.4008771	189	189, 472, 992	0	259
21	Itu ada di bawah kursi.	The taxi is waiting outside.	It is under the chair.	False	False	1.2737484	983	983, 653, 456	0	891
22	Apa pekerjaan Anda?	What are you reading?	What is her profession?	False	False	1.3040627	551	551, 469, 506	0	926
23	Nama saya Ichiro Tanaka.	My name is Ichiro Tanaka.	My name is Ichiro Tanaka.	True	True	1.1841543	979	979, 922, 112	1.0	979
24	Kita wajib melalui pemeriksaan bea dan cukai saat kedatangan.	They paid customs duties.	It's necessary to go through customs on arriving.	False	False	1.3661106	798	798, 900, 913	0	929
25	Aula ini dapat menampung 2000 orang.	This hall holds two thousand people.	This hall holds two thousand people.	True	True	1.2643927	539	539, 771, 49	1.0	539
26	Kau salah jika berpikir bahwa dia berbuat salah.	Stop gawking at him.	You are mistaken if you think he is wrong.	False	False	1.3650147	780	780, 516, 636	0	537
27	Aku harus menonton sebuah film dokumenter.	We sent for a doctor.	I should watch a documentary.	False	False	1.3393418	865	865, 101, 128	0	755
28	Tom dan Mary berdiri berdekatan satu sama lain.	Tom and Mary were standing close to each other.	Tom and Mary were standing close to each other.	True	True	1.2683314	763	763, 768, 83	1.0	763
29	Si gadis mendengarkan musik, si pemuda membaca buku.	The girl listened to music, the boy was reading a book.	The girl listened to music, the boy was reading a book.	True	True	1.2853172	630	630, 189, 13	1.0	630
30	Aku akan pergi mandi.	I saw them leave together.	I'm going to have a shower.	False	False	1.3168216	84	84, 557, 498	0	684
31	Aku tidak sanggup kalau harus berbelanja di toko semahal itu.	You are always to knock before entering my room.	I can't afford to shop at such an expensive store.	False	False	1.3539078	472	472, 900, 972	0	402
32	Dimana kursi saya?	How much do you charge by the hour?	Where is my seat?	False	False	1.422305	57	57, 159, 866	0	239
33	Sudahlah, Tom, kita tidak punya waktu untuk hal ini.	You must be tired after such a long trip.	Look, Tom, we don't have time for this.	False	False	1.2717866	212	212, 900, 708	0	292
34	Tom lebih pandai bermain catur daripada saya.	I can no more swim than a stone can.	Tom plays chess better than me.	False	True	1.3898264	28	28, 586, 880	0.5	586
