	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	KAppfinder	KAppfinder	KAppfinder	True	True	0.0	500	500, 95, 578	1.0	500
1	Viidodat	Cursor	Scope	False	False	0.5953258	643	643, 359, 252	0	383
2	1200 čd	1200dpi	1200dpi	True	True	0.76110125	765	765, 841, 306	1.0	765
3	Mendoza (MZ)	Mendoza (MZ)	Mendoza (MZ)	True	True	0.0	172	172, 284, 605	1.0	172
4	Iranalašgiella	Teleorman	Persian	False	False	0.8710917	731	731, 578, 935	0	97
5	Geavat & iežat signála	Add & platform name	Use customised bell	False	False	0.8251755	403	403, 215, 648	0	779
6	Lasit árvvu	Alū ksne	Add value	False	False	0.75217164	264	264, 366, 354	0	494
7	jeara	Bevel	ask	False	False	0.62731624	202	202, 935, 183	0	516
8	& Vállje čálána	Luboš Luň ák	& Select Printer	False	False	0.9948877	366	366, 868, 81	0	471
9	Ii gávdnan prográmma « nspluginscan ». Ii sáhte ohcat Netscape- lassemoduvllaid.	Oroomieh Lakeiran. kgm	The nspluginscan executable cannot be found. Netscape plugins will not be scanned.	False	False	0.7819375	139	139, 527, 459	0	251
10	Sáhttá čájehit/ lohkat ja rievdadit/ čállit	Luboš Luň ák	Can View/ Read & Modify/ Write	False	False	0.8686898	366	366, 264, 841	0	653
11	KDE- prográmma	KDE (new)	KDE Application	False	False	0.5324538	231	231, 988, 667	0	386
12	Čájeheapmi	Logout	Browsing	False	False	0.7733501	486	486, 367, 768	0	242
13	Geavaheaddjedieđut	Oroomieh Lakeiran. kgm	User & Info	False	False	0.80309796	139	139, 489, 330	0	409
14	undo-type	undo-type	Could not open thumbnail '%s': %sundo-type	False	False	0.0	77	77, 785, 546	0	705
15	Badjerádji:	Al Madinah	Max clients:	False	False	0.91870403	592	592, 484, 214	0	960
16	Go dát lea válljejuvvon, de vi- gohččumat badjelgehččet Kate sisahuksejuvvon gohččumiid. Ovdamearka dihte: Ctrl + R máksá « daga ođđasit », iige čájet ohcan - ja buhttenláseža mii lea standárda.	Luboš Luň ák	When selected, vi commands will override Kate 's built-in commands. For example: Ctrl+R will redo, and override the standard action (showing the search and replace dialogue).	False	False	0.86276126	366	366, 264, 539	0	447
17	Čájet olles dokumeantabálgá namahusholggas	Alū ksne	Show the complete document path in the window caption	False	False	0.8701948	264	264, 366, 459	0	129
18	Vállje visot	Flatten	Select all	False	False	0.86591005	83	83, 496, 220	0	353
19	Eretlaktimin	Override	Disconnect	False	False	0.83263624	452	452, 847, 434	0	950
20	Ovddit máŧasdoalli	Ömnögov ĭ	Former co-maintainer	False	False	0.51122737	81	81, 264, 841	0	805
21	Gaskageardán	Sindh	Medium	False	False	0.7839571	600	600, 627, 483	0	791
22	Borg	Burn	Jul	False	False	0.5139054	585	585, 242, 833	0	467
23	& Gidde gilkora	& Send	& Close Tab	False	False	0.8284918	444	444, 459, 659	0	868
24	Viečča ođđa, somás tiŋggaid!	Luboš Luň ák	Get Hot New Stuff!	False	False	0.9942014	366	366, 81, 60	0	645
25	Musihkka	Kapoita	Music	False	False	0.5753101	354	354, 338, 383	0	712
26	Amerihká ovttastuvvan stáhtat	Luboš Luň ák	United States	False	False	0.9933505	366	366, 841, 459	0	482
27	& Kryptere dán oasi	& Send	Encrypt this part	False	False	0.90317786	444	444, 973, 459	0	720
