	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	ကျောင်းများထိတွေ့ဆက်ဆံနေချိန်တွင်လက်ဇန္ဒြီးယား	They spent time together, ate meals together, and prayed together. (Acts 2:42) And when Christians were persecuted, they remained united.	Alexandria 	False	False	1.1161609	957	957, 730, 560	0	520
1	သာမညသိုးထိန်းများအတွက် မဟာကောင်းချီးတစ်ရပ်	He had become a Bible Student, as Jehovah’s Witnesses were then called. Although the majority of Brother Aboud’s friends and relatives did not respond to the Bible message, two well-known persons did, a professor, Ibrahim Atiyeh, and a dentist, Hanna Shammas. Dr. Shammas, in fact, made his house and clinic available for Christian meetings.	After mentioning that Jesus was born at a time when shepherds were out-of-doors at night watching their flocks, 19th-century Bible scholar Albert Barnes concluded: “It is clear from this that our Saviour was born before the 25th of December . . .	False	False	1.1651298	328	328, 463, 730	0	400
2	ကိုယ်တိုင်	Stay home.	self	False	False	1.05284	137	137, 143, 154	0	710
3	ဒီအပေါ်မှာ တည်ဆောက်လို့ရပါတယ်။	And this is why I have been looking into solar cells and solar panels. 	And of course, we can build on top of this. 	False	False	1.0172236	255	255, 149, 148	0	293
4	တွမ် က သူ့ လမ်းထဲက လူတိုင်းနဲ့ ကို သိတာ။	The reason that happened to you was because you weren't careful.	Tom knows everybody on his street.	False	False	0.9501672	148	148, 140, 142	0	180
5	၁၂။ အပန်းဖြေမှုနဲ့ပတ်သက်ပြီး ဆုံးဖြတ်ချက်ချရာမှာ လုကာ ၁၄:၂၈ မှာပါတဲ့မူက ဘယ်လိုကူညီပေးနိုင်သလဲ။	DO WE NEED RELIGION? 6. What view of religion do many people have? 6 “You can be happy without religion.”	What is revealed by our answer to the question, ‘When will I engage in recreation?’ 9 The second question to ask yourself is, When?​—that is, ‘When will I engage in recreation?	False	False	0.91328955	956	956, 231, 148	0	736
6	ထိုလူရွယ်က တစ်ခဏတုံ့ဆိုင်းသွားပြီး ဟာဘတ်၏စိစစ်ရေးကတ်ကို ပြန်ပေးလိုက်သည်။ ထိုအမျိုးသမီး၏သမီးကို ရဲသားက ပိုးပန်းနေကြောင်း နောက်ပိုင်းတွင် ဟာဘတ်သိလိုက်ရသည်။ ဟာဘတ်ကိုဖမ်းဆီးဖို့ထက် မိန်းကလေးကိုပိုးပန်းလျှင် ပိုအကျိုးရှိမည်ဟု သူယူဆပုံရကြောင်းထင်ရှားပါသည်။	Dustin explained why he preferred to go to the Kingdom Hall. His father acquiesced and said that he would allow Dustin to go there. One evening after attending a meeting at the Kingdom Hall, Dustin’s mother could not find him. Without telling her, he had approached the Theocratic Ministry School overseer and had asked about enrolling in the school. His mother agreed. Excitedly he looked forward to his first talk assignment. At the same time, however, he began to have severe pain in his hip, and he was thus taken to various doctors for examination. Finally, the big night for Dustin’s talk at the Kingdom Hall arrived. By then, he was using crutches. Although it was obvious that he was in pain, he walked without them to the platform.	What a comfort to know that Elijah experienced the same emotions! And how reassuring that just as Jehovah understood Elijah’s feelings, He also understands our emotional struggle.​—Psalm 103:14. On the one hand, we love God and our fellowman and desire to do Jehovah’s work of proclaiming the Kingdom good news.	False	False	1.0142783	988	988, 750, 404	0	739
7	PE အင်္ကျီ VCI Anti-သံချေး Kraft စက္ကူ	Expanded PTFE joint tape is manufactured from 100% PTFE, it is an inert material which can be used in many applications against corrosive environments, except molten alkali metals and elemental fluorine. 24B will not contaminate media and can be used in food and drug equipment applications. 	PE Coated VCI Anti-Rust Kraft Paper 	False	True	1.1378603	889	889, 538, 382	0.3333333333333333	382
8	ဖိုင်ထုပ်ကို	Reaction Bonded Silicon Carbide Plate 	An error occurred while loading the archive.	False	False	1.0396608	440	440, 973, 689	0	415
9	အဲ့ဒါက တကယ့် အစီအစဥ် မဟုတ်ခဲ့ဘူး။	The reason that happened was because you weren't careful.	It wasn't really a plan.	False	False	1.0734538	149	149, 142, 141	0	103
