	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Họ có nghiêm túc không?	Are they serious?	Are they serious?	True	True	0.9970255	178	178, 446, 654	1.0	178
1	Xin lỗi, cho phép tôi chỉ ra ba lỗi trong bài viết trên.	Excuse me, let me point out three mistakes in the above article.	Excuse me, let me point out three mistakes in the above article.	True	True	0.96108294	516	516, 862, 574	1.0	516
2	Chúng tôi sống ở nông thôn trong suốt mùa hè.	We live in the country during the summer.	We live in the country during the summer.	True	True	0.8379172	900	900, 78, 685	1.0	900
3	Tom là nhân viên tốt nhất mà chúng ta chưa từng có.	Tom is the best employee we've ever had.	Tom is the best employee we've ever had.	True	True	0.85802484	563	563, 95, 636	1.0	563
4	Đây là một bông hoa đẹp.	This is a beautiful flower.	This is a beautiful flower.	True	True	0.9181373	524	524, 583, 837	1.0	524
5	Tom là một người lính dũng cảm.	Tom is very handsome.	Tom was a brave soldier.	False	True	0.84833527	416	416, 701, 410	0.3333333333333333	410
6	Tom cực kỳ bối rối.	Tom is very disturbed.	Tom is very disturbed.	True	True	1.0604935	707	707, 89, 498	1.0	707
7	Bọn tớ vẫn đang cố	You're the last hope for humanity.	We're still pushing ahead.	False	True	1.0007001	519	519, 68, 154	0.5	68
8	Bạn muốn dùng sữa hay đường?	Do you want sugar or milk?	Do you want sugar or milk?	True	True	0.8877578	481	481, 351, 97	1.0	481
9	Hắn phạm tôi ăn cắp.	Watch out! That car almost hit you.	He is guilty of stealing.	False	False	1.0068955	768	768, 43, 233	0	848
10	Tôi có ba em trai.	I have three younger brothers.	I have three younger brothers.	True	True	0.8362384	470	470, 461, 958	1.0	470
11	Cô ấy nói chậm lại vì học sinh không nghe kịp.	She spoke slowly in case the students should miss her words.	She spoke slowly in case the students should miss her words.	True	True	1.054042	658	658, 56, 309	1.0	658
