	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Apakah Tom mengatakan sesuatu kepadamu tentang hal itu?	Did Tom say anything to you about that?	Did Tom say anything to you about that?	True	True	0.7735597	277	277, 276, 275	1.0	277
1	Tolong jangan coba-coba kabur, sebab mata musuh-musuhmu sedang mengawasi.	Do not try to run away, please, because the eyes of your enemies are watchful.	Do not try to run away, please, because the eyes of your enemies are watchful.	True	True	0.981814	100	100, 570, 756	1.0	100
2	Tambahkan sedikit gula.	Put in a little more sugar.	Put in a little more sugar.	True	True	1.0567112	43	43, 888, 620	1.0	43
3	Tanpa mengatakan sepatah kata maupun menangis, ia terdiam dan pergi ke luar.	He neither spoke nor wept, but went out in silence.	He neither spoke nor wept, but went out in silence.	True	True	0.9875672	576	576, 840, 476	1.0	576
4	Sikapnya padaku berbeda dari biasanya.	Yours is not bad, either.	Her behaviour toward me was a departure from the norm.	False	False	1.0417432	595	595, 740, 473	0	965
5	Apakah kamu tinggal di sini?	Why do you need change?	Do you live here?	False	False	0.90543914	919	919, 530, 820	0	494
6	Bagaimana kamu bisa terluka?	Would you mind shutting the door?	How did you get injured?	False	False	1.0341105	916	916, 686, 869	0	159
7	Tom tidak seperti dirinya hari ini.	Tom isn't quite himself today.	Tom isn't quite himself today.	True	True	0.90712297	799	799, 937, 287	1.0	799
8	Dia punya kesempatan yang bagus untuk sukses.	He has a good chance to succeed.	He has a good chance to succeed.	True	True	0.8478675	743	743, 808, 355	1.0	743
9	Baiklah. Berapa banyak?	Yours is not bad, either.	All right. How many?	False	True	1.1333842	595	595, 516, 920	0.3333333333333333	920
10	Kamu siapa?	Who am I talking with?	Who are you?	False	False	1.052752	644	644, 710, 530	0	506
11	Aku suka pergi memancing dengan ayahku.	My dad will kill me.	I like to go fishing with my father.	False	True	0.9798249	652	652, 589, 678	0.3333333333333333	678
12	Dia tidak menemukan hal yang mencurigakan.	Yours is not bad, either.	She didn't notice anything suspicious.	False	False	0.94816613	595	595, 473, 593	0	388
13	Aku mau kopi, roti panggang, dan jeli.	I want coffee, toast, and jelly.	I want coffee, toast, and jelly.	True	True	0.8347807	501	501, 447, 664	1.0	501
14	Saya sedang sibuk dan tidak bisa pergi.	You must not go out after dinner.	I am busy now and can't go out.	False	True	0.89406395	907	907, 461, 128	0.5	461
15	Dia mengantarku pulang.	She allowed him to go alone.	She gave me a ride home.	False	False	1.0217257	783	783, 22, 273	0	505
16	Ia memperoleh keuntungan yang besar.	They gained great wealth.	They gained great wealth.	True	True	0.95338404	431	431, 743, 617	1.0	431
