	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Сертификатым пемгыдемдыме огыл. Кече ден жапым шке компьютерыштет терге.	Failure: Remote does not support proposed KE group	The certificate is not valid yet. Check that your computer's date and time are accurate.	False	False	1.0829725	932	932, 370, 127	0	500
1	%s %s. Ешартыш увераҥарым налашлан, `%s -h' пого.	%s (%s)	%s %s. Try `%s -h' for more information.	False	True	1.0878315	236	236, 652, 383	0.3333333333333333	383
2	Пайдаланышым тӱкылаш	Join whom in chat?	Block User	False	False	1.2950501	111	111, 487, 178	0	765
3	Электронике	eMusic Store	Electronics	False	False	1.3143866	296	296, 356, 749	0	172
4	Каталог серверым йодыштын кертме огыл.	Load buddylist from file...	Could not query the directory server.	False	False	1.12785	444	444, 404, 406	0	97
5	detach: Тиде сессийым кӱрлаш	detach: Detach this session	detach: Detach this session	True	True	1.1278739	779	779, 479, 100	1.0	779
6	Тӱшка-влакым иктыш ушаш	She lives in Yoshkar-Ola.	Merge Groups	False	False	1.1599305	53	53, 52, 598	0	494
7	Монитор	Instant Messaging	Monitor	False	False	1.1889479	864	864, 749, 332	0	516
8	Пыштыше	Emails	Boot loader	False	False	1.1750596	826	826, 100, 778	0	471
9	Тиде вашкылым кораҥдет гын, тушко пурышо чыламутланыше кораҥдалтеш	How many theaters are there in Yoshkar-Ola?	Removing this contact will also remove all the buddies in the contact	False	False	1.1397662	4	4, 53, 52	0	251
10	Тый %s мутланымаш лӱмер гыч кораҥдет. Шуйынет?	How many theaters are there in Yoshkar-Ola?	You are about to remove %s from your buddy list. Do you want to continue?	False	False	1.1648189	4	4, 111, 427	0	653
11	Койдымолан каласымашым колташ огеш лий:	Do you want to report the problem now?	Message could not be sent, not allowed while invisible:	False	False	1.1685692	877	877, 65, 4	0	386
12	Возалтмаш йоҥылыш	Invite to chat	Registration Error	False	False	1.2245917	789	789, 170, 53	0	242
13	PIN-код чын огыл. Тудо цифр-влак дене гына лийшаш [0-9].	The PIN is invalid. It should only consist of digits [0-9].	The PIN is invalid. It should only consist of digits [0-9].	True	True	0.9661057	409	409, 919, 610	1.0	409
14	_Пайдаланыше лӱм:	Co_nversations:	User_name:	False	False	1.2543994	629	629, 593, 438	0	705
15	%s Финч угыч ушнаш тӧчаш огеш тӱҥал, кызыт йоҥылышым тӧрлате да шке шотан возышым угыч чӱктӧ.	Failed to remove buddy	%s Finch will not attempt to reconnect the account until you correct the error and re-enable the account.	False	False	1.111298	810	810, 244, 53	0	960
16	Mxit дене ушымо годым йоҥылыш лийын. (лудмо йыжыҥ 0x05)	Co_nversations:	A connection error occurred to MXit. (read stage 0x05)	False	True	1.1293267	629	629, 447, 409	0.5	447
17	Пайдаланыше-влакым кычалаш...	Possible Matches	Search for Users...	False	False	1.2008191	898	898, 178, 902	0	129
18	ayttm	ayttm	ayttm	True	True	1.1695716	353	353, 312, 796	1.0	353
19	Чынлыкым терген керташ ыш лий: %s	Failed to store image: %s	Unable to authenticate: %s	False	False	1.162153	610	610, 263, 891	0	950
20	Экраным пырля кучылтмаш	Conversation	Screen Sharing	False	False	1.0748655	598	598, 949, 862	0	805
21	%s -лан йолташ лӱмым шынде.	Failed to remove buddy	Set friendly name for %s.	False	False	1.2026405	810	810, 244, 116	0	791
22	Угыч аныклаш	She lives in Yoshkar-Ola.	Overwrite	False	False	1.250264	53	53, 52, 237	0	467
23	Шке IM	Anki	Personal IM	False	False	1.3325377	980	980, 461, 399	0	868
24	Авторизацийым ӧрдыжтарыме нерген каласымаш:	Receiving As:	Authorization Denied Message:	False	False	1.2230346	759	759, 862, 259	0	645
25	Публичне сравочым тергаш	Verify Public Key	Verify Public Key	True	True	1.2175255	712	712, 862, 747	1.0	712
26	Аудиокнига-влакын библиотека	Audiobooks Library	Audiobooks Library	True	True	1.1426346	482	482, 296, 949	1.0	482
27	Bangarang	Bangarang	Bangarang	True	True	1.0917683	720	720, 575, 771	1.0	720
28	Тунемашлан	Possible Matches	Education	False	False	1.2681499	898	898, 472, 0	0	521
29	Тототлымвер нерген келшыше увераҥарым пурто, кушко тый ушнынет ыле.	How many theaters are there in Yoshkar-Ola?	Please enter the appropriate information about the chat you would like to join.	False	False	1.1308198	4	4, 251, 202	0	182
30	Журнал-влак	Emails	Logging	False	False	1.2850766	100	100, 826, 862	0	400
31	Тиде эмым йӱат гын, тылат куштылгырак лиеш.	How many theaters are there in Yoshkar-Ola?	You'll feel better if you drink this medicine.	False	False	1.152312	4	4, 53, 52	0	46
32	%s гыч %s -шке келыштарымаш-влакетым кусарыме годым %s йоҥылыш-влак дене пернен. Мо лиймым лончыло да кусарымашым кид дене мучашле. Тиде йоҥылыш нерген тышке шижтаре: http://developer.pidgin.im	%s encountered errors migrating your settings from %s to %s. Please investigate and complete the migration by hand. Please report this error at http://developer.pidgin.im	%s encountered errors migrating your settings from %s to %s. Please investigate and complete the migration by hand. Please report this error at http://developer.pidgin.im	True	True	1.0878075	212	212, 109, 263	1.0	212
33	Мланде Кече йыр пӧрдеш.	On Vacation	The earth moves around the sun.	False	False	1.2514555	487	487, 810, 244	0	14
34	/Мутланыше-влак/Мутланышым ешараш...	/Buddies/Add Buddy...	/Buddies/Add Buddy...	True	True	1.2158755	675	675, 826, 100	1.0	675
35	Сертификатым пурташ	Password:	Certificate Import	False	False	1.2038548	572	572, 151, 759	0	223
36	names [канал]: Кызыт каналыште улшо пайдаланыше лӱмерым лукташ.	names [channel]: List the users currently in a channel.	names [channel]: List the users currently in a channel.	True	True	1.0935887	209	209, 4, 202	1.0	209
37	Escape полдыш дене мутланымаш-влакым _петыраш	Send emoticons	Cl_ose conversations with the Escape key	False	False	1.1812149	949	949, 109, 565	0	956
38	_STUN сервер:	ST_UN server:	ST_UN server:	False	True	1.1511284	870	870, 538, 497	0.5	538
39	Сравоч-влакым ваш келыштарымаш шке дене тӱҥалын ок керт	Send emoticons	Key agreement cannot be started with yourself	False	False	1.1436553	949	949, 919, 52	0	886
40	%s нераш тӱҥалын	Cbrpager	%s became idle	False	False	1.2887516	796	796, 187, 384	0	958
41	Тӱшкам ешарен кертме огыл: тӱшка уке	Not logged in	Unable to add group: group not found	False	False	1.2415862	663	663, 545, 932	0	274
42	Экспозиций	Exposure	Exposure	True	True	1.2640371	300	300, 862, 598	1.0	300
