	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	ကျောင်းများထိတွေ့ဆက်ဆံနေချိန်တွင်လက်ဇန္ဒြီးယား	This process of erasure was coupled with the destruction of many houses along the river banks to be able to make machineries enter the narrow pedestrian network of the medina. 	Alexandria 	False	False	1.1959939	368	368, 420, 560	0	520
1	သာမညသိုးထိန်းများအတွက် မဟာကောင်းချီးတစ်ရပ်	12 Many lands have laws or governmental agencies to protect neglected and abused children. The children of Jehovah’s Witnesses are not being neglected or abused when parents decide against allowing their beloved son or daughter to be given blood, requesting at the same time the use of alternative therapies that modern medicine can provide. Even from a medical standpoint, this is not neglect or abuse, considering the admitted dangers of transfusion therapy.	After mentioning that Jesus was born at a time when shepherds were out-of-doors at night watching their flocks, 19th-century Bible scholar Albert Barnes concluded: “It is clear from this that our Saviour was born before the 25th of December . . .	False	False	1.2025479	463	463, 841, 306	0	400
2	ကိုယ်တိုင်	Stay home.	self	False	False	1.0991768	137	137, 154, 133	0	710
3	ဒီအပေါ်မှာ တည်ဆောက်လို့ရပါတယ်။	The reason that happened was because you weren't careful.	And of course, we can build on top of this. 	False	True	1.1414629	149	149, 293, 143	0.5	293
4	တွမ် က သူ့ လမ်းထဲက လူတိုင်းနဲ့ ကို သိတာ။	The reason that happened to you was because you weren't careful.	Tom knows everybody on his street.	False	False	1.1010455	148	148, 149, 142	0	180
5	၁၂။ အပန်းဖြေမှုနဲ့ပတ်သက်ပြီး ဆုံးဖြတ်ချက်ချရာမှာ လုကာ ၁၄:၂၈ မှာပါတဲ့မူက ဘယ်လိုကူညီပေးနိုင်သလဲ။	The prosecutor cited various decisions of acquittal issued by the courts and the Council of State. He also referred to the case of Kokkinakis v. Greece, which was decided in favor of Jehovah’s Witnesses by the European Court of Human Rights.* “Please note,” warned the prosecutor, “that Greece even paid a fine in this case. So we should be very careful when called upon to judge such cases. In fact, these cases should never be brought to court in the first place.”	What is revealed by our answer to the question, ‘When will I engage in recreation?’ 9 The second question to ask yourself is, When?​—that is, ‘When will I engage in recreation?	False	False	1.0202147	804	804, 231, 956	0	736
6	ထိုလူရွယ်က တစ်ခဏတုံ့ဆိုင်းသွားပြီး ဟာဘတ်၏စိစစ်ရေးကတ်ကို ပြန်ပေးလိုက်သည်။ ထိုအမျိုးသမီး၏သမီးကို ရဲသားက ပိုးပန်းနေကြောင်း နောက်ပိုင်းတွင် ဟာဘတ်သိလိုက်ရသည်။ ဟာဘတ်ကိုဖမ်းဆီးဖို့ထက် မိန်းကလေးကိုပိုးပန်းလျှင် ပိုအကျိုးရှိမည်ဟု သူယူဆပုံရကြောင်းထင်ရှားပါသည်။	Dustin explained why he preferred to go to the Kingdom Hall. His father acquiesced and said that he would allow Dustin to go there. One evening after attending a meeting at the Kingdom Hall, Dustin’s mother could not find him. Without telling her, he had approached the Theocratic Ministry School overseer and had asked about enrolling in the school. His mother agreed. Excitedly he looked forward to his first talk assignment. At the same time, however, he began to have severe pain in his hip, and he was thus taken to various doctors for examination. Finally, the big night for Dustin’s talk at the Kingdom Hall arrived. By then, he was using crutches. Although it was obvious that he was in pain, he walked without them to the platform.	What a comfort to know that Elijah experienced the same emotions! And how reassuring that just as Jehovah understood Elijah’s feelings, He also understands our emotional struggle.​—Psalm 103:14. On the one hand, we love God and our fellowman and desire to do Jehovah’s work of proclaiming the Kingdom good news.	False	False	1.0785189	988	988, 750, 420	0	739
7	PE အင်္ကျီ VCI Anti-သံချေး Kraft စက္ကူ	PE Coated VCI Anti-Rust Kraft Paper 	PE Coated VCI Anti-Rust Kraft Paper 	True	True	1.224436	382	382, 973, 635	1.0	382
8	ဖိုင်ထုပ်ကို	They were swimming.	An error occurred while loading the archive.	False	False	1.1770396	154	154, 689, 983	0	415
9	အဲ့ဒါက တကယ့် အစီအစဥ် မဟုတ်ခဲ့ဘူး။	DO WE NEED RELIGION? 6. What view of religion do many people have? 6 “You can be happy without religion.”	It wasn't really a plan.	False	False	1.0929933	956	956, 149, 142	0	103
10	"""%s"" မတွေ့ပါ"	"The file ""%s"" is read-only."	"""%s"" not found"	False	True	0.9312618	951	951, 613, 392	0.5	613
