	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Af þessu má sjá hvers vegna læknar segja að svo erfitt sé að ráða niðurlögun herpes.	Psychologist Siegel quotes one lecturer on the paranormal , or supernatural , as saying that “ if we are to examine the evidence for an afterlife honestly and dispassionately we must free ourselves from the tyranny of common sense . ”	You can thus see why doctors say that herpes is so tough to kill .	False	False	0.8761029	69	69, 424, 118	0	417
1	Hún yrði tákn fyrir fylgjendur Jesú um að flýja borgina og Júdeu.	Interestingly , the cross that Constantine is reputed to have seen in the sky and then used as his military banner was not the Latin cross but the sign [ Artwork ​ — Greek characters ] that some relate to sun worship ( Constantine himself was a sun worshiper ) and others to the Chi - Rho monogram — ​ the first two letters of “ Christ ” in Greek .	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	False	False	0.9293971	605	605, 433, 374	0	404
2	Hið þýska evangelíska - lútherska spurningakver fyrir fullorðna (Evangelischer Erwachsenenkatechismus) segir um skiptingu líkama og sálar samkvæmt kenningu Platons: Evangelískir nútímaguðfræðingar véfengja þessa sameiningu grískra og biblíulegra hugtaka . . . .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	True	True	0.6035209	215	215, 69, 731	1.0	215
3	Sálin — er hún þú eða er hún í þér?	The Soul ​ — Is It You ? Or Is It in You ?	The Soul ​ — Is It You ? Or Is It in You ?	True	True	0.7393124	173	173, 214, 890	1.0	173
4	Sýking á sér stað við kynmök . Þegar sýkillinn T.	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	Infection occurs during sexual relations .	False	False	0.9665265	215	215, 279, 264	0	742
5	900 árum síðar,	900 years later	900 years later	True	True	0.69249034	187	187, 648, 101	1.0	187
6	"Eyjabúarnir 167 voru tregir til að fara, en þeir féllust á það þegar þeim var sagt að tilraunirnar væru "" gerðar í þágu mannkynsins og til að stuðla að endi allra heimsstyrjalda . """	The 167 islanders were loath to leave , but they consented when they were told that the tests were “ for the good of mankind and to end all world wars . ”	The 167 islanders were loath to leave , but they consented when they were told that the tests were “ for the good of mankind and to end all world wars . ”	True	True	0.65993977	242	242, 62, 349	1.0	242
7	Hún hefur varpað skugga á lífsstíl sem hét mönnum frelsi en hefur í reynd gefið mörgum ekkert annað en sorgir og eymd.	Interestingly , the cross that Constantine is reputed to have seen in the sky and then used as his military banner was not the Latin cross but the sign [ Artwork ​ — Greek characters ] that some relate to sun worship ( Constantine himself was a sun worshiper ) and others to the Chi - Rho monogram — ​ the first two letters of “ Christ ” in Greek .	It has cast a shadow upon a way of life that promised freedom , but that for many has delivered nothing but heartache and misery .	False	False	0.53329253	605	605, 424, 69	0	492
8	Hvaða áhrif mun þessi vitneskja hafa á þig að því er varðar að dýrka, hafa til sýnis eða bera á þér kross, eða þá að gera krossmark?	How will this knowledge affect you in relation to venerating and displaying or wearing a cross , or making the sign of the cross ?	How will this knowledge affect you in relation to venerating and displaying or wearing a cross , or making the sign of the cross ?	True	True	0.7791896	637	637, 605, 69	1.0	637
9	En hvers vegna trúa þeir því?	What gives humans this advantage ?	But why do they believe it ?	False	True	0.7345933	222	222, 610, 172	0.3333333333333333	172
10	Hinum megin girðingarinnar var fegursta haglendi sem ég held að ég hafi nokkurn tíma augum litið . . . .	In confirmation of this , appendix No . 162 of The Companion Bible states concerning staurós that it “ denotes an upright pale or stake , to which the criminals were nailed for execution . . . .	On the other side of the fence was the most beautiful pasture scene I guess I have ever seen . . .	False	False	0.87068295	413	413, 69, 900	0	593
11	Hvers vegna?	Because they have proof ?	Why ?	False	False	0.73274565	614	614, 222, 713	0	252
12	þegar stungið hefur verið upp á að þeim yrði bannað að gefa blóð.	The sword was a good argument , when the tongue failed . ”	to suggestions that they be banned from donating blood .	False	False	0.9643644	907	907, 349, 183	0	694
