	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Af þessu má sjá hvers vegna læknar segja að svo erfitt sé að ráða niðurlögun herpes.	Its victims thus succumb to rare forms of cancer and pneumonia .	You can thus see why doctors say that herpes is so tough to kill .	False	False	1.2152373	280	280, 340, 118	0	417
1	Hún yrði tákn fyrir fylgjendur Jesú um að flýja borgina og Júdeu.	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	True	True	1.2313488	404	404, 651, 433	1.0	404
2	Hið þýska evangelíska - lútherska spurningakver fyrir fullorðna (Evangelischer Erwachsenenkatechismus) segir um skiptingu líkama og sálar samkvæmt kenningu Platons: Evangelískir nútímaguðfræðingar véfengja þessa sameiningu grískra og biblíulegra hugtaka . . . .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	True	True	1.1616782	215	215, 928, 809	1.0	215
3	Sálin — er hún þú eða er hún í þér?	The Soul ​ — Is It You ? Or Is It in You ?	The Soul ​ — Is It You ? Or Is It in You ?	True	True	1.337523	173	173, 979, 68	1.0	173
4	Sýking á sér stað við kynmök . Þegar sýkillinn T.	Said The Journal of the American Medical Association : “ The most severe of these complications is pelvic inflammatory disease ( PID ) . . .	Infection occurs during sexual relations .	False	False	1.409433	97	97, 663, 371	0	742
5	900 árum síðar,	900 years later	900 years later	True	True	1.1572976	187	187, 101, 648	1.0	187
6	"Eyjabúarnir 167 voru tregir til að fara, en þeir féllust á það þegar þeim var sagt að tilraunirnar væru "" gerðar í þágu mannkynsins og til að stuðla að endi allra heimsstyrjalda . """	The 167 islanders were loath to leave , but they consented when they were told that the tests were “ for the good of mankind and to end all world wars . ”	The 167 islanders were loath to leave , but they consented when they were told that the tests were “ for the good of mankind and to end all world wars . ”	True	True	1.1933863	242	242, 686, 298	1.0	242
7	Hún hefur varpað skugga á lífsstíl sem hét mönnum frelsi en hefur í reynd gefið mörgum ekkert annað en sorgir og eymd.	Either way the damage to the “ new morality’s ” gleaming facade has been irrevocably done .	It has cast a shadow upon a way of life that promised freedom , but that for many has delivered nothing but heartache and misery .	False	True	1.3176539	244	244, 492, 233	0.5	492
8	Hvaða áhrif mun þessi vitneskja hafa á þig að því er varðar að dýrka, hafa til sýnis eða bera á þér kross, eða þá að gera krossmark?	How , in fact , did the immortal soul idea get into “ Christian ” teaching ?	How will this knowledge affect you in relation to venerating and displaying or wearing a cross , or making the sign of the cross ?	False	False	1.3548288	489	489, 222, 526	0	637
9	En hvers vegna trúa þeir því?	But why do so many claim relief by means of these “ cures ” ?	But why do they believe it ?	False	True	1.4201379	285	285, 614, 172	0.3333333333333333	172
10	Hinum megin girðingarinnar var fegursta haglendi sem ég held að ég hafi nokkurn tíma augum litið . . . .	I could see them operating on my back . . . .	On the other side of the fence was the most beautiful pasture scene I guess I have ever seen . . .	False	False	1.3351778	739	739, 87, 672	0	593
11	Hvers vegna?	Do you ?	Why ?	False	False	1.58642	979	979, 677, 35	0	252
12	þegar stungið hefur verið upp á að þeim yrði bannað að gefa blóð.	to suggestions that they be banned from donating blood .	to suggestions that they be banned from donating blood .	True	True	1.1957067	694	694, 477, 692	1.0	694
13	Á öðrum en óbyggðum eyjum væru þeir eins og fátækir ættingjar, ættu allt sitt undir miskunn innfæddra.	Natives from the nearby Rongelap atoll heard of their distress and tried to help by bringing fish and other foods over to them in outrigger canoes .	On any but an uninhabited atoll , they would be the equivalent of poor relatives , dependent on the goodwill of the natives .	False	False	1.2945591	743	743, 430, 686	0	124
14	Eftir dauðann leysist líkaminn í sundur og hverfur út í lífvana hluta umhverfisins.	Once inside its new victim , T . pallidum heads for the bloodstream and lymphatic system and , if unchecked , eventually infects the entire body .	After death the body disintegrates and is reabsorbed into the inanimate component of the environment .	False	True	1.3406343	296	296, 868, 753	0.5	868
15	Verulegt magn geislavirkra efna fannst í líkömum manna.	High levels of radioactivity were found in their bodies .	High levels of radioactivity were found in their bodies .	True	True	1.2948688	625	625, 761, 692	1.0	625
16	Þeir myndu endurbyggja Jerúsalem og musteri hennar og verða vitnisburður þess að Jehóva er Guð sannra spádóma.	They would rebuild Jerusalem and its temple , becoming living witnesses to the fact that Jehovah is the God of true prophecy .	They would rebuild Jerusalem and its temple , becoming living witnesses to the fact that Jehovah is the God of true prophecy .	True	True	1.2255633	419	419, 404, 819	1.0	419
17	"Breytir hin kaþólska kirkja nútímans "" eftir þeirri fyrirmynd "" sem var gefin af Páli og öðrum frumkristnum mönnum?"	How , in fact , did the immortal soul idea get into “ Christian ” teaching ?	Is the Catholic Church today “ walking in a way that accords with the example ” we find in Paul and in the other early Christians ?	False	False	1.2587802	489	489, 809, 992	0	416
18	Samkvæmt einni kenningu kallar heilinn fram upplýsingar úr geymslu eftir kerfi sem byggist á tenginganeti, og þetta flókna tauganet í minni mannsins skilur hvað mest á milli manns og vélar.	According to one theory , the brain’s retrieval system is based on a network of connections and “ this rich network of connections in human memory is one of the most profound differences between humans and machines .	According to one theory , the brain’s retrieval system is based on a network of connections and “ this rich network of connections in human memory is one of the most profound differences between humans and machines .	True	True	1.3503872	277	277, 202, 240	1.0	277
19	Þetta sýnir sig glöggt í sambandi við hina útbreiddu trú á ódauðlega sál.	So whether AIDS , herpes or their other lethal companions will continue their epidemic growth or sneak off into oblivion is irrelevant .	This is well illustrated with regard to the generally held belief in an immortal soul .	False	False	1.2692858	118	118, 741, 103	0	401
20	Þannig komust skipin hjá hinni hættulegu siglingu fyrir Pelopsskaga.	Thus the ships avoided the risks of circumnavigating the Peloponnese .	Thus the ships avoided the risks of circumnavigating the Peloponnese .	True	True	1.2111999	947	947, 843, 955	1.0	947
21	Læknar segja að hann hopi aðeins meðfram taugum í líkamanum og taki sér bólfestu í taugþyrpingum við rætur hryggjarins.	“ Involuntary infertility , ectopic pregnancy , and chronic pelvic pain . ”	Doctors say it merely beats a retreat , via nerve pathways , to nerve clusters at the base of the spine .	False	False	1.3903543	814	814, 554, 291	0	517
22	Hvað munt þú gera?	“ The last days ” of what ?	What Will You Do ?	False	True	1.3952265	844	844, 852, 979	0.5	852
23	Samkvæmt skýrslum í Bandaríkjunum er talið að hann hrjái á bilinu 200 til 500 þúsund einstaklinga ár hvert.	The United States alone reports that an estimated 200,000 to 500,000 individuals are afflicted with it each year .	The United States alone reports that an estimated 200,000 to 500,000 individuals are afflicted with it each year .	True	True	1.2472346	361	361, 70, 118	1.0	361
24	Hún bætir við: Með auknum rannsóknum og útgáfu mun sífellt fleira fólk vita frekar en trúa að efnislíkami okkar er í sannleka aðeins lirfuhýði, ytri skurn mannverunnar.	Either way the damage to the “ new morality’s ” gleaming facade has been irrevocably done .	She adds : “ With further research and further publications , more and more people will know rather than believe that our physical body is truly only the cocoon , the outer shell of the human being .	False	False	1.2931156	244	244, 219, 531	0	646
25	Sífellt verður vinsælla að skoða Biblíuna með efagirni.	It has become increasingly popular to view the Bible with skepticism .	It has become increasingly popular to view the Bible with skepticism .	True	True	1.3085116	733	733, 219, 635	1.0	733
26	Borgarbúar yrðu drepnir og musterið jafnað við jörðu.	Several medical reports made during the next two years confirmed that the Bikinians were a “ starving people , ” and their departure from Rongerik had been “ too long delayed . ”	The inhabitants would be killed and the temple would be razed .	False	False	1.3049026	686	686, 404, 430	0	99
27	Þeir vona hins vegar að þeir sem eru úti á braut lauslætisins muni alvarlega íhuga líf sitt og þær afleiðingar sem það getur haft.	They do , however , hope that those trapped in the “ fast lane ” of promiscuity will seriously reflect on their way of life and what it can result in .	They do , however , hope that those trapped in the “ fast lane ” of promiscuity will seriously reflect on their way of life and what it can result in .	True	True	1.2527518	848	848, 231, 118	1.0	848
28	Undir stjórn þess ríkis mun engum framar standa ógn af kjarnorkuvopnum — og enginn verða fórnarlamb þeirra.	Several medical reports made during the next two years confirmed that the Bikinians were a “ starving people , ” and their departure from Rongerik had been “ too long delayed . ”	Pr 13 : 12 Under that Kingdom , there will be no more nuclear threat ​ — and no more victims .	False	False	1.2700155	686	686, 118, 340	0	537
29	(Sálmur 37: 10, 11; Jesaja 25: 6) Sjúkdómar og dauði munu heyra fortíðinni til.	Matthew 1 : 18 - 23 and Luke 1 : 26 – 2 : 14 record the miraculous virgin birth of Jesus .	Sickness and death will come to be things of the past .	False	False	1.0964098	449	449, 819, 763	0	469
30	Þess vegna tala Brasilíumenn portúgölsku enn þann dag í dag þótt meirihluti íbúa Suður - og Mið - Ameríku tali spænsku.	Hence , even today , Brazil speaks Portuguese , while the major part of the rest of South and Central America speaks Spanish .	Hence , even today , Brazil speaks Portuguese , while the major part of the rest of South and Central America speaks Spanish .	True	True	1.2340492	973	973, 943, 746	1.0	973
31	"Í hinum enskumælandi heimi var þessi nútímaplága kennd við Venus, hina fornu rómversku ástargyðju, og nefnd "" venereal disease . """	Doctors used to call this modern - day plague venereal disease , after Venus , the ancient Roman goddess of love .	Doctors used to call this modern - day plague venereal disease , after Venus , the ancient Roman goddess of love .	True	True	1.1761937	684	684, 235, 118	1.0	684
32	MÁNUDAGINN 1 . júlí árið 1946 umturnaðist tært og lygnt lón lítt þekktrar eyjar í Marshall - eyjaklasanum á Suðvestur - Kyrrahafi, um 3200 kílómetra suðvestur af Hawaii, í blindandi sprengingu.	Almost 275 miles ( 440 km ) away , on the Utirik atoll , the ash fell like a mist .	ON MONDAY , July 1 , 1946 , the sparkling calm lagoon of a little - known atoll in the Marshall Islands , about 2,000 miles ( 3,200 km ) southwest of Hawaii , was shattered by a blinding explosion .	False	True	1.326113	841	841, 55, 62	0.5	55
33	Þegar sem ungur maður byrjaði hann að véfengja sumar kenningar kaþólsku kirkjunnar.	Even as a young man he began questioning various Catholic teachings .	Even as a young man he began questioning various Catholic teachings .	True	True	1.215455	141	141, 743, 676	1.0	141
34	Mikillar beiskju gætti hjá Bikinibúum vegna þessa.	And many species of fish that were edible on Bikini were poisonous on Rongerik .	There was much bitterness on the part of the Bikinians over this .	False	False	1.5012889	113	113, 285, 679	0	570
35	"Áið 1520 gaf hann svo út bæklingana "" Ávarp til kristinnar aðalstéttar þýsku þjóðarinnar, "" "" Babýlonarfjötur kirjkunnar "" og "" Frelsi kristins manns . """	Then in 1520 he published the pamphlets “ An Address to the Christian Nobility of the German Nation , ” “ The Babylonian Captivity of the Church ” and “ The Liberty of a Christian Man . ”	Then in 1520 he published the pamphlets “ An Address to the Christian Nobility of the German Nation , ” “ The Babylonian Captivity of the Church ” and “ The Liberty of a Christian Man . ”	True	True	1.2467278	409	409, 583, 928	1.0	409
36	Þeim er kastað í Tartarus [í hugum Forn - Grikkja sá hluti Hades þar sem verstu afbrotamönnum var refsað], sem eru hæfileg örlög fyrir þá, og þeir komast aldrei út.	“ Such are hurled into Tartarus [ to the ancient Greeks , a section of Hades reserved for punishment of the worst offenders ] , which is their suitable destiny , and they will never come out . ”	“ Such are hurled into Tartarus [ to the ancient Greeks , a section of Hades reserved for punishment of the worst offenders ] , which is their suitable destiny , and they will never come out . ”	True	True	1.2765965	308	308, 430, 392	1.0	308
37	Í dögun var ég allur í uppnámi því að ég hafði myndað mér heila kenningu um hugsanlegar orsakir hvítblæðis.	By dawn I was all excited because I had worked out a complete theory on the possible causes of leukemia .	By dawn I was all excited because I had worked out a complete theory on the possible causes of leukemia .	True	True	1.2068968	969	969, 292, 900	1.0	969
38	Gagnrýni hans varð æ harðari í hverjum bæklingi sem út kom.	Each became stronger in its criticism .	Each became stronger in its criticism .	True	True	1.4048579	561	561, 718, 621	1.0	561
39	"Vitneskjan um að sá tími sé nú mjög nærri að ríki Guðs muni koma aftur á paradís á jörðinni mun hjálpa þeim að kynnast af eigin raun því sem segir í síðari hluta versins sem getið er að ofan: "" Uppfyllt ósk er lífstré . """	[ Picture on page 6 ] Plato’s philosophy contaminated the teachings of many religions [ Picture on page 7 ]	A knowledge that the time is very close when the Kingdom will bring paradise conditions back to the earth will help them to experience the latter half of the Bible verse mentioned above : “ A wish come true is a staff of life . ”	False	False	1.2816515	357	357, 613, 819	0	335
40	Ring: Ég minni áheyrendur mína á að það sem ég hef rannsakað er reynsla í nánd við dauðann . . . .	Seek righteousness , seek meekness . Probably you may be concealed in the day of Jehovah’s anger . ” ​ — Zephaniah 2 : 3 .	Ring admits : “ I remind my audiences that what I have studied are near - death experiences , not after - death experiences . . . .	False	False	1.2772325	651	651, 622, 729	0	245
41	Crux simplex eins og hann er sýndur af rómversk - kaþólska fræðimanninum Jústusi Lipsíusi í bók sinni De Cruce Libri Tres	The crux simplex as illustrated by the Roman Catholic scholar Justus Lipsius in his book De Cruce Libri Tres	The crux simplex as illustrated by the Roman Catholic scholar Justus Lipsius in his book De Cruce Libri Tres	True	True	1.1554133	660	660, 551, 583	1.0	660
42	Óraunhæf eftirvænting kveikir aðeins nýjar áhyggjur og vonbrigði.	* Homosexuals thus find themselves victims not only of hostility but of a life - style fraught with peril .	Unrealistically high expectations merely produce new anxieties and frustrations .	False	True	1.3076721	196	196, 303, 330	0.5	303
43	Á bilinu 80.000 til 120.000 nýjar veirur eru búnar til á þrem til fimm klukkustundum.	From 80,000 to 120,000 new viruses are created within three to five hours .	From 80,000 to 120,000 new viruses are created within three to five hours .	True	True	1.2595041	243	243, 723, 70	1.0	243
44	Til dæmis segir The Great Soviet Encyclopedia að Dauðahafshandritin hafi verið skrifuð á bilinu frá annarri öld f.	For example , The Great Soviet Encyclopedia says that the Dead Sea Scrolls “ were written between the second century B.C . and A.D .	For example , The Great Soviet Encyclopedia says that the Dead Sea Scrolls “ were written between the second century B.C . and A.D .	True	True	1.2403527	891	891, 613, 716	1.0	891
45	Rétt er að hann segir: Þetta forgengilega á að íklæðast óforgengileikanum og þetta dauðlega að íklæðast ódauðleikanum.	For the ‘ sexually active ’ the chance of becoming infected suddenly seems no longer remote but terrifyingly possible .	True , he says : “ For this which is corruptible must put on incorruption , and this which is mortal must put on immortality .	False	False	1.3306713	340	340, 219, 809	0	377
46	Gerir þú það?	Do you ?	Do you ?	True	True	1.3939636	979	979, 173, 852	1.0	979
47	Verða börnin mín heil og eðlileg? '	And those who aren’t perhaps should be .	Will my children be normal ? ’	False	False	1.3636688	345	345, 844, 622	0	784
48	Samræðissjúkdómafaraldurinn er vissulega uggvænlegur, en Biblían gefur ekki til kynna að Guð noti sjúkdóma til að refsa mönnum fyrir ranga breytni.	Nevertheless , doctors say gonorrhea can still work its way into the blood system and infect vital organs , and women are especially prone to gonorrhea complications .	The STD epidemic is , to be sure , a frightening specter . But the Bible does not indicate that God today uses disease as punishment for wayward conduct .	False	False	1.2228603	371	371, 126, 118	0	501
49	"Keats skrifaði: "" Ég þrái að trúa á ódauðleika . . . mig langar til að trúa á ódauðleika . """	As Keats wrote : “ I long to believe in immortality . . . I wish to believe in immortality . ”	As Keats wrote : “ I long to believe in immortality . . . I wish to believe in immortality . ”	True	True	1.3203303	711	711, 92, 672	1.0	711
50	En þegar hið forgengilega íklæðist óforgengileikanum og hið dauðlega ódauðleikanum, þá mun rætast orð það, sem ritað er: Dauðinn er uppsvelgdur í sigur . (1.	His death would atone for man’s sins .	But when this which is corruptible puts on incorruption and this which is mortal puts on immortality , then the saying will take place that is written : ‘ Death is swallowed up forever . ’ ”	False	False	1.3095007	622	622, 809, 880	0	183
51	Þar var einn brunnur og vatnið úr honum salt.	Some wells were too radioactive for drinking purposes .	The solitary well supplied only brackish water .	False	True	1.4112251	441	441, 90, 84	0.5	90
52	Fyrstu aldar sagnfræðingurinn Flavíus Jósefus skráði uppfyllinguna í fornaldarsögu sinni.	The first - century historian Flavius Josephus recorded the fulfillment in his Antiquities of the Jews .	The first - century historian Flavius Josephus recorded the fulfillment in his Antiquities of the Jews .	True	True	1.2392869	8	8, 235, 951	1.0	8
53	Átt þú til slíkar bækur á heimilinu þínu?	Do you have such books in your home ?	Do you have such books in your home ?	True	True	1.3157833	974	974, 545, 844	1.0	974
54	Hver myndi vilja mig ef ég segði honum að ég væri með ólæknandi sjúkdóm sem getur borist við kynmök?	Who would want me if I told him that I have an incurable disease that can be sexually transmitted ? ”	Who would want me if I told him that I have an incurable disease that can be sexually transmitted ? ”	True	True	1.2483553	632	632, 97, 118	1.0	632
55	Hátíðahöldin í tilefni 500 ára afmælis Marteins Lúthers hafa hins vegar engin varanleg fyrirheit í för með sér, þótt áhugaverð séu á sína vísu, hvorki að því er varðar stjórnsýslu eða trúarlíf.	So whether AIDS , herpes or their other lethal companions will continue their epidemic growth or sneak off into oblivion is irrelevant .	The 500th anniversary celebration of Martin Luther’s birth , on the other hand , while of passing interest , holds no lasting promise of global unity , either governmental or religious .	False	True	1.2165093	118	118, 142, 617	0.3333333333333333	617
56	Hinar öru breytingar sjöunda áratugarins komu því nær öllum í opna skjöldu.	But the machines have serious limitations .	The rapid changes of the 1960 ’ s thus caught almost everyone off guard .	False	False	1.3558514	698	698, 140, 206	0	628
