	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	À cause de l'accident, je suis arrivé en retard à l'école.	Because of the accident I went too late to school.	Because of the accident I went too late to school.	True	True	1.390241	367	367, 341, 140	1.0	367
1	Ça coûtera 30 €.	This will cost €30.	This will cost €30.	True	True	1.4525445	758	758, 759, 513	1.0	758
2	Je l'ai convaincue d'être à la maison.	I'll have some letters to write.	I persuaded her to be at home.	False	False	1.4513743	453	453, 749, 360	0	355
3	Il y a beaucoup de mots que je ne comprends pas.	I only know this: that I know nothing.	There are many words that I don't understand.	False	False	1.3922883	466	466, 745, 302	0	872
4	Tu me manques.	The victory is ours.	I miss you.	False	True	1.402258	280	280, 768, 745	0.5	768
5	« Le téléphone sonne. » « Je vais répondre. »	I saw your father.	"""The phone is ringing."" ""I'll get it."""	False	False	1.4836563	713	713, 50, 991	0	969
6	Garde la tête basse !	Keep your head low.	Keep your head low.	True	True	1.3974483	301	301, 117, 351	1.0	301
7	Tom est mort du cancer en 2013.	Tom died from cancer in 2013.	Tom died from cancer in 2013.	True	True	1.408022	184	184, 727, 306	1.0	184
8	Monsieur, il n'est pas permis de garer votre voiture ici.	Sir, you are not allowed to park your car here.	Sir, you are not allowed to park your car here.	True	True	1.4829081	503	503, 214, 228	1.0	503
9	Est-ce que ça va bien pour tout le monde ?	That's right, but what's it to you?	Is everybody okay?	False	False	1.4193008	496	496, 738, 497	0	85
10	Il s'assiérait des heures à lire des histoires de détectives.	He would sit for hours reading detective stories.	He would sit for hours reading detective stories.	True	True	1.3667855	678	678, 336, 617	1.0	678
11	Tu dois faire la queue pour acheter un ticket.	You must stand in a line to buy the ticket.	You must stand in a line to buy the ticket.	True	True	1.5391166	262	262, 759, 691	1.0	262
12	Ne te soucie pas de mon chien.	Don't worry about my dog.	Don't worry about my dog.	True	True	1.5178558	334	334, 528, 228	1.0	334
13	Sami ne sait pas faire l'accent égyptien.	Sami can't do an Egyptian accent.	Sami can't do an Egyptian accent.	True	True	1.3503044	443	443, 918, 936	1.0	443
14	Il a dit qu'il a écrit.	He said that he had written.	He said that he had written.	True	True	1.4099758	449	449, 468, 7	1.0	449
15	Sa musique me fit grande impression.	His music made a deep impression on me.	His music made a deep impression on me.	True	True	1.3667828	666	666, 436, 100	1.0	666
16	Tout le monde buvait du vin, à la fête.	Everyone at the party was drinking wine.	Everyone at the party was drinking wine.	True	True	1.3881539	79	79, 214, 8	1.0	79
17	L'argent nous permettra de tenir à peu près un mois.	The money will carry us for about a month.	The money will carry us for about a month.	True	True	1.3547429	513	513, 758, 759	1.0	513
18	La fille à côté est très belle.	The girl who lives next door is very pretty.	The girl who lives next door is very pretty.	True	True	1.4762347	310	310, 214, 903	1.0	310
19	C'est facile de trouver un exemple.	It's easy to find an example.	It's easy to find an example.	True	True	1.3432393	295	295, 817, 262	1.0	295
20	Quelle personne es-tu ?	Were you with anyone?	What kind of man are you?	False	False	1.5412397	728	728, 827, 884	0	106
21	J'aurai des lettres à écrire.	I'll have some letters to write.	I'll have some letters to write.	True	True	1.314398	453	453, 452, 598	1.0	453
22	L'espagnol n'est pas seulement parlé en Espagne.	Spanish is not only spoken in Spain.	Spanish is not only spoken in Spain.	True	True	1.3199563	45	45, 918, 443	1.0	45
23	Ce train est-il le bon pour Tokyo ?	Is this the right train for Tokyo?	Is this the right train for Tokyo?	True	True	1.4038832	236	236, 714, 497	1.0	236
24	Le jardin était rempli de jolies fleurs.	The garden was full of beautiful flowers.	The garden was full of beautiful flowers.	True	True	1.437513	720	720, 214, 261	1.0	720
