	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Af þessu má sjá hvers vegna læknar segja að svo erfitt sé að ráða niðurlögun herpes.	To what conclusion would that lead a thinking person ?	You can thus see why doctors say that herpes is so tough to kill .	False	False	1.5363374	526	526, 222, 677	0	417
1	Hún yrði tákn fyrir fylgjendur Jesú um að flýja borgina og Júdeu.	The apostle John added : “ Guard yourselves from idols . ”	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	False	True	1.5492387	384	384, 404, 651	0.5	404
2	Hið þýska evangelíska - lútherska spurningakver fyrir fullorðna (Evangelischer Erwachsenenkatechismus) segir um skiptingu líkama og sálar samkvæmt kenningu Platons: Evangelískir nútímaguðfræðingar véfengja þessa sameiningu grískra og biblíulegra hugtaka . . . .	He boldly denounced and refuted the Trinity doctrine , the immortal soul and eternal hellfire teachings .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	False	False	1.4863191	988	988, 328, 527	0	215
3	Sálin — er hún þú eða er hún í þér?	The Soul ​ — Is It You ? Or Is It in You ?	The Soul ​ — Is It You ? Or Is It in You ?	True	True	1.5865045	173	173, 979, 67	1.0	173
4	Sýking á sér stað við kynmök . Þegar sýkillinn T.	Unfortunately , as Dr .	Infection occurs during sexual relations .	False	False	1.7114509	564	564, 545, 677	0	742
5	900 árum síðar,	900 years later	900 years later	True	True	1.5094173	187	187, 101, 648	1.0	187
6	"Eyjabúarnir 167 voru tregir til að fara, en þeir féllust á það þegar þeim var sagt að tilraunirnar væru "" gerðar í þágu mannkynsins og til að stuðla að endi allra heimsstyrjalda . """	“ The last days ” of what ?	The 167 islanders were loath to leave , but they consented when they were told that the tests were “ for the good of mankind and to end all world wars . ”	False	True	1.5212545	844	844, 686, 242	0.3333333333333333	242
7	Hún hefur varpað skugga á lífsstíl sem hét mönnum frelsi en hefur í reynd gefið mörgum ekkert annað en sorgir og eymd.	Who has contentions ?	It has cast a shadow upon a way of life that promised freedom , but that for many has delivered nothing but heartache and misery .	False	False	1.5764508	35	35, 545, 220	0	492
8	Hvaða áhrif mun þessi vitneskja hafa á þig að því er varðar að dýrka, hafa til sýnis eða bera á þér kross, eða þá að gera krossmark?	To what conclusion would that lead a thinking person ?	How will this knowledge affect you in relation to venerating and displaying or wearing a cross , or making the sign of the cross ?	False	False	1.5490423	526	526, 222, 545	0	637
9	En hvers vegna trúa þeir því?	“ The last days ” of what ?	But why do they believe it ?	False	False	1.5342345	844	844, 979, 721	0	172
