	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Apakah Tom mengatakan sesuatu kepadamu tentang hal itu?	Who is your father?	Did Tom say anything to you about that?	False	False	1.2726824	603	603, 469, 391	0	277
1	Tolong jangan coba-coba kabur, sebab mata musuh-musuhmu sedang mengawasi.	You are always to knock before entering my room.	Do not try to run away, please, because the eyes of your enemies are watchful.	False	False	1.3811893	472	472, 569, 239	0	100
2	Tambahkan sedikit gula.	There is a stone in my shoe.	Put in a little more sugar.	False	False	1.3914425	569	569, 652, 817	0	43
3	Tanpa mengatakan sepatah kata maupun menangis, ia terdiam dan pergi ke luar.	I am become death, the destroyer of worlds.	He neither spoke nor wept, but went out in silence.	False	False	1.3664807	70	70, 104, 548	0	576
4	Sikapnya padaku berbeda dari biasanya.	Is he still mad?	Her behaviour toward me was a departure from the norm.	False	False	1.3369558	548	548, 189, 595	0	965
5	Apakah kamu tinggal di sini?	Who are you?	Do you live here?	False	False	1.3017035	506	506, 603, 866	0	494
6	Bagaimana kamu bisa terluka?	Have you ever donated blood?	How did you get injured?	False	False	1.3451965	249	249, 506, 676	0	159
7	Tom tidak seperti dirinya hari ini.	Is he still mad?	Tom isn't quite himself today.	False	False	1.4103556	548	548, 971, 880	0	799
8	Dia punya kesempatan yang bagus untuk sukses.	Good luck with the new job.	He has a good chance to succeed.	False	True	1.3683497	900	900, 13, 743	0.3333333333333333	743
9	Baiklah. Berapa banyak?	All right. How many?	All right. How many?	True	True	1.3772758	920	920, 603, 817	1.0	920
10	Kamu siapa?	Who are you?	Who are you?	True	True	1.2989848	506	506, 644, 603	1.0	506
11	Aku suka pergi memancing dengan ayahku.	My dad will kill me.	I like to go fishing with my father.	False	False	1.3667256	652	652, 189, 472	0	678
12	Dia tidak menemukan hal yang mencurigakan.	Is he still mad?	She didn't notice anything suspicious.	False	False	1.3338412	548	548, 28, 94	0	388
13	Aku mau kopi, roti panggang, dan jeli.	I want coffee, toast, and jelly.	I want coffee, toast, and jelly.	True	True	1.4017287	501	501, 109, 972	1.0	501
14	Saya sedang sibuk dan tidak bisa pergi.	You are always to knock before entering my room.	I am busy now and can't go out.	False	False	1.3651075	472	472, 94, 506	0	461
15	Dia mengantarku pulang.	There is a stone in my shoe.	She gave me a ride home.	False	False	1.4865513	569	569, 450, 104	0	505
16	Ia memperoleh keuntungan yang besar.	Enough is enough!	They gained great wealth.	False	True	1.3080041	817	817, 431, 828	0.5	431
17	Telepon aku kalau sudah siap.	There is a stone in my shoe.	Call me when you're ready.	False	False	1.3888698	569	569, 603, 646	0	898
18	Aku memberi Tom perintah langsung, tapi dia tidak mengacuhkannya.	Did you get this from Tom?	I gave Tom a direct order, but he ignored it.	False	False	1.3064847	309	309, 526, 855	0	392
19	Dia tidak memiliki keturunan untuk menggantikannya.	He has no children to succeed to him.	He has no children to succeed to him.	True	True	1.2863079	46	46, 150, 236	1.0	46
20	Saya alergi akan serbuk bunga.	You are always to knock before entering my room.	I am allergic to pollen.	False	False	1.452209	472	472, 943, 414	0	259
21	Itu ada di bawah kursi.	Is he still mad?	It is under the chair.	False	True	1.4464556	548	548, 787, 891	0.3333333333333333	891
22	Apa pekerjaan Anda?	Who are you?	What is her profession?	False	False	1.283503	506	506, 551, 469	0	926
23	Nama saya Ichiro Tanaka.	My name is Ichiro Tanaka.	My name is Ichiro Tanaka.	True	True	1.3402342	979	979, 922, 229	1.0	979
24	Kita wajib melalui pemeriksaan bea dan cukai saat kedatangan.	Good luck with the new job.	It's necessary to go through customs on arriving.	False	False	1.4612482	900	900, 97, 438	0	929
25	Aula ini dapat menampung 2000 orang.	The zoo is crowded with visitors.	This hall holds two thousand people.	False	True	1.3500646	771	771, 539, 709	0.5	539
26	Kau salah jika berpikir bahwa dia berbuat salah.	Is he still mad?	You are mistaken if you think he is wrong.	False	False	1.3596078	548	548, 603, 506	0	537
27	Aku harus menonton sebuah film dokumenter.	I should watch a documentary.	I should watch a documentary.	True	True	1.4569979	755	755, 652, 865	1.0	755
28	Tom dan Mary berdiri berdekatan satu sama lain.	Tom and Mary were standing close to each other.	Tom and Mary were standing close to each other.	True	True	1.2665138	763	763, 768, 83	1.0	763
29	Si gadis mendengarkan musik, si pemuda membaca buku.	There is a stone in my shoe.	The girl listened to music, the boy was reading a book.	False	True	1.4321978	569	569, 360, 630	0.3333333333333333	630
30	Aku akan pergi mandi.	My dad will kill me.	I'm going to have a shower.	False	False	1.4387996	652	652, 557, 105	0	684
31	Aku tidak sanggup kalau harus berbelanja di toko semahal itu.	There is a stone in my shoe.	I can't afford to shop at such an expensive store.	False	False	1.3782512	569	569, 141, 972	0	402
32	Dimana kursi saya?	Who are you?	Where is my seat?	False	False	1.398771	506	506, 603, 548	0	239
33	Sudahlah, Tom, kita tidak punya waktu untuk hal ini.	I hope he can help you.	Look, Tom, we don't have time for this.	False	False	1.3400869	646	646, 652, 603	0	292
34	Tom lebih pandai bermain catur daripada saya.	I can no more swim than a stone can.	Tom plays chess better than me.	False	True	1.4752078	28	28, 586, 472	0.5	586
35	Itu pesananku.	Do whatever it takes.	Those are my orders.	False	False	1.4598716	270	270, 96, 189	0	148
36	Aku tidak percaya padamu.	Do you hate me?	I don't believe you.	False	False	1.2995353	612	612, 189, 414	0	854
37	Permohonan kenaikan gaji kalian kembali ditolak.	Good luck with the new job.	I'm afraid that your request for a pay raise was turned down again.	False	False	1.4151025	900	900, 189, 723	0	540
38	Kuharap aku tidak mengganggumu.	Do you hate me?	I hope I haven't interrupted you.	False	False	1.3961465	612	612, 646, 987	0	782
39	Bahkan Tom sedikit terkejut.	Tom grudgingly did what Mary asked.	Even Tom is a little surprised.	False	False	1.3584874	553	553, 992, 904	0	263
40	Pria tua itu tertabrak sebuah mobil dan segera dilarikan ke rumah sakit.	The thief ran away when she saw the policeman.	The old man was hit by a car and was immediately taken to the hospital.	False	False	1.4356645	383	383, 569, 315	0	199
41	Jika pihak yang lain tidak menawarkan informasi pribadi, lebih baik dibiarkan saja.	If the other party does not offer personal information, however, it is better to leave it alone.	If the other party does not offer personal information, however, it is better to leave it alone.	True	True	1.3871652	436	436, 97, 455	1.0	436
42	Kamu paham kan kenapa kamu sedang dihukum?	Who are you?	You understand why you're being punished, don't you?	False	False	1.4271927	506	506, 548, 603	0	772
43	Bagaimana pendapatnya terhadap berita ini?	Is my answer correct?	What was her reaction to the news?	False	False	1.2892747	855	855, 603, 469	0	31
44	Aku kehabisan akal.	I hope he can help you.	I was at my wit's end.	False	False	1.4554641	646	646, 442, 414	0	853
45	Dia berkata bahwa dia sangat ingin pergi ke sana.	My favorite Pizza is Hawaiian.	She said that she was eager to go there.	False	False	1.3920499	109	109, 152, 153	0	581
46	Maaf membuatmu menunggu.	Take your hand out of your pocket.	I'm sorry to have kept you waiting.	False	False	1.3819022	841	841, 652, 904	0	177
47	Aku menangis semalam suntuk.	There is a stone in my shoe.	I cried all night long.	False	False	1.460726	569	569, 189, 70	0	359
48	Anda ingin segelas kopi lagi?	What colour is orange?	Would you like another cup of coffee?	False	False	1.4477844	133	133, 268, 603	0	118
49	Kemarin bulan purnama.	I am become death, the destroyer of worlds.	It was a full moon yesterday.	False	False	1.4885926	70	70, 756, 442	0	967
