	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Nem szavaztam.	I tried it.	I didn't vote.	False	False	0.9482486	955	955, 698, 573	0	221
1	- Még valamit? - Nem, ennyi volt az egész.	I got over it. You should, too.	"""Anything else?"" ""No, that's all."""	False	False	0.92064846	784	784, 251, 988	0	417
2	Merry fél a kutyáktól.	Tom tricked us again.	Merry is scared of dogs.	False	False	0.95894265	841	841, 882, 344	0	694
3	Nagy nap ez a mai, fiam!	Today is a big day, son!	Today is a big day, son!	True	True	0.7124833	758	758, 753, 605	1.0	758
4	Linda nagyon szereti a csokoládét.	Linda likes chocolate very much.	Linda likes chocolate very much.	True	True	0.84120464	809	809, 970, 318	1.0	809
5	Na végre, hogy esik!	That's MY line!	Thank God, it is finally raining.	False	False	0.92636526	411	411, 300, 830	0	605
6	El fogom olvasni ezt a könyvet.	I'll read this book.	I'll read this book.	True	True	0.9677861	565	565, 156, 250	1.0	565
7	Végül a busz megállt.	At last, the bus stopped.	At last, the bus stopped.	True	True	0.7751558	590	590, 369, 6	1.0	590
8	Úgy gondolom, még várhatnánk egy fél órát.	I think we should wait another half an hour.	I think we should wait another half an hour.	True	True	0.88616693	78	78, 581, 38	1.0	78
9	A hozzászólásaid mindig nagyon hasznosak számomra.	I need proofs.	Your comments were always very helpful to me.	False	False	1.1001484	27	27, 181, 201	0	938
10	Mi egy pár vagyunk.	We buy CDs.	We're a couple.	False	False	0.97076213	181	181, 882, 799	0	849
11	Két szép fia van.	He has two beautiful boys.	He has two beautiful boys.	True	True	0.8581495	284	284, 972, 651	1.0	284
12	A fenébe! Nem találom a pénztárcámat.	Tom loaned me that DVD.	Damn! I can't find my wallet.	False	False	1.0706698	250	250, 835, 967	0	395
13	Nem tudtam, hová mehetnék.	I have never been there myself.	I didn't know where to go.	False	False	0.9985672	119	119, 698, 673	0	316
14	Az élet csodaszép.	You have foul breath.	Life is sweet.	False	False	1.0139061	738	738, 821, 967	0	143
15	Kötelező autót bérelni?	Is it obligatory to rent a car?	Is it obligatory to rent a car?	True	True	0.95278215	568	568, 116, 916	1.0	568
16	Nem vagyok az a trendi típus.	I'm not the trendy type.	I'm not the trendy type.	True	True	1.0069052	99	99, 698, 111	1.0	99
17	Jó nap ez a mai!	Today is a big day, son!	Today is a good day!	False	True	1.0344071	758	758, 753, 605	0.5	753
18	Önök beszélnek oroszul?	Do you speak Russian?	Do you speak Russian?	True	True	1.0535036	881	881, 948, 80	1.0	881
19	A zene túl hangos.	The music is too loud.	The music is too loud.	True	True	1.0105615	576	576, 143, 967	1.0	576
20	Igaz, hogy művelt, de hiányzik belőle a bölcsesség.	There is nothing to be scared of.	It is true he is a learned man, but he lacks common sense.	False	False	0.7944386	38	38, 970, 318	0	457
21	Kérem, hogy hétfőn jöjjön.	My father will prepare a tasty meal for me tomorrow.	Please come on Monday.	False	False	1.0035058	515	515, 189, 905	0	645
22	Mindig elsőként nyílik panaszra a szája.	I recognized her at first glance.	He's always the first to complain.	False	False	0.97253704	964	964, 249, 40	0	197
23	Mindenki azt akarja hallani, amit hallani akar.	Everyone wants to hear what everyone wants to hear.	Everyone wants to hear what everyone wants to hear.	True	True	0.7880721	883	883, 374, 826	1.0	883
24	Tom odaégette a borjút.	Tom needed Mary.	Tom branded the calf.	False	False	0.91769457	800	800, 607, 839	0	125
25	Ha nincs hír, az jó hír.	I fear that is the truth.	No news is good news.	False	True	0.93901813	895	895, 967, 704	0.5	967
26	Nem itta meg a tejet.	I need food.	She didn't drink the milk.	False	False	0.98630524	380	380, 955, 704	0	531
27	Két óra van.	Wait one second.	It's two o'clock.	False	False	0.9519143	3	3, 371, 181	0	754
28	Ez mind miattad van.	We must focus.	All of this is because of you.	False	False	1.1054838	453	453, 589, 955	0	988
29	A kommunizmustól való félelem nagyon erős volt abban az időben.	Fear of communism was very strong at that time.	Fear of communism was very strong at that time.	True	True	0.6351955	934	934, 936, 980	1.0	934
30	Tomi mindig panaszkodik, igaz?	Tom always complains, doesn't he?	Tom always complains, doesn't he?	True	True	0.93487334	534	534, 482, 198	1.0	534
31	Tom sokat beszél.	Tom talks fast.	Tom talks quite a lot.	False	False	0.94568014	332	332, 815, 370	0	333
32	Mi történt ott pontosan?	What exactly happened there?	What exactly happened there?	True	True	1.0162477	928	928, 39, 319	1.0	928
33	Mi az ő foglalkozása?	Who is sick?	What's her occupation?	False	True	1.0472603	400	400, 586, 251	0.5	586
34	Gondoltam, hogy talán akarnál enni valamit.	I write every chance I get.	I thought you might like something to eat.	False	False	0.9616829	905	905, 38, 704	0	85
35	Ez hülye!	This is silly!	This is silly!	True	True	1.0760729	830	830, 611, 450	1.0	830
36	Kell nekem egy bélyeg.	You have foul breath.	I need a stamp.	False	False	0.9751811	738	738, 882, 491	0	258
37	Szabad még egyszer hívnom téged?	You, probably, once again right.	May I call on you again?	False	False	1.0520862	529	529, 738, 605	0	88
38	Ez a szó nem található a listán.	This word is not found in the list.	This word is not found in the list.	True	True	0.7495575	663	663, 780, 237	1.0	663
39	Azt gondoltam, helyesen cselekszem.	There is nothing to be scared of.	I thought I was doing the right thing.	False	False	0.9441457	38	38, 66, 905	0	51
40	Nem hiszem el, hogy Tom igent mondott.	Tom changes his mind a lot.	I can't believe Tom said yes.	False	False	0.93225265	171	171, 398, 38	0	490
41	Te nem törődsz velem.	Nobody loves me.	You don't care about me.	False	False	1.0033402	698	698, 669, 668	0	323
42	Hívom az ügyvédemet.	You have foul breath.	I'm calling my lawyer.	False	False	1.048579	738	738, 450, 386	0	528
43	Nem lesz ennek jó vége.	Nobody saw anything.	This isn't going to end well.	False	False	0.9907278	710	710, 369, 392	0	73
44	A csoki édes.	He bade us welcome.	Chocolate tastes sweet.	False	False	1.0886871	450	450, 150, 344	0	133
45	Csakugyan tetszik?	Did I miss something?	Do you really like it?	False	False	1.0997865	39	39, 983, 343	0	587
46	A megjelenés kötelező.	It is unfortunately true.	Attendance is mandatory.	False	False	0.97539747	404	404, 271, 288	0	239
47	Sokat jelent nekem.	I needed money.	It means a lot to me.	False	False	0.9710494	573	573, 698, 882	0	661
48	Egy ember meghalt.	Nobody saw anything.	One person was killed.	False	False	0.8460474	710	710, 369, 573	0	683
49	Egyszer majd sajnálni fogod ezt.	You drink too much.	You will be sorry for it some day.	False	False	0.9854548	704	704, 121, 361	0	526
50	A világegyetem kétségtelenül végtelen.	There's no doubt: the universe is infinite.	There's no doubt: the universe is infinite.	True	True	0.9355272	535	535, 966, 404	1.0	535
51	Tomi halála után röviddel a felesége újraházasodott.	Tom's wife remarried shortly after his death.	Tom's wife remarried shortly after his death.	True	True	0.8697548	35	35, 843, 228	1.0	35
52	A fia hét éve eltűnt.	His son disappeared seven years ago.	His son disappeared seven years ago.	True	True	0.9496466	346	346, 16, 468	1.0	346
53	Azon az estén korán feküdtem le.	I passed by her house yesterday.	I went to bed early that night.	False	False	1.0420878	268	268, 871, 189	0	854
54	Biztos vagyok benne, hogy tetszik az új munkád.	This is none of your business.	I'm sure you like your new job.	False	False	0.96559215	339	339, 986, 988	0	334
55	George hasba vágta őt.	Tom needed Mary.	George hit him in the stomach.	False	False	0.90746033	800	800, 538, 16	0	954
56	a szexuális zaklatás komoly probléma lehet a munkahelyen.	Sexual harassment can be a serious problem in the workplace.	Sexual harassment can be a serious problem in the workplace.	True	True	0.8160193	974	974, 318, 885	1.0	974
57	Nagyon szeretek síelni.	They are hungry.	I like skiing very much.	False	False	0.91048706	891	891, 704, 110	0	676
58	Sírt-rítt.	That ship has sailed.	He cried and cried.	False	False	1.2725881	611	611, 300, 965	0	927
59	Minden adandó alkalommal írok.	We must act at once.	I write every chance I get.	False	False	1.0642327	667	667, 573, 121	0	905
60	A vihar még hevesebbé vált.	The storm became even more violent.	The storm became even more violent.	True	True	0.91318846	303	303, 562, 475	1.0	303
61	Tom éppen rám néz.	Tom talks fast.	Tom is looking at me.	False	False	0.9283283	332	332, 841, 607	0	263
62	Japán tele van meglepetésekkel.	I watch TV now and then.	Japan is full of surprises!	False	False	1.0008377	768	768, 20, 472	0	495
63	Látni akarjuk.	You drink too much.	We want to see it.	False	False	0.9673555	704	704, 882, 332	0	945
64	Ausztrália fiataljainak nevében beszélünk.	We are speaking on behalf of the young people of Australia.	We are speaking on behalf of the young people of Australia.	True	True	0.936674	342	342, 66, 219	1.0	342
65	A fotót meghamisították.	The photograph was falsified.	The photograph was falsified.	True	True	0.88092613	41	41, 562, 369	1.0	41
66	Nagyon sürgős ez a dolog.	This kind of thing happens.	This matter is very urgent.	False	False	0.88335943	472	472, 821, 17	0	690
67	Elolvadt a hógolyó a kezemben.	He bade us welcome.	The snowball melted in my hand.	False	True	0.9573853	450	450, 696, 603	0.3333333333333333	603
68	Mióta tanulsz eszperantóul?	Do you speak Russian?	For how long have you been studying Esperanto?	False	False	0.9959574	881	881, 948, 747	0	742
69	Melyik iskolába jársz?	Your old grandma dances well.	What school do you go to?	False	False	1.070411	344	344, 150, 276	0	410
70	Meg kellett volna vitatnod egy ügyvéddel.	You drink too much.	You should've consulted your lawyer.	False	True	1.0574579	704	704, 940, 841	0.5	940
71	Tanulnod kellene.	He bade us welcome.	You should be studying.	False	False	1.0807512	450	450, 300, 628	0	222
72	Miért akarnál segíteni Tomon?	Did I miss something?	Why would you want to help Tom?	False	False	0.98260784	39	39, 598, 153	0	376
73	Házas vagyok.	Tom needed you.	I'm already hitched!	False	False	0.93119895	882	882, 841, 635	0	0
74	Mikor látogatsz meg ismét?	When will you visit me again?	When will you visit me again?	True	True	0.8848834	662	662, 88, 725	1.0	662
75	Azt akarom, hogy szállj le rólam!	I knew you could do it, Tom.	I want you to get off my back.	False	False	0.929827	210	210, 769, 491	0	378
76	Rá ne lépj!	Don't tread on it.	Don't tread on it.	True	True	1.1334918	557	557, 466, 572	1.0	557
77	Neki túl sok könyve van.	He has too many books.	He has too many books.	True	True	1.0144846	833	833, 143, 181	1.0	833
78	Ez a szokásos eljárás.	It's standard procedure.	It's standard procedure.	True	True	0.924176	288	288, 552, 539	1.0	288
79	Gyere ki velem.	He bade us welcome.	Come outside with me.	False	False	0.9598378	450	450, 300, 444	0	291
80	Mire kell neked ez az autó?	Was that part of your plan?	What are you going to use this car for?	False	False	1.017977	251	251, 411, 388	0	600
81	Tom megint becsapott minket.	Tom tricked us again.	Tom tricked us again.	True	True	0.8609582	841	841, 882, 250	1.0	841
82	Ne felejtsd el ráírni az irányítószámot!	Get your arse into gear!	Don't forget to write the zip code.	False	False	0.9863719	734	734, 491, 735	0	820
83	A világ egy őrültek háza.	This world is just an insane asylum.	This world is just an insane asylum.	True	True	0.91774344	554	554, 667, 592	1.0	554
84	Csodálatos dolog Amerikában lenni, ha azért vagy itt, hogy pénzt keressél.	America is a lovely place to be, if you are here to earn money.	America is a lovely place to be, if you are here to earn money.	True	True	0.8242408	925	925, 752, 897	1.0	925
85	Ez egy lesújtó történet.	An accident just happened.	That's a depressing story.	False	False	0.9604176	369	369, 839, 554	0	729
86	Tudod, hogy a templomban van?	Who told him that?	Do you know she's in the church?	False	False	0.9240968	499	499, 705, 251	0	194
87	Azon dolgozom.	You clean up.	I'm working on that.	False	False	1.0895972	454	454, 300, 450	0	473
