	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Сертификатым пемгыдемдыме огыл. Кече ден жапым шке компьютерыштет терге.	Either the host name or port number specified for your given proxy type is invalid.	The certificate is not valid yet. Check that your computer's date and time are accurate.	False	False	1.0340986	370	370, 932, 545	0	500
1	%s %s. Ешартыш увераҥарым налашлан, `%s -h' пого.	%s (%s)	%s %s. Try `%s -h' for more information.	False	False	1.0428195	236	236, 262, 511	0	383
2	Пайдаланышым тӱкылаш	Cancelled	Block User	False	False	1.2531577	860	860, 349, 487	0	765
3	Электронике	Alphabetically	Electronics	False	False	1.3189964	887	887, 749, 654	0	172
4	Каталог серверым йодыштын кертме огыл.	Could not find any information in the user's profile. The user most likely does not exist.	Could not query the directory server.	False	False	1.1016126	421	421, 354, 728	0	97
5	detach: Тиде сессийым кӱрлаш	detach: Detach this session	detach: Detach this session	True	True	1.1436278	779	779, 862, 826	1.0	779
6	Тӱшка-влакым иктыш ушаш	She lives in Yoshkar-Ola.	Merge Groups	False	False	1.1519496	53	53, 276, 52	0	494
7	Монитор	Cancel	Monitor	False	False	1.2357246	332	332, 598, 864	0	516
8	Пыштыше	Emails	Boot loader	False	False	1.1690894	100	100, 826, 778	0	471
9	Тиде вашкылым кораҥдет гын, тушко пурышо чыламутланыше кораҥдалтеш	She lives in Yoshkar-Ola.	Removing this contact will also remove all the buddies in the contact	False	False	1.1003737	53	53, 52, 202	0	251
10	Тый %s мутланымаш лӱмер гыч кораҥдет. Шуйынет?	Failed to remove buddy	You are about to remove %s from your buddy list. Do you want to continue?	False	False	1.1275066	244	244, 810, 4	0	653
11	Койдымолан каласымашым колташ огеш лий:	Failed to remove buddy	Message could not be sent, not allowed while invisible:	False	False	1.1342094	810	810, 244, 52	0	386
12	Возалтмаш йоҥылыш	Choose Playlist	Registration Error	False	False	1.1591487	170	170, 53, 789	0	242
13	PIN-код чын огыл. Тудо цифр-влак дене гына лийшаш [0-9].	The PIN is invalid. It should only consist of digits [0-9].	The PIN is invalid. It should only consist of digits [0-9].	True	True	0.930316	409	409, 109, 666	1.0	409
14	_Пайдаланыше лӱм:	Time Elapsed:	User_name:	False	False	1.1995947	593	593, 438, 719	0	705
15	%s Финч угыч ушнаш тӧчаш огеш тӱҥал, кызыт йоҥылышым тӧрлате да шке шотан возышым угыч чӱктӧ.	Failed to remove buddy	%s Finch will not attempt to reconnect the account until you correct the error and re-enable the account.	False	False	1.0545937	810	810, 244, 844	0	960
16	Mxit дене ушымо годым йоҥылыш лийын. (лудмо йыжыҥ 0x05)	The PIN is invalid. It should only consist of digits [0-9].	A connection error occurred to MXit. (read stage 0x05)	False	True	1.0739747	409	409, 447, 629	0.5	447
17	Пайдаланыше-влакым кычалаш...	Possible Matches	Search for Users...	False	False	1.1689911	898	898, 178, 52	0	129
18	ayttm	ayttm	ayttm	True	True	1.1648377	353	353, 312, 796	1.0	353
19	Чынлыкым терген керташ ыш лий: %s	Failed to store image: %s	Unable to authenticate: %s	False	False	1.0950941	610	610, 263, 262	0	950
