	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Apakah Tom mengatakan sesuatu kepadamu tentang hal itu?	Did Tom say anything to you about that?	Did Tom say anything to you about that?	True	True	0.5904566	277	277, 293, 275	1.0	277
1	Tolong jangan coba-coba kabur, sebab mata musuh-musuhmu sedang mengawasi.	Do not try to run away, please, because the eyes of your enemies are watchful.	Do not try to run away, please, because the eyes of your enemies are watchful.	True	True	0.8407059	100	100, 493, 992	1.0	100
2	Tambahkan sedikit gula.	Flour is made into bread.	Put in a little more sugar.	False	True	0.82667565	781	781, 268, 43	0.3333333333333333	43
3	Tanpa mengatakan sepatah kata maupun menangis, ia terdiam dan pergi ke luar.	He neither spoke nor wept, but went out in silence.	He neither spoke nor wept, but went out in silence.	True	True	0.8780942	576	576, 840, 630	1.0	576
4	Sikapnya padaku berbeda dari biasanya.	Her behaviour toward me was a departure from the norm.	Her behaviour toward me was a departure from the norm.	True	True	1.0137193	965	965, 221, 891	1.0	965
5	Apakah kamu tinggal di sini?	How long have you and Tom been together?	Do you live here?	False	False	0.7162595	303	303, 343, 530	0	494
6	Bagaimana kamu bisa terluka?	May I ask who you are?	How did you get injured?	False	False	0.84936047	530	530, 820, 156	0	159
7	Tom tidak seperti dirinya hari ini.	Tom is always healthy.	Tom isn't quite himself today.	False	True	0.78133655	937	937, 799, 941	0.5	799
8	Dia punya kesempatan yang bagus untuk sukses.	He has a good chance to succeed.	He has a good chance to succeed.	True	True	0.69736016	743	743, 367, 996	1.0	743
9	Baiklah. Berapa banyak?	Is he still mad?	All right. How many?	False	False	0.8964683	548	548, 255, 984	0	920
10	Kamu siapa?	May I talk to you?	Who are you?	False	False	0.7280021	591	591, 530, 78	0	506
11	Aku suka pergi memancing dengan ayahku.	I would rather stay at home.	I like to go fishing with my father.	False	True	0.840173	544	544, 678, 907	0.5	678
12	Dia tidak menemukan hal yang mencurigakan.	He can cope with the problems.	She didn't notice anything suspicious.	False	False	0.89426374	996	996, 998, 743	0	388
13	Aku mau kopi, roti panggang, dan jeli.	I want coffee, toast, and jelly.	I want coffee, toast, and jelly.	True	True	0.8401061	501	501, 268, 447	1.0	501
14	Saya sedang sibuk dan tidak bisa pergi.	You must stay awake.	I am busy now and can't go out.	False	False	0.8734529	842	842, 544, 963	0	461
15	Dia mengantarku pulang.	The baby fell asleep.	She gave me a ride home.	False	False	0.8271744	464	464, 600, 783	0	505
16	Ia memperoleh keuntungan yang besar.	They gained great wealth.	They gained great wealth.	True	True	0.78644514	431	431, 699, 775	1.0	431
17	Telepon aku kalau sudah siap.	Don't let Tom hear you say that.	Call me when you're ready.	False	False	0.829435	284	284, 96, 311	0	898
18	Aku memberi Tom perintah langsung, tapi dia tidak mengacuhkannya.	I gave Tom a direct order, but he ignored it.	I gave Tom a direct order, but he ignored it.	True	True	0.7882978	392	392, 283, 284	1.0	392
19	Dia tidak memiliki keturunan untuk menggantikannya.	He has no children to succeed to him.	He has no children to succeed to him.	True	True	0.8343277	46	46, 150, 609	1.0	46
