	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	"სხვა ბიბლიურ იგავში იგივე აზრი ასეა გადმოცემული: « თუ გაჭირვების დროს დაუძლურდი ["" გული გაგიტყდა "" აქ], მცირე ყოფილა შენი ძალა ["" ძალა გამოგეცლება "" აქ] »."	The following proverb also shows the value of seeking counsel from others : “ By iron , iron itself is sharpened . So one man sharpens the face of another . ”	Even when certain problems cannot be avoided , you can learn to control your emotions so as not to feel overwhelmed with discouragement .	False	False	0.6406039	102	102, 371, 832	0	487
1	თუ სხვა მხრიდან შევხედავთ მდგომარეობას, პლანეტაზე მოსახლეობის რიცხვი ამჟამად ყოველ წუთს 170 ადამიანით იზრდება.	This is reflected in UN statistics indicating that the voluntary use of contraceptives in developing countries has risen dramatically , from 10 percent of couples in the 1960 ’ s to 51 percent today .	To look at it another way , the number of people on the planet is presently increasing by about 170 people every minute .	False	False	0.62102044	480	480, 626, 87	0	330
2	ბებია კი, რომელსაც ბავშვების აღზრდის გამოცდილება აქვს, ბუნებრივია, ფიქრობს, რომ რჩევისთვის მას უნდა მიმართონ.	Sadly and too often , the son does not realize that . ” How , then , can a husband take an active role in making peace in his family ?	On the other hand , grandmother , with her years of experience in child training , naturally feels that she is the one qualified to give advice .	False	False	0.598964	739	739, 508, 449	0	501
3	როდესაც რაღაცა გულს გიწვრილებთ ან მარტოობის გრძნობა გაწუხებთ, ნუ გაგიკვირდებათ, თუ დაძლეული ცუდი ჩვევა კვლავ ეცდება დაბრუნებას.	Even when certain problems cannot be avoided , you can learn to control your emotions so as not to feel overwhelmed with discouragement .	So even after you feel that you have overcome an undesirable habit , if you come under stress ​ — such as caused by a financial setback , health problems , various disappointments — ​ beware of a relapse !	False	False	0.70394516	487	487, 680, 222	0	48
4	"ბიბლიის შესწავლას შეუძლია "" ბრიყვთათვის ["" გამოუცდელთათვის "", აქ] გამჭრიახობის, ყრმისათვის ცოდნისა და გონიერების მინიჭება "", რათა თავი აარიდო ვითარებებს, რომელთაც შეიძლება უზნეობა მოჰყვეს."	It can “ give to the inexperienced ones shrewdness , to a young man [ or woman ] knowledge and thinking ability ” so as to avoid circumstances that could lead to immoral conduct . ​ — Proverbs 1 : 4 .	It can “ give to the inexperienced ones shrewdness , to a young man [ or woman ] knowledge and thinking ability ” so as to avoid circumstances that could lead to immoral conduct . ​ — Proverbs 1 : 4 .	True	True	0.5373318	680	680, 472, 487	1.0	680
5	იყიდე, რაც ნამდვილად გჭირდება.	Color : Proper use of color can also fool the eye .	Visit places where smoking is forbidden , such as museums and libraries .	False	False	0.7540779	846	846, 286, 717	0	86
6	ფაქტია, რომ არც ბავშვი — არც მოზრდილი — არ არის მიზეზი, ვერც გააკონტროლებს და ვერც განკურნავს, თუ ვინმე ლოთობს.	In - law friction may lead to mental and emotional struggles that last for years . To many , this kind of conflict seems unavoidable .	The reality is that no child ​ — or adult — ​ can cause , control , or cure anyone else’s drinking .	False	False	0.5936434	469	469, 487, 321	0	37
7	შეწყვიტე საკუთარი თავის დადანაშაულება.	Yes , cultivate a spiritual appetite .	‘ If you treated me better , I wouldn’t have to drink , ’ the alcoholic may claim .	False	False	0.7860048	77	77, 510, 405	0	350
8	თანდათანობით ვითარება უარესდება.	This is more than idle curiosity .	Now elderly parents are being abandoned in hospitals and institutions .	False	False	0.82738686	434	434, 469, 214	0	580
9	იაპონიის ერთ - ერთი სააგენტოს მიერ გავრცელებული ცნობის თანახმად, იაპონიასა და ტაილანდში ხანდაზმულთა უმრავლესობას თავიანთ ახლობლებთან სურთ ცხოვრება.	According to an international survey by the Management and Coordination Agency in Japan , the majority of the elderly in Japan and Thailand want to live with their kin .	According to an international survey by the Management and Coordination Agency in Japan , the majority of the elderly in Japan and Thailand want to live with their kin .	True	True	0.5685781	605	605, 87, 125	1.0	605
