	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	Af þessu má sjá hvers vegna læknar segja að svo erfitt sé að ráða niðurlögun herpes.	Thus even God - fearing , right - living people at times find themselves the victims of devastating illness .	You can thus see why doctors say that herpes is so tough to kill .	False	False	1.1126231	169	169, 718, 118	0	417
1	Hún yrði tákn fyrir fylgjendur Jesú um að flýja borgina og Júdeu.	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	It would be a sign for Jewish followers of Jesus to flee out of the city and Judea .	True	True	1.0235847	404	404, 18, 651	1.0	404
2	Hið þýska evangelíska - lútherska spurningakver fyrir fullorðna (Evangelischer Erwachsenenkatechismus) segir um skiptingu líkama og sálar samkvæmt kenningu Platons: Evangelískir nútímaguðfræðingar véfengja þessa sameiningu grískra og biblíulegra hugtaka . . . .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	The German Lutheran Catechism for Grown - Ups ( Evangelischer Erwachsenenkatechismus ) states regarding the body - soul split taught by Plato : “ Evangelical theologians of modern times challenge this combination of Greek and Biblical concepts . . . .	True	True	0.98718536	215	215, 988, 772	1.0	215
3	Sálin — er hún þú eða er hún í þér?	The Soul ​ — Is It You ? Or Is It in You ?	The Soul ​ — Is It You ? Or Is It in You ?	True	True	1.1871294	173	173, 979, 507	1.0	173
4	Sýking á sér stað við kynmök . Þegar sýkillinn T.	Nevertheless , doctors say gonorrhea can still work its way into the blood system and infect vital organs , and women are especially prone to gonorrhea complications .	Infection occurs during sexual relations .	False	False	1.2503426	371	371, 326, 296	0	742
5	900 árum síðar,	900 years later	900 years later	True	True	1.0722926	187	187, 648, 101	1.0	187
6	"Eyjabúarnir 167 voru tregir til að fara, en þeir féllust á það þegar þeim var sagt að tilraunirnar væru "" gerðar í þágu mannkynsins og til að stuðla að endi allra heimsstyrjalda . """	Many would ridicule all the evidence that “ the last days ” of the present system had arrived .	The 167 islanders were loath to leave , but they consented when they were told that the tests were “ for the good of mankind and to end all world wars . ”	False	False	1.056692	298	298, 809, 686	0	242
7	Hún hefur varpað skugga á lífsstíl sem hét mönnum frelsi en hefur í reynd gefið mörgum ekkert annað en sorgir og eymd.	Content of Prophecy	It has cast a shadow upon a way of life that promised freedom , but that for many has delivered nothing but heartache and misery .	False	False	1.1251252	66	66, 523, 427	0	492
8	Hvaða áhrif mun þessi vitneskja hafa á þig að því er varðar að dýrka, hafa til sýnis eða bera á þér kross, eða þá að gera krossmark?	To what conclusion would that lead a thinking person ?	How will this knowledge affect you in relation to venerating and displaying or wearing a cross , or making the sign of the cross ?	False	True	1.1374431	526	526, 637, 662	0.5	637
9	En hvers vegna trúa þeir því?	But what about the early Christian congregation ?	But why do they believe it ?	False	False	1.2078053	721	721, 109, 614	0	172
