	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	ကျောင်းများထိတွေ့ဆက်ဆံနေချိန်တွင်လက်ဇန္ဒြီးယား	Sidney was baptized the year before, so he and Irene served together as pioneers​—full-time evangelizers—​along the north coast of Wales, from Bangor to Caernarvon, including the island of Anglesey. At that time, I was in the Runcorn Congregation, some 13 miles [20 km] southeast of Liverpool, serving as what we today call the presiding overseer. Irene approached me at a circuit assembly to ask if she could have some territory where she could preach, as she was going to stay with Vera, her married sister who lived in Runcorn. Irene and I got along well together during the two weeks she was with us, and I later visited her in Bangor on a number of occasions. How happy I was when one weekend Irene accepted my proposal of marriage! Returning home on Sunday, I immediately began to make plans for our wedding, but on Tuesday a telegram awaited me. “I’m sorry this telegram is going to hurt,” it read. “I am canceling our wedding. Letter to follow.” I was shocked. What could have gone wrong?	Alexandria 	False	False	0.94340837	730	730, 404, 420	0	520
1	သာမညသိုးထိန်းများအတွက် မဟာကောင်းချီးတစ်ရပ်	He had become a Bible Student, as Jehovah’s Witnesses were then called. Although the majority of Brother Aboud’s friends and relatives did not respond to the Bible message, two well-known persons did, a professor, Ibrahim Atiyeh, and a dentist, Hanna Shammas. Dr. Shammas, in fact, made his house and clinic available for Christian meetings.	After mentioning that Jesus was born at a time when shepherds were out-of-doors at night watching their flocks, 19th-century Bible scholar Albert Barnes concluded: “It is clear from this that our Saviour was born before the 25th of December . . .	False	False	1.034873	328	328, 841, 463	0	400
2	ကိုယ်တိုင်	Stay home.	self	False	False	1.116132	137	137, 154, 133	0	710
3	ဒီအပေါ်မှာ တည်ဆောက်လို့ရပါတယ်။	The reason that happened was because you weren't careful.	And of course, we can build on top of this. 	False	False	1.0227975	149	149, 148, 255	0	293
4	တွမ် က သူ့ လမ်းထဲက လူတိုင်းနဲ့ ကို သိတာ။	The reason that happened to you was because you weren't careful.	Tom knows everybody on his street.	False	False	0.9713656	148	148, 149, 52	0	180
5	၁၂။ အပန်းဖြေမှုနဲ့ပတ်သက်ပြီး ဆုံးဖြတ်ချက်ချရာမှာ လုကာ ၁၄:၂၈ မှာပါတဲ့မူက ဘယ်လိုကူညီပေးနိုင်သလဲ။	After adequately satisfying their basic needs, they embark on the pursuit of riches. Yet, beyond food, clothing, and shelter, how much does a person really need? No wonder the Bible writer quoted at the beginning of this article also wrote: “Having sustenance and covering, we shall be content with these things.” (1 Timothy 6:8) Cultivating contentment prevents us from developing the love of money and all the problems that come along with it. The love of money is indeed the root of many evil things. Money will become your master if you let it. When managed properly, however, money can provide you with the freedom to pursue the more important things in life, such as a close bond with family, friends, and God. Still, in this world it seems impossible to be totally free of money worries. Will money always be such a source of anxiety? What hope is there for an end to poverty? The concluding article in this series will answer those questions. Beyond food, clothing, and shelter, how much does a person really need? TEACH YOUR CHILDREN TO MANAGE MONEY	What is revealed by our answer to the question, ‘When will I engage in recreation?’ 9 The second question to ask yourself is, When?​—that is, ‘When will I engage in recreation?	False	False	0.8573811	413	413, 231, 52	0	736
6	ထိုလူရွယ်က တစ်ခဏတုံ့ဆိုင်းသွားပြီး ဟာဘတ်၏စိစစ်ရေးကတ်ကို ပြန်ပေးလိုက်သည်။ ထိုအမျိုးသမီး၏သမီးကို ရဲသားက ပိုးပန်းနေကြောင်း နောက်ပိုင်းတွင် ဟာဘတ်သိလိုက်ရသည်။ ဟာဘတ်ကိုဖမ်းဆီးဖို့ထက် မိန်းကလေးကိုပိုးပန်းလျှင် ပိုအကျိုးရှိမည်ဟု သူယူဆပုံရကြောင်းထင်ရှားပါသည်။	On one occasion when Lukodi was getting ready to go to a meeting at the Kingdom Hall, his father threatened him with a machete. On another occasion Lukodi’s father struck him with a stick, making a deep wound on his back.	What a comfort to know that Elijah experienced the same emotions! And how reassuring that just as Jehovah understood Elijah’s feelings, He also understands our emotional struggle.​—Psalm 103:14. On the one hand, we love God and our fellowman and desire to do Jehovah’s work of proclaiming the Kingdom good news.	False	False	0.7750006	404	404, 988, 730	0	739
7	PE အင်္ကျီ VCI Anti-သံချေး Kraft စက္ကူ	Expanded PTFE joint tape is manufactured from 100% PTFE, it is an inert material which can be used in many applications against corrosive environments, except molten alkali metals and elemental fluorine. 24B will not contaminate media and can be used in food and drug equipment applications. 	PE Coated VCI Anti-Rust Kraft Paper 	False	False	0.9425155	889	889, 630, 933	0	382
8	ဖိုင်ထုပ်ကို	Butter is soft.	An error occurred while loading the archive.	False	False	1.018133	2	2, 154, 133	0	415
9	အဲ့ဒါက တကယ့် အစီအစဥ် မဟုတ်ခဲ့ဘူး။	The reason that happened was because you weren't careful.	It wasn't really a plan.	False	False	0.9841386	149	149, 173, 148	0	103
