	Sentence	Predicted	Gold	K_1_correct	K_3_correct	K_1_scores	K_1_predicted_indices	K_3_predicted_indices	Reciprocal_ranks	True_indices
0	À cause de l'accident, je suis arrivé en retard à l'école.	Because of the accident I went too late to school.	Because of the accident I went too late to school.	True	True	1.214566	367	367, 486, 95	1.0	367
1	Ça coûtera 30 €.	This will cost €30.	This will cost €30.	True	True	1.0728167	758	758, 513, 759	1.0	758
2	Je l'ai convaincue d'être à la maison.	I persuaded her to be at home.	I persuaded her to be at home.	True	True	1.2299792	355	355, 453, 214	1.0	355
3	Il y a beaucoup de mots que je ne comprends pas.	My opinion is a little different from yours.	There are many words that I don't understand.	False	False	1.1993965	302	302, 873, 948	0	872
4	Tu me manques.	I love you!	I miss you.	False	False	1.2041658	892	892, 713, 487	0	768
5	« Le téléphone sonne. » « Je vais répondre. »	Did I hear you talking to someone?	"""The phone is ringing."" ""I'll get it."""	False	False	1.2363667	50	50, 324, 214	0	969
6	Garde la tête basse !	Keep your head low.	Keep your head low.	True	True	1.208544	301	301, 117, 788	1.0	301
7	Tom est mort du cancer en 2013.	Tom died from cancer in 2013.	Tom died from cancer in 2013.	True	True	1.0847772	184	184, 727, 135	1.0	184
8	Monsieur, il n'est pas permis de garer votre voiture ici.	Sir, you are not allowed to park your car here.	Sir, you are not allowed to park your car here.	True	True	1.1683011	503	503, 214, 228	1.0	503
9	Est-ce que ça va bien pour tout le monde ?	What is this?	Is everybody okay?	False	False	1.1712122	738	738, 497, 553	0	85
10	Il s'assiérait des heures à lire des histoires de détectives.	He would sit for hours reading detective stories.	He would sit for hours reading detective stories.	True	True	1.1193547	678	678, 336, 617	1.0	678
11	Tu dois faire la queue pour acheter un ticket.	You must stand in a line to buy the ticket.	You must stand in a line to buy the ticket.	True	True	1.2149024	262	262, 326, 57	1.0	262
12	Ne te soucie pas de mon chien.	You can't be too careful when you drive.	Don't worry about my dog.	False	True	1.2405095	228	228, 334, 528	0.5	334
13	Sami ne sait pas faire l'accent égyptien.	Sami can't do an Egyptian accent.	Sami can't do an Egyptian accent.	True	True	1.1797554	443	443, 918, 126	1.0	443
14	Il a dit qu'il a écrit.	He said that he had written.	He said that he had written.	True	True	1.2065347	449	449, 476, 468	1.0	449
15	Sa musique me fit grande impression.	His music made a deep impression on me.	His music made a deep impression on me.	True	True	1.1669831	666	666, 125, 111	1.0	666
16	Tout le monde buvait du vin, à la fête.	Everyone at the party was drinking wine.	Everyone at the party was drinking wine.	True	True	1.1258895	79	79, 71, 214	1.0	79
17	L'argent nous permettra de tenir à peu près un mois.	The money will carry us for about a month.	The money will carry us for about a month.	True	True	1.1351521	513	513, 758, 504	1.0	513
18	La fille à côté est très belle.	The girl who lives next door is very pretty.	The girl who lives next door is very pretty.	True	True	1.1746145	310	310, 214, 67	1.0	310
19	C'est facile de trouver un exemple.	It's easy to find an example.	It's easy to find an example.	True	True	1.2274574	295	295, 262, 326	1.0	295
20	Quelle personne es-tu ?	Who is your favorite author?	What kind of man are you?	False	False	1.2057121	600	600, 827, 542	0	106
21	J'aurai des lettres à écrire.	I'll have some letters to write.	I'll have some letters to write.	True	True	1.0981088	453	453, 452, 122	1.0	453
22	L'espagnol n'est pas seulement parlé en Espagne.	Spanish is not only spoken in Spain.	Spanish is not only spoken in Spain.	True	True	1.1349328	45	45, 186, 318	1.0	45
23	Ce train est-il le bon pour Tokyo ?	Is this the right train for Tokyo?	Is this the right train for Tokyo?	True	True	1.1202297	236	236, 497, 107	1.0	236
24	Le jardin était rempli de jolies fleurs.	The garden was full of beautiful flowers.	The garden was full of beautiful flowers.	True	True	1.1921647	720	720, 214, 261	1.0	720
25	Muiriel a 20 ans maintenant.	Muiriel is 20 now.	Muiriel is 20 now.	True	True	1.130774	741	741, 195, 740	1.0	741
26	Je crois que tu le connais.	I have to say I envy you.	I think you know him.	False	False	1.0888783	427	427, 130, 713	0	114
27	Il a hissé le drapeau.	He raised the flag.	He raised the flag.	True	True	1.1729269	119	119, 292, 336	1.0	119
28	La nuit on dort.	At night you sleep.	At night you sleep.	True	True	1.198272	209	209, 214, 69	1.0	209
29	Combien de temps Tom va-t-il être à Boston ?	What time is it in London now?	How long will Tom be in Boston?	False	True	1.2038954	123	123, 203, 562	0.5	203
30	J'ai besoin de quelqu'un à qui je puisse me fier.	Every time that I see you, I think of my father.	I need somebody I can trust.	False	False	1.2357217	130	130, 34, 31	0	33
31	C'est inévitable que j'aille en France un jour, je ne sais juste pas quand.	It is inevitable that I go to France someday, I just don't know when.	It is inevitable that I go to France someday, I just don't know when.	True	True	1.1167648	899	899, 453, 403	1.0	899
32	J'aimerais pouvoir m'inquiéter plus pour mes notes mais il semblerait qu'à un certain moment de ma vie, j'ai décidé que cela n'était finalement pas si important.	If you could come, I'd be really happy.	I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.	False	False	1.1406562	434	434, 403, 818	0	956
33	"""Cœur"" et ""chœur"" ont la même prononciation."	"""Heart"" and ""choir"" have the same pronunciation."	"""Heart"" and ""choir"" have the same pronunciation."	True	True	1.0472286	721	721, 505, 957	1.0	721
34	Si seulement j'avais vendu cette propriété avant l'explosion de la bulle économique, je n'aurais pas perdu tout cet argent.	If only I'd sold that property before the economic bubble burst I wouldn't have lost all that money.	If only I'd sold that property before the economic bubble burst I wouldn't have lost all that money.	True	True	1.1017661	612	612, 544, 11	1.0	612
35	« Je n'y ai jamais pensé », dit le vieil homme. « Que devrions-nous faire ? »	"""I have never thought about it"", said the old man. ""What should we do?"""	"""I have never thought about it"", said the old man. ""What should we do?"""	True	True	1.1951268	912	912, 594, 112	1.0	912
36	Quel est ton programme télévisé préféré ?	What is your favorite TV program?	What is your favorite TV program?	True	True	1.109544	349	349, 112, 738	1.0	349
37	Avant même que tu ne le saches, tu seras dans les journaux.	Next thing you know, you'll be in the papers.	Next thing you know, you'll be in the papers.	True	True	1.1545233	903	903, 935, 497	1.0	903
38	Tout le monde est épuisé.	Everyone is gone now.	Everyone is exhausted.	False	False	1.2552173	69	69, 64, 67	0	70
39	Pourquoi tout le monde chuchote-t-il ?	What is he talking about?	Why's everyone whispering?	False	False	1.151989	293	293, 884, 497	0	511
40	Je suis maintenant disposé à discuter.	I heard somebody talking.	I'm in the mood to talk now.	False	True	1.1513754	37	37, 398, 230	0.5	398
41	N'attends pas que les autres pensent pour toi !	You never have time for important things!	Don't expect others to think for you!	False	False	1.1967998	948	948, 955, 440	0	947
42	Tom n'aime pas les chats.	Tom doesn't like cats.	Tom doesn't like cats.	True	True	1.1870141	692	692, 171, 695	1.0	692
43	Pourquoi es-tu désolée pour quelque chose que tu n'as pas fait ?	Would you please repeat what you just said?	Why are you sorry for something you haven't done?	False	False	1.1174144	313	313, 112, 600	0	924
44	Je suis fatiguée de tous ces mensonges.	I'm tired of all these lies.	I'm tired of all these lies.	True	True	1.108114	197	197, 230, 198	1.0	197
45	Avez-vous vu qui que ce soit sur la plage ?	Did you see anyone on the beach?	Did you see anyone on the beach?	True	True	1.1390336	632	632, 647, 546	1.0	632
46	J'ai légèrement faim.	I saw your father.	I'm slightly hungry.	False	False	1.2339265	713	713, 341, 892	0	583
47	Il faut que l'on facilite l'étude des langues.	It is necessary to make the study of languages easier.	It is necessary to make the study of languages easier.	True	True	1.1699487	361	361, 925, 753	1.0	361
48	Il faut que ce soit maintenant.	It's got to be now.	It's got to be now.	True	True	1.2310255	385	385, 358, 497	1.0	385
49	Ce café est trop fort.	This coffee is too bitter.	This coffee is too bitter.	True	True	1.1871123	150	150, 133, 312	1.0	150
50	J'ai tant à vous montrer.	I have so much to show you.	I have so much to show you.	True	True	1.2138673	598	598, 427, 903	1.0	598
51	C'était ma faute.	I think it's a great pity that he died so young.	It was my mistake.	False	False	1.2736979	237	237, 358, 616	0	111
52	"""J'ai envie de jouer aux cartes."" ""Moi aussi."""	"""I feel like playing cards."" ""So do I."""	"""I feel like playing cards."" ""So do I."""	True	True	1.184284	980	980, 973, 453	1.0	980
53	Si quelqu'un devait demander quel est le but de l'histoire, je ne saurais vraiment pas.	Who is your favorite author?	If anyone was to ask what the point of the story is, I really don't know.	False	False	1.2188165	600	600, 594, 497	0	841
54	Reconnaissez-vous quiconque ?	Do you trust anyone?	Do you recognize anyone?	False	True	1.1502314	542	542, 543, 785	0.5	543
55	Penses-tu que c'est une bonne idée de nourrir ton chien avec les déchets de repas ?	Do you think it's a good idea to feed your dog table scraps?	Do you think it's a good idea to feed your dog table scraps?	True	True	1.1735953	648	648, 474, 601	1.0	648
56	Je crois que tu la connais.	I have to say I envy you.	I think you know her.	False	False	1.0794055	427	427, 713, 130	0	113
57	Elle n'est pas gentille avec lui. À vrai dire, elle n'est gentille avec personne.	She isn't kind to him. In fact, she's not kind to anyone.	She isn't kind to him. In fact, she's not kind to anyone.	True	True	1.188551	704	704, 93, 544	1.0	704
58	Je ne vous aurais jamais tiré dessus.	Have you ever been abroad?	I never would have shot you.	False	False	1.2061282	264	264, 713, 214	0	661
59	Je m'entends avec tout le monde.	I can do this with you or without you.	I get along with everybody.	False	False	1.2122719	594	594, 713, 130	0	88
60	Personne ne t'a-t-il interrogé ?	Didn't anyone question you?	Didn't anyone question you?	True	True	1.1788622	629	629, 628, 728	1.0	629
61	Tom a parlé sans cesse toute la nuit.	Tom kept talking all night.	Tom kept talking all night.	True	True	1.139879	319	319, 67, 37	1.0	319
62	Je ne l'ai jamais aimé.	I never would have shot you.	I've never liked him.	False	True	1.1912487	661	661, 660, 105	0.3333333333333333	105
63	Ce n'était pas mon intention.	It was not my intention.	It was not my intention.	True	True	1.2179153	861	861, 591, 665	1.0	861
64	Où allez-vous en vacances cet été ?	Where are you going to vacation this summer?	Where are you going to vacation this summer?	True	True	1.1651119	572	572, 921, 92	1.0	572
65	Si j'en ai si cruellement besoin, il me faut le cultiver. Je n'ai pas le choix.	If I want it so badly, I need to cultivate it. I have no choice.	If I want it so badly, I need to cultivate it. I have no choice.	True	True	1.1266246	415	415, 824, 403	1.0	415
66	La tempête de neige se poursuivit.	The snowstorm continued.	The snowstorm continued.	True	True	1.1634345	332	332, 242, 725	1.0	332
67	Je chie dans ton lait.	I shit in your milk.	I shit in your milk.	True	True	1.2241704	438	438, 214, 713	1.0	438
68	Il ne compte pas du tout sur moi.	You really don't have the right priorities!	He doesn't altogether trust me.	False	False	1.2127328	946	946, 913, 594	0	240
69	Le communisme ne sera jamais atteint de mon vivant.	Communism will never be reached in my lifetime.	Communism will never be reached in my lifetime.	True	True	1.1799511	985	985, 214, 746	1.0	985
70	Comment épelle-t-on votre nom de famille ?	How do you spell your family name?	How do you spell your family name?	True	True	1.1756186	273	273, 108, 112	1.0	273
71	Je n'ai pas compris un seul mot.	I'm no use to anyone.	I did not understand a word.	False	False	1.2454035	549	549, 709, 774	0	109
72	Il confectionna une petite statue à base d'argile molle.	He made a little statue out of soft clay.	He made a little statue out of soft clay.	True	True	1.1201105	621	621, 242, 723	1.0	621
